"study_id","arm_design","effect_size_rows"
"abramova_2020_genpath","Independent",34
"abramova_2021_front","Independent",14
"abramova_2023_biopsy","Independent",44
"abramova_2024_devneur","Independent",26
"arjunan_2023_stress","Independent",6
"badache_2017_stress","Independent",6
"barzegar_2014_hippo","Independent",6
"hadizadeh_2018_irjbamedsci","Independent",2
"hassanvand_2012_phyphar","Independent",3
"morra_1965_physiolrec","Independent",2
"nishio_2006_intjdevlneur","Independent",6
"oliveira_2015_jbehavbraisci","Independent",6
"pavlov_2023_molsci","Independent",5
"uygur_2010_aphyhun","Independent",3
"uygur_2011_ankarauniv","Independent",8
"whitlow_1978_thesis","Independent",36
