package,study_id,es_id,source_csv_row,field,old_value_v3,new_value_v4,status,source,rationale
1 – Uygur 2011 outcome units,uygur_2011_ankarauniv,es068,69,data_type,Count,Time,Corrected transcription,"included_studies/uygur_2011_ankarauniv.pdf, Methods and Table 2","The paper reports total time spent in diving or jumping, not event counts."
1 – Uygur 2011 outcome units,uygur_2011_ankarauniv,es068,69,data_units,Count,s,Corrected transcription,"included_studies/uygur_2011_ankarauniv.pdf, Methods and Table 2",The outcome is a duration in seconds.
1 – Uygur 2011 outcome units,uygur_2011_ankarauniv,es069,70,data_type,Count,Time,Corrected transcription,"included_studies/uygur_2011_ankarauniv.pdf, Methods and Table 2","The paper reports total time spent in diving or jumping, not event counts."
1 – Uygur 2011 outcome units,uygur_2011_ankarauniv,es069,70,data_units,Count,s,Corrected transcription,"included_studies/uygur_2011_ankarauniv.pdf, Methods and Table 2",The outcome is a duration in seconds.
1 – Uygur 2011 outcome units,uygur_2011_ankarauniv,es070,71,data_type,Count,Time,Corrected transcription,"included_studies/uygur_2011_ankarauniv.pdf, Methods and Table 2","The paper reports total time spent in diving or jumping, not event counts."
1 – Uygur 2011 outcome units,uygur_2011_ankarauniv,es070,71,data_units,Count,s,Corrected transcription,"included_studies/uygur_2011_ankarauniv.pdf, Methods and Table 2",The outcome is a duration in seconds.
1 – Uygur 2011 outcome units,uygur_2011_ankarauniv,es071,72,data_type,Count,Time,Corrected transcription,"included_studies/uygur_2011_ankarauniv.pdf, Methods and Table 2","The paper reports total time spent in diving or jumping, not event counts."
1 – Uygur 2011 outcome units,uygur_2011_ankarauniv,es071,72,data_units,Count,s,Corrected transcription,"included_studies/uygur_2011_ankarauniv.pdf, Methods and Table 2",The outcome is a duration in seconds.
2 – Uygur 2010 exposure and sample sizes,uygur_2010_aphyhun,es001,2,c_n,9,10,Corrected transcription,"included_studies/uygur_2010_aphyhun.pdf, Methods and Table II","Table II identifies the control group as CON, n=10."
2 – Uygur 2010 exposure and sample sizes,uygur_2010_aphyhun,es001,2,ex_n,10,9,Corrected transcription,"included_studies/uygur_2010_aphyhun.pdf, Methods and Table II","Table II identifies the prenatal-stress group as PSN, n=9."
2 – Uygur 2010 exposure and sample sizes,uygur_2010_aphyhun,es001,2,exposure_session_duration_h,0.66,0.75,Corrected transcription,"included_studies/uygur_2010_aphyhun.pdf, Methods and Table II",The paper reports 45 minutes per day; 45/60 = 0.75 hours.
2 – Uygur 2010 exposure and sample sizes,uygur_2010_aphyhun,es002,3,c_n,9,10,Corrected transcription,"included_studies/uygur_2010_aphyhun.pdf, Methods and Table II","Table II identifies the control group as CON, n=10."
2 – Uygur 2010 exposure and sample sizes,uygur_2010_aphyhun,es002,3,ex_n,10,9,Corrected transcription,"included_studies/uygur_2010_aphyhun.pdf, Methods and Table II","Table II identifies the prenatal-stress group as PSN, n=9."
2 – Uygur 2010 exposure and sample sizes,uygur_2010_aphyhun,es002,3,exposure_session_duration_h,0.66,0.75,Corrected transcription,"included_studies/uygur_2010_aphyhun.pdf, Methods and Table II",The paper reports 45 minutes per day; 45/60 = 0.75 hours.
2 – Uygur 2010 exposure and sample sizes,uygur_2010_aphyhun,es003,4,c_n,9,10,Corrected transcription,"included_studies/uygur_2010_aphyhun.pdf, Methods and Table II","Table II identifies the control group as CON, n=10."
2 – Uygur 2010 exposure and sample sizes,uygur_2010_aphyhun,es003,4,ex_n,10,9,Corrected transcription,"included_studies/uygur_2010_aphyhun.pdf, Methods and Table II","Table II identifies the prenatal-stress group as PSN, n=9."
2 – Uygur 2010 exposure and sample sizes,uygur_2010_aphyhun,es003,4,exposure_session_duration_h,0.66,0.75,Corrected transcription,"included_studies/uygur_2010_aphyhun.pdf, Methods and Table II",The paper reports 45 minutes per day; 45/60 = 0.75 hours.
3 – Arjunan 2023 acoustic exposure,arjunan_2023_stress,es013,14,frequency_Hz,"0-2,000","0-20,000",Corrected transcription,"included_studies/arjunan_2023_stress.pdf, Methods section 4.3",The source states all frequencies from 0 to 20 kHz.
3 – Arjunan 2023 acoustic exposure,arjunan_2023_stress,es013,14,noise_type,Ultrasound,White noise,Corrected transcription,"included_studies/arjunan_2023_stress.pdf, Methods section 4.3","The source describes a white-noise generator, not ultrasound."
3 – Arjunan 2023 acoustic exposure,arjunan_2023_stress,es013,14,noise_frequency_range,Ultrasound,Audible,Corrected transcription,"included_studies/arjunan_2023_stress.pdf, Methods section 4.3",The stated range is within the audible/broadband band used in this review.
3 – Arjunan 2023 acoustic exposure,arjunan_2023_stress,es014,15,data_file,arjunan_2023_stress_fig3B_per,arjunan_2023_stress_fig3B_peri.png,Corrected transcription,Metadigitise_figs/arjunan_2023_stress_fig3B_peri.png,Use the exact saved image filename for reproducibility.
3 – Arjunan 2023 acoustic exposure,arjunan_2023_stress,es014,15,frequency_Hz,"0-2,000","0-20,000",Corrected transcription,"included_studies/arjunan_2023_stress.pdf, Methods section 4.3",The source states all frequencies from 0 to 20 kHz.
3 – Arjunan 2023 acoustic exposure,arjunan_2023_stress,es014,15,noise_type,Ultrasound,White noise,Corrected transcription,"included_studies/arjunan_2023_stress.pdf, Methods section 4.3","The source describes a white-noise generator, not ultrasound."
3 – Arjunan 2023 acoustic exposure,arjunan_2023_stress,es014,15,noise_frequency_range,Ultrasound,Audible,Corrected transcription,"included_studies/arjunan_2023_stress.pdf, Methods section 4.3",The stated range is within the audible/broadband band used in this review.
3 – Arjunan 2023 acoustic exposure,arjunan_2023_stress,es015,16,frequency_Hz,"0-2,000","0-20,000",Corrected transcription,"included_studies/arjunan_2023_stress.pdf, Methods section 4.3",The source states all frequencies from 0 to 20 kHz.
3 – Arjunan 2023 acoustic exposure,arjunan_2023_stress,es015,16,noise_type,Ultrasound,White noise,Corrected transcription,"included_studies/arjunan_2023_stress.pdf, Methods section 4.3","The source describes a white-noise generator, not ultrasound."
3 – Arjunan 2023 acoustic exposure,arjunan_2023_stress,es015,16,noise_frequency_range,Ultrasound,Audible,Corrected transcription,"included_studies/arjunan_2023_stress.pdf, Methods section 4.3",The stated range is within the audible/broadband band used in this review.
3 – Arjunan 2023 acoustic exposure,arjunan_2023_stress,es016,17,data_file,arjunan_2023_stress_fig3B_per,arjunan_2023_stress_fig3B_peri.png,Corrected transcription,Metadigitise_figs/arjunan_2023_stress_fig3B_peri.png,Use the exact saved image filename for reproducibility.
