"package","study_id","es_id","source_csv_row","field","old_value_v4","new_value_v5","status","source","rationale"
"Block 1 - Arm design and dependence","whitlow_1978_thesis","es094","95","offspring_sex","male","mixed","Corrected transcription","included_studies/whitlow_1978_thesis.pdf, Experiment 1 Methods; 2 males and 2 females randomly selected from each litter","Both sexes contributed to the reported group summaries; the outcome is therefore classified as mixed-sex."
"Block 1 - Arm design and dependence","whitlow_1978_thesis","es095","96","offspring_sex","male","mixed","Corrected transcription","included_studies/whitlow_1978_thesis.pdf, Experiment 1 Methods; 2 males and 2 females randomly selected from each litter","Both sexes contributed to the reported group summaries; the outcome is therefore classified as mixed-sex."
"Block 1 - Arm design and dependence","whitlow_1978_thesis","es096","97","offspring_sex","male","mixed","Corrected transcription","included_studies/whitlow_1978_thesis.pdf, Experiment 1 Methods; 2 males and 2 females randomly selected from each litter","Both sexes contributed to the reported group summaries; the outcome is therefore classified as mixed-sex."
"Block 1 - Arm design and dependence","whitlow_1978_thesis","es097","98","offspring_sex","male","mixed","Corrected transcription","included_studies/whitlow_1978_thesis.pdf, Experiment 1 Methods; 2 males and 2 females randomly selected from each litter","Both sexes contributed to the reported group summaries; the outcome is therefore classified as mixed-sex."
"Block 1 - Arm design and dependence","whitlow_1978_thesis","es098","99","offspring_sex","male","mixed","Corrected transcription","included_studies/whitlow_1978_thesis.pdf, Experiment 1 Methods; 2 males and 2 females randomly selected from each litter","Both sexes contributed to the reported group summaries; the outcome is therefore classified as mixed-sex."
"Block 1 - Arm design and dependence","whitlow_1978_thesis","es099","100","offspring_sex","male","mixed","Corrected transcription","included_studies/whitlow_1978_thesis.pdf, Experiment 1 Methods; 2 males and 2 females randomly selected from each litter","Both sexes contributed to the reported group summaries; the outcome is therefore classified as mixed-sex."
"Block 1 - Arm design and dependence","whitlow_1978_thesis","es100","101","offspring_sex","male","mixed","Corrected transcription","included_studies/whitlow_1978_thesis.pdf, Experiment 1 Methods; 2 males and 2 females randomly selected from each litter","Both sexes contributed to the reported group summaries; the outcome is therefore classified as mixed-sex."
"Block 1 - Arm design and dependence","whitlow_1978_thesis","es101","102","offspring_sex","male","mixed","Corrected transcription","included_studies/whitlow_1978_thesis.pdf, Experiment 1 Methods; 2 males and 2 females randomly selected from each litter","Both sexes contributed to the reported group summaries; the outcome is therefore classified as mixed-sex."
"Block 1 - Arm design and dependence","whitlow_1978_thesis","es102","103","offspring_sex","male","mixed","Corrected transcription","included_studies/whitlow_1978_thesis.pdf, Experiment 1 Methods; 2 males and 2 females randomly selected from each litter","Both sexes contributed to the reported group summaries; the outcome is therefore classified as mixed-sex."
"Block 1 - Arm design and dependence","whitlow_1978_thesis","es103","104","offspring_sex","male","mixed","Corrected transcription","included_studies/whitlow_1978_thesis.pdf, Experiment 1 Methods; 2 males and 2 females randomly selected from each litter","Both sexes contributed to the reported group summaries; the outcome is therefore classified as mixed-sex."
"Block 1 - Arm design and dependence","whitlow_1978_thesis","es104","105","offspring_sex","male","mixed","Corrected transcription","included_studies/whitlow_1978_thesis.pdf, Experiment 1 Methods; 2 males and 2 females randomly selected from each litter","Both sexes contributed to the reported group summaries; the outcome is therefore classified as mixed-sex."
"Block 1 - Arm design and dependence","whitlow_1978_thesis","es105","106","offspring_sex","male","mixed","Corrected transcription","included_studies/whitlow_1978_thesis.pdf, Experiment 1 Methods; 2 males and 2 females randomly selected from each litter","Both sexes contributed to the reported group summaries; the outcome is therefore classified as mixed-sex."
"Block 1 - Arm design and dependence","whitlow_1978_thesis","es106","107","offspring_sex","male","mixed","Corrected transcription","included_studies/whitlow_1978_thesis.pdf, Experiment 1 Methods; 2 males and 2 females randomly selected from each litter","Both sexes contributed to the reported group summaries; the outcome is therefore classified as mixed-sex."
"Block 1 - Arm design and dependence","whitlow_1978_thesis","es107","108","offspring_sex","male","mixed","Corrected transcription","included_studies/whitlow_1978_thesis.pdf, Experiment 1 Methods; 2 males and 2 females randomly selected from each litter","Both sexes contributed to the reported group summaries; the outcome is therefore classified as mixed-sex."
"Block 1 - Arm design and dependence","whitlow_1978_thesis","es108","109","offspring_sex","male","mixed","Corrected transcription","included_studies/whitlow_1978_thesis.pdf, Experiment 1 Methods; 2 males and 2 females randomly selected from each litter","Both sexes contributed to the reported group summaries; the outcome is therefore classified as mixed-sex."
"Block 1 - Arm design and dependence","whitlow_1978_thesis","es109","110","offspring_sex","male","mixed","Corrected transcription","included_studies/whitlow_1978_thesis.pdf, Experiment 1 Methods; 2 males and 2 females randomly selected from each litter","Both sexes contributed to the reported group summaries; the outcome is therefore classified as mixed-sex."
