"study_id","es_id","source_csv_row","arm_design","study_cluster_id","cohort_id","test_cluster_id","control_group_id","experimental_group_id","dep_shared_control","dep_shared_experimental","dep_repeated_measure","dep_multiple_outcomes_same_test","analysis_sample_size_unit","litter_count_used_in_model","litter_clustering_note","decision_status","decision_date","source"
"oliveira_2015_jbehavbraisci","es047",48,"Independent","oliveira_2015_jbehavbraisci","oliveira_2015_jbehavbraisci__C_IE","oliveira_2015_jbehavbraisci__ETM","oliveira_2015_jbehavbraisci__C","oliveira_2015_jbehavbraisci__IE","Yes","Yes","Yes","Yes","Reported offspring/pup count","No","Potential within-litter similarity is acknowledged, but dam/litter counts are not consistently available; retain the authors' reported pup n.","Approved","2026-08-13","included_studies/oliveira_2015_jbehavbraisci.pdf, Sections 2.1-2.5"
"oliveira_2015_jbehavbraisci","es048",49,"Independent","oliveira_2015_jbehavbraisci","oliveira_2015_jbehavbraisci__C_IE","oliveira_2015_jbehavbraisci__ETM","oliveira_2015_jbehavbraisci__C","oliveira_2015_jbehavbraisci__IE","Yes","Yes","Yes","Yes","Reported offspring/pup count","No","Potential within-litter similarity is acknowledged, but dam/litter counts are not consistently available; retain the authors' reported pup n.","Approved","2026-08-13","included_studies/oliveira_2015_jbehavbraisci.pdf, Sections 2.1-2.5"
"oliveira_2015_jbehavbraisci","es049",50,"Independent","oliveira_2015_jbehavbraisci","oliveira_2015_jbehavbraisci__C_IE","oliveira_2015_jbehavbraisci__ETM","oliveira_2015_jbehavbraisci__C","oliveira_2015_jbehavbraisci__IE","Yes","Yes","Yes","Yes","Reported offspring/pup count","No","Potential within-litter similarity is acknowledged, but dam/litter counts are not consistently available; retain the authors' reported pup n.","Approved","2026-08-13","included_studies/oliveira_2015_jbehavbraisci.pdf, Sections 2.1-2.5"
"oliveira_2015_jbehavbraisci","es050",51,"Independent","oliveira_2015_jbehavbraisci","oliveira_2015_jbehavbraisci__C_IE","oliveira_2015_jbehavbraisci__ETM","oliveira_2015_jbehavbraisci__C","oliveira_2015_jbehavbraisci__IE","Yes","Yes","Yes","Yes","Reported offspring/pup count","No","Potential within-litter similarity is acknowledged, but dam/litter counts are not consistently available; retain the authors' reported pup n.","Approved","2026-08-13","included_studies/oliveira_2015_jbehavbraisci.pdf, Sections 2.1-2.5"
"oliveira_2015_jbehavbraisci","es051",52,"Independent","oliveira_2015_jbehavbraisci","oliveira_2015_jbehavbraisci__C_IE","oliveira_2015_jbehavbraisci__ETM","oliveira_2015_jbehavbraisci__C","oliveira_2015_jbehavbraisci__IE","Yes","Yes","Yes","Yes","Reported offspring/pup count","No","Potential within-litter similarity is acknowledged, but dam/litter counts are not consistently available; retain the authors' reported pup n.","Approved","2026-08-13","included_studies/oliveira_2015_jbehavbraisci.pdf, Sections 2.1-2.5"
"oliveira_2015_jbehavbraisci","es052",53,"Independent","oliveira_2015_jbehavbraisci","oliveira_2015_jbehavbraisci__C_IE","oliveira_2015_jbehavbraisci__ETM","oliveira_2015_jbehavbraisci__C","oliveira_2015_jbehavbraisci__IE","Yes","Yes","Yes","Yes","Reported offspring/pup count","No","Potential within-litter similarity is acknowledged, but dam/litter counts are not consistently available; retain the authors' reported pup n.","Approved","2026-08-13","included_studies/oliveira_2015_jbehavbraisci.pdf, Sections 2.1-2.5"
"whitlow_1978_thesis","es094",95,"Independent","whitlow_1978_thesis","whitlow_1978_thesis__experiment1","whitlow_1978_thesis__OFT","whitlow_1978_thesis__HNoN","whitlow_1978_thesis__HN","Yes","Yes","Yes","Yes","Reported offspring/pup count","No","Potential within-litter similarity is acknowledged, but dam/litter counts are not consistently available; retain the authors' reported pup n.","Approved","2026-08-13","included_studies/whitlow_1978_thesis.pdf, Experiment 1 Methods"
"whitlow_1978_thesis","es095",96,"Independent","whitlow_1978_thesis","whitlow_1978_thesis__experiment1","whitlow_1978_thesis__OFT","whitlow_1978_thesis__HNoN","whitlow_1978_thesis__HLN","Yes","Yes","Yes","Yes","Reported offspring/pup count","No","Potential within-litter similarity is acknowledged, but dam/litter counts are not consistently available; retain the authors' reported pup n.","Approved","2026-08-13","included_studies/whitlow_1978_thesis.pdf, Experiment 1 Methods"
"whitlow_1978_thesis","es096",97,"Independent","whitlow_1978_thesis","whitlow_1978_thesis__experiment1","whitlow_1978_thesis__OFT","whitlow_1978_thesis__HNoN","whitlow_1978_thesis__HN","Yes","Yes","Yes","Yes","Reported offspring/pup count","No","Potential within-litter similarity is acknowledged, but dam/litter counts are not consistently available; retain the authors' reported pup n.","Approved","2026-08-13","included_studies/whitlow_1978_thesis.pdf, Experiment 1 Methods"
"whitlow_1978_thesis","es097",98,"Independent","whitlow_1978_thesis","whitlow_1978_thesis__experiment1","whitlow_1978_thesis__OFT","whitlow_1978_thesis__HNoN","whitlow_1978_thesis__HLN","Yes","Yes","Yes","Yes","Reported offspring/pup count","No","Potential within-litter similarity is acknowledged, but dam/litter counts are not consistently available; retain the authors' reported pup n.","Approved","2026-08-13","included_studies/whitlow_1978_thesis.pdf, Experiment 1 Methods"
"whitlow_1978_thesis","es098",99,"Independent","whitlow_1978_thesis","whitlow_1978_thesis__experiment1","whitlow_1978_thesis__OFT","whitlow_1978_thesis__HNoN","whitlow_1978_thesis__HN","Yes","Yes","Yes","Yes","Reported offspring/pup count","No","Potential within-litter similarity is acknowledged, but dam/litter counts are not consistently available; retain the authors' reported pup n.","Approved","2026-08-13","included_studies/whitlow_1978_thesis.pdf, Experiment 1 Methods"
