Study removed,k,Estimate,95% CI lower,95% CI upper
uygur_2010_aphyhun,204,0.1629279643917852,-0.12856830068827707,0.45442422947184746
barzegar_2014_hippo,201,0.18000759984569978,-0.09987576256896394,0.4598909622603635
hassanvand_2012_phyphar,204,0.17780543333846766,-0.11333185879575874,0.46894272547269406
arjunan_2023_stress,201,0.1592990603519083,-0.10857882311316377,0.42717694381698035
hadizadeh_2018_irjbamedsci,205,0.17187408102379073,-0.09744627942340187,0.4411944414709833
abramova_2024_devneur,181,0.17720485728625862,-0.09389219346780919,0.44830190804032644
oliveira_2015_jbehavbraisci,201,0.1783132961919248,-0.10538683010408809,0.46201342248793764
pavlov_2023_molsci,202,0.08651395269966752,-0.17072607730457487,0.3437539827039099
nishio_2006_intjdevlneur,201,0.20955328699660178,-0.12596750364955553,0.5450740776427591
uygur_2011_ankarauniv,199,0.19748431850553985,-0.05833683020427541,0.45330546721535514
morra_1965_physiolrec,205,0.17576702460915472,-0.09801004924130902,0.44954409845961846
abramova_2021_front,193,0.17962223705413274,-0.09842689354240178,0.4576713676506673
badache_2017_stress,201,0.1566193779878581,-0.11428881463650306,0.42752757061221924
whitlow_1978_thesis,171,0.23177469913406346,-0.10176868685844875,0.5653180851265757
abramova_2020_genpath,173,0.20864060528714398,-0.05317089591106325,0.4704521064853512
abramova_2023_biopsy,163,0.17274964685326122,-0.09700233752284121,0.44250163122936365
