variable,domain,kind,planned_use,n_effect_sizes,n_studies,n_unique_values,n_missing
sp_latin,offspring_biology,categorical,candidate,207,17,2,0
strain,offspring_biology,categorical,exploratory,207,17,6,0
dam_age_weeks,maternal,numeric,exploratory,89,6,3,118
gest_window,prenatal_exposure,categorical,candidate,207,17,4,0
exposure_span_d,prenatal_exposure,numeric,candidate,207,17,8,0
exposure_type,prenatal_exposure,categorical,candidate,207,17,2,0
exposure_session_duration_h,prenatal_exposure,numeric,candidate,207,17,10,0
noise_type,prenatal_exposure,categorical,candidate,207,17,5,0
acoustic_band_from_frequency,prenatal_exposure,categorical,candidate,207,17,4,0
frequency_mid_hz,prenatal_exposure,numeric,exploratory,177,10,5,30
frequency_format,prenatal_exposure,categorical,descriptive,207,17,3,0
loudness_db,prenatal_exposure,numeric,candidate,0,0,0,0
control_conditions,methodological,categorical,candidate,207,17,3,0
offspring_sex,offspring_biology,categorical,candidate,207,17,3,0
offspring_age_d,offspring_biology,numeric,candidate,207,17,13,0
outcome_type,outcome,categorical,candidate,207,17,2,0
assay_type,outcome,categorical,candidate,207,17,6,0
measurement_variable,outcome,categorical,exploratory,207,17,35,0
data_type,methodological,categorical,candidate,207,17,5,0
measurement_timing,methodological,categorical,exploratory,207,17,3,0
