variable,level,n_effect_sizes,n_studies
sp_latin,Mus musculus,11,2
sp_latin,Rattus norvegicus,196,15
strain,BALB/c mice,5,1
strain,Lister rat,36,2
strain,Sprague-Dawley,45,3
strain,Wistar albino rat,6,1
strain,Wistar rat,109,9
strain,ddY mice,6,1
gest_window,early_mid,5,2
gest_window,full_gestation,131,7
gest_window,late,13,4
gest_window,mid_late,58,6
exposure_type,continuous,123,5
exposure_type,intermittent,84,12
noise_type,doorbell,2,1
noise_type,other_unclear,6,1
noise_type,traffic,11,3
noise_type,ultrasound,135,7
noise_type,white_noise,53,5
acoustic_band_from_frequency,audible,48,4
acoustic_band_from_frequency,mixed_or_boundary,123,5
acoustic_band_from_frequency,not_reported,30,7
acoustic_band_from_frequency,ultrasound,6,1
frequency_format,not_reported,30,7
frequency_format,point,48,4
frequency_format,range,129,6
control_conditions,ambient_sound,118,4
control_conditions,silence,6,1
control_conditions,unclear,83,12
offspring_sex,female,67,6
offspring_sex,male,102,13
offspring_sex,mixed,38,3
outcome_type,anxiety,180,16
outcome_type,depression,27,5
assay_type,Defensive withdrawal test (DWT),3,1
assay_type,Elevated Plus Maze (EPM),66,8
assay_type,Elevated T Maze (ETM),6,1
assay_type,Forced Swimming Test (FST),20,4
assay_type,Open Field Test (OFT),105,11
assay_type,Sucrose Preference Test (SPT),7,4
measurement_variable,Avoidance latency,3,1
measurement_variable,Center entries (crossing),12,4
measurement_variable,Defecation amount,12,1
measurement_variable,Entries into open arms (OAE),7,4
measurement_variable,Entries to closed arms,2,1
measurement_variable,Escape latency,3,1
measurement_variable,Exits from dark box,1,1
measurement_variable,Grooming frequency,24,5
measurement_variable,Head-dipping,2,1
measurement_variable,Head-out inspections,4,2
measurement_variable,Initial latency to move,1,1
measurement_variable,Latency to exit the dark box,1,1
measurement_variable,Mean grooming duration,6,2
measurement_variable,Number of dives,2,1
measurement_variable,Overhangs,4,2
measurement_variable,Rearing frequency,13,5
measurement_variable,Rearing time,2,1
measurement_variable,Sections crossed,24,10
measurement_variable,Sniffing,1,1
measurement_variable,Sucrose preference index,7,4
measurement_variable,Time in central square,7,4
measurement_variable,Time in corners,1,1
measurement_variable,Time in open arms (OAT),10,6
measurement_variable,Time in open field,1,1
measurement_variable,Time in peripheral square,3,1
measurement_variable,Total active swimming,2,1
measurement_variable,Total diving time,2,1
measurement_variable,Total freezing time,14,4
measurement_variable,Total grooming time,14,4
measurement_variable,Total immobility time,8,4
measurement_variable,Total jumping time,2,1
measurement_variable,Total passive swimming,2,1
measurement_variable,Total swimming time,2,1
measurement_variable,Total time in dark,4,2
measurement_variable,Total time in light,4,2
data_type,count,108,13
data_type,index,7,4
data_type,latency,7,2
data_type,percentage,16,4
data_type,time,69,9
measurement_timing,dark_phase,5,1
measurement_timing,light_phase,141,8
measurement_timing,not_reported,61,8
