source_csv_row,study_id,es_id,offspring_sex,measurement_variable,crosscheck_status,crosscheck_package,crosscheck_notes,c_se_reported,c_se_analysis,c_se_derivation,c_se_source,ex_se_reported,ex_se_analysis,ex_se_derivation,ex_se_source
2,uygur_2010_aphyhun,es001,male,Latency to exit the dark box,Corrected transcription,2 – Uygur 2010 exposure and sample sizes,"The paper reports 45 minutes per day; 45/60 = 0.75 hours. | Table II identifies the control group as CON, n=10. | Table II identifies the prenatal-stress group as PSN, n=9.",58.69,58.69,Reported SEM; used unchanged for analysis,uygur_2010_table2; Table II,66.9,66.9,Reported SEM; used unchanged for analysis,uygur_2010_table2; Table II
3,uygur_2010_aphyhun,es002,male,Exits from dark box,Corrected transcription,2 – Uygur 2010 exposure and sample sizes,"The paper reports 45 minutes per day; 45/60 = 0.75 hours. | Table II identifies the control group as CON, n=10. | Table II identifies the prenatal-stress group as PSN, n=9.",0.82,0.82,Reported SEM; used unchanged for analysis,uygur_2010_table2; Table II,0.73,0.73,Reported SEM; used unchanged for analysis,uygur_2010_table2; Table II
4,uygur_2010_aphyhun,es003,male,Time in open field,Corrected transcription,2 – Uygur 2010 exposure and sample sizes,"The paper reports 45 minutes per day; 45/60 = 0.75 hours. | Table II identifies the control group as CON, n=10. | Table II identifies the prenatal-stress group as PSN, n=9.",25.25,25.25,Reported SEM; used unchanged for analysis,uygur_2010_table2; Table II,16.87,16.87,Reported SEM; used unchanged for analysis,uygur_2010_table2; Table II
5,barzegar_2014_hippo,es004,male,Entries into open arms (OAE),Corrected transcription,4 – Barzegar 2014 title and SEM,Replace the title copied from another study with the Barzegar paper title. | Use the exact saved image filename for reproducibility.,3.47,3.47,Digitised reported SEM; used unchanged for analysis,Metadigitise_figs/metaDigitise_output.csv and saved figure image,6.2,6.2,Digitised reported SEM; used unchanged for analysis,Metadigitise_figs/metaDigitise_output.csv and saved figure image
6,barzegar_2014_hippo,es005,male,Time in open arms (OAT),Corrected transcription,4 – Barzegar 2014 title and SEM,Use the exact saved image filename for reproducibility.,2.03,2.03,Digitised reported SEM; used unchanged for analysis,Metadigitise_figs/metaDigitise_output.csv and saved figure image,1.37,1.37,Digitised reported SEM; used unchanged for analysis,Metadigitise_figs/metaDigitise_output.csv and saved figure image
7,barzegar_2014_hippo,es006,male,Entries into open arms (OAE),Corrected transcription,4 – Barzegar 2014 title and SEM,Use the exact saved image filename for reproducibility. | Correct the N2 experimental SEM transcription while retaining the source-reported figure value separately.,3.47,3.47,Digitised reported SEM; used unchanged for analysis,Metadigitise_figs/metaDigitise_output.csv and saved figure image,2.666667,2.666667,Digitised reported SEM; used unchanged for analysis,Metadigitise_figs/metaDigitise_output.csv and saved figure image
8,barzegar_2014_hippo,es007,male,Time in open arms (OAT),Corrected transcription,4 – Barzegar 2014 title and SEM,Use the exact saved image filename for reproducibility.,2.03,2.03,Digitised reported SEM; used unchanged for analysis,Metadigitise_figs/metaDigitise_output.csv and saved figure image,1.81,1.81,Digitised reported SEM; used unchanged for analysis,Metadigitise_figs/metaDigitise_output.csv and saved figure image
9,barzegar_2014_hippo,es008,male,Entries into open arms (OAE),Corrected transcription,4 – Barzegar 2014 title and SEM,Use the exact saved image filename for reproducibility.,3.47,3.47,Digitised reported SEM; used unchanged for analysis,Metadigitise_figs/metaDigitise_output.csv and saved figure image,2.8,2.8,Digitised reported SEM; used unchanged for analysis,Metadigitise_figs/metaDigitise_output.csv and saved figure image
10,barzegar_2014_hippo,es009,male,Time in open arms (OAT),Corrected transcription,4 – Barzegar 2014 title and SEM,Use the exact saved image filename for reproducibility.,2.03,2.03,Digitised reported SEM; used unchanged for analysis,Metadigitise_figs/metaDigitise_output.csv and saved figure image,2.63,2.63,Digitised reported SEM; used unchanged for analysis,Metadigitise_figs/metaDigitise_output.csv and saved figure image
11,hassanvand_2012_phyphar,es010,male,Sniffing,Verified – no change,,,,1.127786,SD / sqrt(n); derived for analysis from the extracted SD and sample size,hassanvand_2012_phyphar_Figure2; Figure 2,,1.190452,SD / sqrt(n); derived for analysis from the extracted SD and sample size,hassanvand_2012_phyphar_Figure2; Figure 2
