study_id,es_id,n_raw,n_final,mean_raw,median_raw,q1_raw,q3_raw,mean_pre_zero_correction,mean_analysis_primary,mean_analysis_sensitivity_08,mean_source,exact_zero_before_correction,zero_correction_applied,zero_correction_reference_mean,zero_correction_primary_09,zero_correction_sensitivity_08,zero_correction_unavailable,zero_mean_exclusion_sensitivity,sd_raw,sd_final,sd_source,se_raw,se_final,se_source,ci_raw,iqr_all_zero,iqr_skewness_review,sd_assumed_sqrt_mean,se_inconsistent_with_sd,se_matches_mean_over_sqrt_n,arm
uygur_2010_aphyhun,es001,9,9,90.9,,,,90.9,90.9,90.9,raw_mean,FALSE,FALSE,90.9,81.81,72.72000000000001,FALSE,FALSE,,176.07,se_times_sqrt_n,58.69,58.69,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
uygur_2010_aphyhun,es002,9,9,4.3,,,,4.3,4.3,4.3,raw_mean,FALSE,FALSE,3.67,3.303,2.936,FALSE,FALSE,,2.46,se_times_sqrt_n,0.82,0.82,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
uygur_2010_aphyhun,es003,9,9,101.74,,,,101.74,101.74,101.74,raw_mean,FALSE,FALSE,66.67,60.003,53.336000000000006,FALSE,FALSE,,75.75,se_times_sqrt_n,25.25,25.25,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
barzegar_2014_hippo,es004,10,10,32.07,,,,32.07,32.07,32.07,raw_mean,FALSE,FALSE,14.27,12.843,11.416,FALSE,FALSE,10.96,10.96,raw_sd,3.47,3.47,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
barzegar_2014_hippo,es005,10,10,30.02,,,,30.02,30.02,30.02,raw_mean,FALSE,FALSE,16.92,15.228000000000002,13.536000000000001,FALSE,FALSE,6.41,6.41,raw_sd,2.03,2.03,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
barzegar_2014_hippo,es006,10,10,32.07,,,,32.07,32.07,32.07,raw_mean,FALSE,FALSE,14.27,12.843,11.416,FALSE,FALSE,10.96,10.96,raw_sd,3.47,3.47,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
barzegar_2014_hippo,es007,10,10,30.02,,,,30.02,30.02,30.02,raw_mean,FALSE,FALSE,16.92,15.228000000000002,13.536000000000001,FALSE,FALSE,6.41,6.41,raw_sd,2.03,2.03,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
barzegar_2014_hippo,es008,10,10,32.07,,,,32.07,32.07,32.07,raw_mean,FALSE,FALSE,14.27,12.843,11.416,FALSE,FALSE,10.96,10.96,raw_sd,3.47,3.47,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
barzegar_2014_hippo,es009,10,10,30.02,,,,30.02,30.02,30.02,raw_mean,FALSE,FALSE,16.92,15.228000000000002,13.536000000000001,FALSE,FALSE,6.41,6.41,raw_sd,2.03,2.03,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
hassanvand_2012_phyphar,es010,6,6,41.568,,,,41.568,41.568,41.568,raw_mean,FALSE,FALSE,35.5825,32.02425,28.466000000000005,FALSE,FALSE,2.7625,2.7625,raw_sd,1.1278,1.1278,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
hassanvand_2012_phyphar,es011,6,6,13.943,,,,13.943,13.943,13.943,raw_mean,FALSE,FALSE,4.3889,3.95001,3.51112,FALSE,FALSE,1.8417,1.8417,raw_sd,0.7519,0.7519,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
hassanvand_2012_phyphar,es012,6,6,24.686,,,,24.686,24.686,24.686,raw_mean,FALSE,FALSE,6.4,5.760000000000001,5.120000000000001,FALSE,FALSE,4.4507,4.4507,raw_sd,1.817,1.817,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
arjunan_2023_stress,es013,6,6,225.39,,,,225.39,225.39,225.39,raw_mean,FALSE,FALSE,0.18,0.162,0.144,FALSE,FALSE,25.92,25.92,raw_sd,10.58,10.58,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
arjunan_2023_stress,es014,6,6,71.74,,,,71.74,71.74,71.74,raw_mean,FALSE,FALSE,71.74,64.566,57.391999999999996,FALSE,FALSE,28.21,28.21,raw_sd,11.52,11.52,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
arjunan_2023_stress,es015,6,6,225.39,,,,225.39,225.39,225.39,raw_mean,FALSE,FALSE,0.18,0.162,0.144,FALSE,FALSE,25.92,25.92,raw_sd,10.58,10.58,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
arjunan_2023_stress,es016,6,6,71.74,,,,71.74,71.74,71.74,raw_mean,FALSE,FALSE,71.74,64.566,57.391999999999996,FALSE,FALSE,28.21,28.21,raw_sd,11.52,11.52,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
arjunan_2023_stress,es017,6,6,225.39,,,,225.39,225.39,225.39,raw_mean,FALSE,FALSE,0.18,0.162,0.144,FALSE,FALSE,25.92,25.92,raw_sd,10.58,10.58,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
arjunan_2023_stress,es018,6,6,71.74,,,,71.74,71.74,71.74,raw_mean,FALSE,FALSE,71.74,64.566,57.391999999999996,FALSE,FALSE,28.21,28.21,raw_sd,11.52,11.52,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
hadizadeh_2018_irjbamedsci,es019,6,6,54.98,,,,54.98,54.98,54.98,raw_mean,FALSE,FALSE,14.27,12.843,11.416,FALSE,FALSE,7.67,7.67,raw_sd,3.13,3.13,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
hadizadeh_2018_irjbamedsci,es020,6,6,41.56,,,,41.56,41.56,41.56,raw_mean,FALSE,FALSE,16.92,15.228000000000002,13.536000000000001,FALSE,FALSE,2.9,2.9,raw_sd,1.18,1.18,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
abramova_2024_devneur,es021,37,37,45.56,,,,45.56,45.56,45.56,raw_mean,FALSE,FALSE,25.42,22.878000000000004,20.336000000000002,FALSE,FALSE,30.7,30.7,raw_sd,5.05,5.05,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
abramova_2024_devneur,es022,35,35,53.82,,,,53.82,53.82,53.82,raw_mean,FALSE,FALSE,25.42,22.878000000000004,20.336000000000002,FALSE,FALSE,29.51,29.51,raw_sd,4.99,4.99,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
abramova_2024_devneur,es023,37,37,10.2,,,,10.2,10.2,10.2,raw_mean,FALSE,FALSE,4.46,4.014,3.568,FALSE,FALSE,5.76,5.76,raw_sd,0.95,0.95,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
abramova_2024_devneur,es024,35,35,11.55,,,,11.55,11.55,11.55,raw_mean,FALSE,FALSE,4.46,4.014,3.568,FALSE,FALSE,6.92,6.92,raw_sd,1.17,1.17,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
abramova_2024_devneur,es025,37,37,2.59,,,,2.59,2.59,2.59,raw_mean,FALSE,FALSE,1.13695,1.023255,0.9095599999999999,FALSE,FALSE,3.45,3.45,raw_sd,0.57,0.57,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
abramova_2024_devneur,es026,35,35,1.23,,,,1.23,1.23,1.23,raw_mean,FALSE,FALSE,1.13695,1.023255,0.9095599999999999,FALSE,FALSE,2.02,2.02,raw_sd,0.34,0.34,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
abramova_2024_devneur,es027,37,37,22.57,,,,22.57,22.57,22.57,raw_mean,FALSE,FALSE,22.57,20.313000000000002,18.056,FALSE,FALSE,14.12,14.12,raw_sd,2.32,2.32,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
abramova_2024_devneur,es028,35,35,28.31,,,,28.31,28.31,28.31,raw_mean,FALSE,FALSE,22.57,20.313000000000002,18.056,FALSE,FALSE,19.54,19.54,raw_sd,3.3,3.3,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
abramova_2024_devneur,es029,37,37,6.97,,,,6.97,6.97,6.97,raw_mean,FALSE,FALSE,6.97,6.273,5.5760000000000005,FALSE,FALSE,3.61,3.61,raw_sd,0.59,0.59,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
abramova_2024_devneur,es030,35,35,7.13,,,,7.13,7.13,7.13,raw_mean,FALSE,FALSE,6.97,6.273,5.5760000000000005,FALSE,FALSE,4.67,4.67,raw_sd,0.79,0.79,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
abramova_2024_devneur,es031,37,37,2.46,,,,2.46,2.46,2.46,raw_mean,FALSE,FALSE,0.18718749999999998,0.16846874999999997,0.14975,FALSE,FALSE,1.21,1.21,raw_sd,0.2,0.2,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
abramova_2024_devneur,es032,35,35,2.87,,,,2.87,2.87,2.87,raw_mean,FALSE,FALSE,0.18718749999999998,0.16846874999999997,0.14975,FALSE,FALSE,1.49,1.49,raw_sd,0.25,0.25,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
abramova_2024_devneur,es033,37,37,21.48,,,,21.48,21.48,21.48,raw_mean,FALSE,FALSE,4.3889,3.95001,3.51112,FALSE,FALSE,5.57,5.57,raw_sd,0.92,0.92,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
abramova_2024_devneur,es034,35,35,21.46,,,,21.46,21.46,21.46,raw_mean,FALSE,FALSE,4.3889,3.95001,3.51112,FALSE,FALSE,9.73,9.73,raw_sd,1.64,1.64,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
abramova_2024_devneur,es035,37,37,50.7,,,,50.7,50.7,50.7,raw_mean,FALSE,FALSE,6.4,5.760000000000001,5.120000000000001,FALSE,FALSE,14.38,14.38,raw_sd,2.36,2.36,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
abramova_2024_devneur,es036,35,35,45.52,,,,45.52,45.52,45.52,raw_mean,FALSE,FALSE,6.4,5.760000000000001,5.120000000000001,FALSE,FALSE,13.15,13.15,raw_sd,2.22,2.22,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
abramova_2024_devneur,es037,37,37,10.51,,,,10.51,10.51,10.51,raw_mean,FALSE,FALSE,8.2563,7.43067,6.60504,FALSE,FALSE,10.74,10.74,raw_sd,1.76,1.76,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
abramova_2024_devneur,es038,35,35,17.03,,,,17.03,17.03,17.03,raw_mean,FALSE,FALSE,8.2563,7.43067,6.60504,FALSE,FALSE,15.77,15.77,raw_sd,2.67,2.67,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
abramova_2024_devneur,es039,37,37,25.07,,,,25.07,25.07,25.07,raw_mean,FALSE,FALSE,12.5038,11.25342,10.00304,FALSE,FALSE,13.32,13.32,raw_sd,2.19,2.19,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
abramova_2024_devneur,es040,35,35,17.34,,,,17.34,17.34,17.34,raw_mean,FALSE,FALSE,12.5038,11.25342,10.00304,FALSE,FALSE,8.33,8.33,raw_sd,1.41,1.41,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
