es_id,study_id,arm,mean_reported,mean_pre_zero,mean_analysis,mean_derivation,sd_reported,se_reported,sd_analysis,sd_derivation,se_analysis,se_derivation,se_source,exact_zero,zero_correction_reference_mean,zero_correction_primary_09,zero_correction_sensitivity_08,zero_mean_exclusion_sensitivity,analysis_ready
es001,uygur_2010_aphyhun,control,90.9,90.9,90.9,Reported mean; used unchanged,,58.69,185.5940758752822,SD = reported SE * sqrt(n),58.69,Reported SEM; used unchanged for analysis,uygur_2010_table2; Table II,FALSE,,,,FALSE,TRUE
es002,uygur_2010_aphyhun,control,4.3,4.3,4.3,Reported mean; used unchanged,,0.82,2.593067681338071,SD = reported SE * sqrt(n),0.82,Reported SEM; used unchanged for analysis,uygur_2010_table2; Table II,FALSE,,,,FALSE,TRUE
es003,uygur_2010_aphyhun,control,101.74,101.74,101.74,Reported mean; used unchanged,,25.25,79.84751091925158,SD = reported SE * sqrt(n),25.25,Reported SEM; used unchanged for analysis,uygur_2010_table2; Table II,FALSE,,,,FALSE,TRUE
es004,barzegar_2014_hippo,control,32.07,32.07,32.07,Reported mean; used unchanged,10.96,3.47,10.96,Reported or previously approved SD; used unchanged,3.47,Digitised reported SEM; used unchanged for analysis,Metadigitise_figs/metaDigitise_output.csv and saved figure image,FALSE,,,,FALSE,TRUE
es005,barzegar_2014_hippo,control,30.02,30.02,30.02,Reported mean; used unchanged,6.41,2.03,6.41,Reported or previously approved SD; used unchanged,2.03,Digitised reported SEM; used unchanged for analysis,Metadigitise_figs/metaDigitise_output.csv and saved figure image,FALSE,,,,FALSE,TRUE
es006,barzegar_2014_hippo,control,32.07,32.07,32.07,Reported mean; used unchanged,10.96,3.47,10.96,Reported or previously approved SD; used unchanged,3.47,Digitised reported SEM; used unchanged for analysis,Metadigitise_figs/metaDigitise_output.csv and saved figure image,FALSE,,,,FALSE,TRUE
es007,barzegar_2014_hippo,control,30.02,30.02,30.02,Reported mean; used unchanged,6.41,2.03,6.41,Reported or previously approved SD; used unchanged,2.03,Digitised reported SEM; used unchanged for analysis,Metadigitise_figs/metaDigitise_output.csv and saved figure image,FALSE,,,,FALSE,TRUE
es008,barzegar_2014_hippo,control,32.07,32.07,32.07,Reported mean; used unchanged,10.96,3.47,10.96,Reported or previously approved SD; used unchanged,3.47,Digitised reported SEM; used unchanged for analysis,Metadigitise_figs/metaDigitise_output.csv and saved figure image,FALSE,,,,FALSE,TRUE
es009,barzegar_2014_hippo,control,30.02,30.02,30.02,Reported mean; used unchanged,6.41,2.03,6.41,Reported or previously approved SD; used unchanged,2.03,Digitised reported SEM; used unchanged for analysis,Metadigitise_figs/metaDigitise_output.csv and saved figure image,FALSE,,,,FALSE,TRUE
es010,hassanvand_2012_phyphar,control,41.568,41.568,41.568,Reported mean; used unchanged,2.7625,,2.7625,Reported or previously approved SD; used unchanged,1.127786,SD / sqrt(n); derived for analysis from the extracted SD and sample size,hassanvand_2012_phyphar_Figure2; Figure 2,FALSE,,,,FALSE,TRUE
es011,hassanvand_2012_phyphar,control,13.943,13.943,13.943,Reported mean; used unchanged,1.8417,,1.8417,Reported or previously approved SD; used unchanged,0.751871,SD / sqrt(n); derived for analysis from the extracted SD and sample size,hassanvand_2012_phyphar_Figure2; Figure 2,FALSE,,,,FALSE,TRUE
es012,hassanvand_2012_phyphar,control,24.686,24.686,24.686,Reported mean; used unchanged,4.4507,,4.4507,Reported or previously approved SD; used unchanged,1.816991,SD / sqrt(n); derived for analysis from the extracted SD and sample size,hassanvand_2012_phyphar_Figure2; Figure 2,FALSE,,,,FALSE,TRUE
es013,arjunan_2023_stress,control,225.39,225.39,225.39,Reported mean; used unchanged,25.92,,25.92,Reported or previously approved SD; used unchanged,10.581796,SD / sqrt(n); derived for analysis from the extracted SD and sample size,arjunan_2023_stress_fig3B_cen; Figure 3B,FALSE,,,,FALSE,TRUE
es014,arjunan_2023_stress,control,71.74,71.74,71.74,Reported mean; used unchanged,28.21,,28.21,Reported or previously approved SD; used unchanged,11.516684,SD / sqrt(n); derived for analysis from the extracted SD and sample size,arjunan_2023_stress_fig3B_peri.png; Figure 3B,FALSE,,,,FALSE,TRUE
es015,arjunan_2023_stress,control,225.39,225.39,225.39,Reported mean; used unchanged,25.92,,25.92,Reported or previously approved SD; used unchanged,10.581796,SD / sqrt(n); derived for analysis from the extracted SD and sample size,arjunan_2023_stress_fig3B_cen; Figure 3B,FALSE,,,,FALSE,TRUE
