study_id,es_id,arm,se_recalculated,se_analysis_column,abs_diff
uygur_2010_aphyhun,es001,control,58.69,58.69,0
uygur_2010_aphyhun,es002,control,0.82,0.82,0
uygur_2010_aphyhun,es003,control,25.25,25.25,0
barzegar_2014_hippo,es004,control,3.47,3.47,0
barzegar_2014_hippo,es005,control,2.03,2.03,0
barzegar_2014_hippo,es006,control,3.47,3.47,0
barzegar_2014_hippo,es007,control,2.03,2.03,0
barzegar_2014_hippo,es008,control,3.47,3.47,0
barzegar_2014_hippo,es009,control,2.03,2.03,0
hassanvand_2012_phyphar,es010,control,1.1277859024064218,1.127786,9.759357810779079e-8
hassanvand_2012_phyphar,es011,control,0.7518708765472966,0.751871,1.2345270339331194e-7
hassanvand_2012_phyphar,es012,control,1.8169906663675155,1.816991,3.3363248452822347e-7
arjunan_2023_stress,es013,control,10.58179568882333,10.581796,3.11176670209079e-7
arjunan_2023_stress,es014,control,11.516684273985577,11.516684,2.7398557733704365e-7
arjunan_2023_stress,es015,control,10.58179568882333,10.581796,3.11176670209079e-7
arjunan_2023_stress,es016,control,11.516684273985577,11.516684,2.7398557733704365e-7
arjunan_2023_stress,es017,control,10.58179568882333,10.581796,3.11176670209079e-7
arjunan_2023_stress,es018,control,11.516684273985577,11.516684,2.7398557733704365e-7
hadizadeh_2018_irjbamedsci,es019,control,3.13,3.13,0
hadizadeh_2018_irjbamedsci,es020,control,1.18,1.18,0
abramova_2024_devneur,es021,control,5.047048910274469,5.047049,8.97255310050582e-8
abramova_2024_devneur,es022,control,4.988100411407705,4.9881,4.114077052363996e-7
abramova_2024_devneur,es023,control,0.946938166878858,0.946938,1.6687885806554448e-7
abramova_2024_devneur,es024,control,1.169693488544267,1.169693,4.88544266818991e-7
abramova_2024_devneur,es025,control,0.5671765062034827,0.567177,4.937965173423819e-7
abramova_2024_devneur,es026,control,0.3414423189103207,0.341442,3.189103206513444e-7
abramova_2024_devneur,es027,control,2.321313700751645,2.321314,2.99248354984627e-7
abramova_2024_devneur,es028,control,3.302862827479043,3.302863,1.7252095707576132e-7
abramova_2024_devneur,es029,control,0.5934803441723399,0.59348,3.4417233985006845e-7
abramova_2024_devneur,es030,control,0.7893740739164344,0.789374,7.39164344176757e-8
abramova_2024_devneur,es031,control,0.19892277463948232,0.198923,2.25360517663864e-7
abramova_2024_devneur,es032,control,0.2518559679090979,0.251856,3.2090902102321905e-8
abramova_2024_devneur,es033,control,0.9157023592908402,0.915702,3.5929084019059587e-7
abramova_2024_devneur,es034,control,1.6446701797016934,1.64467,1.797016933036133e-7
abramova_2024_devneur,es035,control,2.364057437451038,2.364057,4.374510380600327e-7
abramova_2024_devneur,es036,control,2.222755689935999,2.222756,3.10064001141086e-7
abramova_2024_devneur,es037,control,1.7656451236595374,1.765645,1.236595374987104e-7
abramova_2024_devneur,es038,control,2.6656165194137413,2.665617,4.805862587886622e-7
abramova_2024_devneur,es039,control,2.189794510907359,2.189795,4.890926410539009e-7
abramova_2024_devneur,es040,control,1.4080269883777086,1.408027,1.1622291351542913e-8
abramova_2024_devneur,es041,control,0.35016984296041104,0.35017,1.570395889438636e-7
abramova_2024_devneur,es042,control,0.253546276418555,0.253546,2.7641855498972134e-7
abramova_2024_devneur,es043,control,7.314940191143056,7.31494,1.9114305604972515e-7
abramova_2024_devneur,es044,control,12.889344759658396,12.889345,2.403416043961215e-7
abramova_2024_devneur,es045,control,4.3,4.3,0
abramova_2024_devneur,es046,control,5.2,5.2,0
oliveira_2015_jbehavbraisci,es047,control,7.25,7.25,0
oliveira_2015_jbehavbraisci,es048,control,34.2,34.2,0
oliveira_2015_jbehavbraisci,es049,control,37.31,37.31,0
oliveira_2015_jbehavbraisci,es050,control,1.11,1.11,0
oliveira_2015_jbehavbraisci,es051,control,2.31,2.31,0
oliveira_2015_jbehavbraisci,es052,control,2.23,2.23,0
pavlov_2023_molsci,es053,control,3.073733885683665,3.073734,1.1431633506475691e-7
pavlov_2023_molsci,es054,control,1.95112531632389,1.951125,3.1632388997060445e-7
pavlov_2023_molsci,es055,control,5.533985905294664,5.533986,9.470533601785291e-8
pavlov_2023_molsci,es056,control,6.5901866437909025,6.590187,3.562090977737853e-7
pavlov_2023_molsci,es057,control,1.7202790471315983,1.720279,4.713159840186165e-8
nishio_2006_intjdevlneur,es058,control,6.17,6.17,0
nishio_2006_intjdevlneur,es059,control,3.06,3.06,0
nishio_2006_intjdevlneur,es060,control,4.31,4.31,0
nishio_2006_intjdevlneur,es061,control,3.4,3.4,0
nishio_2006_intjdevlneur,es062,control,0.76,0.76,0
nishio_2006_intjdevlneur,es063,control,1.08,1.08,0
uygur_2011_ankarauniv,es064,control,8.29,8.29,0
uygur_2011_ankarauniv,es065,control,13.52,13.52,0
uygur_2011_ankarauniv,es066,control,6.28,6.28,0
uygur_2011_ankarauniv,es067,control,13.15,13.15,0
uygur_2011_ankarauniv,es068,control,1.49,1.49,0
uygur_2011_ankarauniv,es069,control,0.95,0.95,0
uygur_2011_ankarauniv,es070,control,4.89,4.89,0
uygur_2011_ankarauniv,es071,control,3.93,3.93,0
morra_1965_physiolrec,es072,control,1.0583005244258363,1.058301,4.755741636053301e-7
morra_1965_physiolrec,es073,control,0.995306445590965,0.995306,4.455909650147305e-7
abramova_2021_front,es074,control,3.5230564121921244,3.523056,4.121921244326643e-7
abramova_2021_front,es075,control,3.1580584000000003,3.158058,4.0000000023354687e-7
abramova_2021_front,es076,control,1.8257105066009356,1.825711,4.933990644939712e-7
abramova_2021_front,es077,control,1.3867468,1.386747,1.9999999989472883e-7
abramova_2021_front,es078,control,0.5268197991773477,0.52682,2.0082265228538176e-7
abramova_2021_front,es079,control,0.298217,0.298217,0
abramova_2021_front,es080,control,1.4257540046521229,1.425754,4.6521229091212035e-9
abramova_2021_front,es081,control,0.6780134,0.678013,4.0000000001150227e-7
abramova_2021_front,es082,control,0.3054750761945129,0.305475,7.619451292129042e-8
abramova_2021_front,es083,control,0.3330666,0.333067,4.0000000001150227e-7
abramova_2021_front,es084,control,2.738594951919371,2.738595,4.8080629255764507e-8
abramova_2021_front,es085,control,5.0170534,5.017053,4.0000000023354687e-7
abramova_2021_front,es086,control,8.700762693009871,8.700763,3.069901293173416e-7
abramova_2021_front,es087,control,7.3276044,7.327604,4.0000000023354687e-7
badache_2017_stress,es088,control,11.76,11.76,0
badache_2017_stress,es089,control,4.04,4.04,0
badache_2017_stress,es090,control,0.23,0.23,0
badache_2017_stress,es091,control,1.26,1.26,0
badache_2017_stress,es092,control,7.96,7.96,0
badache_2017_stress,es093,control,1.13,1.13,0
whitlow_1978_thesis,es094,control,1.8114833899321297,1.811483,3.89932129696291e-7
whitlow_1978_thesis,es095,control,1.8114833899321297,1.811483,3.89932129696291e-7
whitlow_1978_thesis,es096,control,1.4096172530158675,1.409617,2.5301586759063355e-7
whitlow_1978_thesis,es097,control,1.4096172530158675,1.409617,2.5301586759063355e-7
whitlow_1978_thesis,es098,control,0.9308527383533873,0.930853,2.6164661270922096e-7
whitlow_1978_thesis,es099,control,0.9308527383533873,0.930853,2.6164661270922096e-7
whitlow_1978_thesis,es100,control,0.4732861481176055,0.473286,1.4811760551403097e-7
whitlow_1978_thesis,es101,control,0.4732861481176055,0.473286,1.4811760551403097e-7
whitlow_1978_thesis,es102,control,0.5652332633523969,0.565233,2.633523968897933e-7
whitlow_1978_thesis,es103,control,0.5652332633523969,0.565233,2.633523968897933e-7
