study_id,es_id,study_cluster_id,cohort_id,test_cluster_id,timepoint_id,ex_id,con_id,out_id,shared_control,data_status,id_notes,outcome_id_notes,title,doi,publish_in,study_notes,sp_latin,sp_common,strain,dam_age,dam_age_notes,gest_stage_ex,gest_window,gest_stage_ex_notes,exposure_span_d,exposure_type,exposure_session_duration_h,ex_session_duration_notes,noise_type,noise_type_2,loudness_dB,frequency_Hz,noise_notes,control_conditions,control_loudness,control_notes,offspring_sex,offspring_age_d,offspring_age_class,offspring_age_notes,experimental_procedures,experimental_procedures_notes,outcome_type,assay_type,assay_type_notes,measurement_variable,data_type,data_units,measurement_timing,data_source,data_file,c_a_id,ex_a_id,comparison,higher_better,effect_direction_label,higher_better_notes,c_mean,c_mean_analysis,c_mean_derivation,c_mean_source,c_sd,c_sd_analysis,c_sd_derivation,c_sd_source,c_n,c_se,c_se_analysis,c_se_derivation,c_se_source,c_ci,c_median,c_q1,c_q3,ex_mean,ex_mean_analysis,ex_mean_derivation,ex_mean_source,ex_sd,ex_sd_analysis,ex_sd_derivation,ex_sd_source,ex_n,ex_se,ex_se_analysis,ex_se_derivation,ex_se_source,ex_ci,ex_median,ex_q1,ex_q3,stat_comment,general_comment
uygur_2010_aphyhun,es001,uygur_2010_aphyhun,uygur_2010_aphyhun__con001__ex001,uygur_2010_aphyhun__defensive_withdrawal_test_dwt,uygur_2010_aphyhun__con001__ex001__pnd70,ex001,con001,out001,Yes,Corrected transcription,One control and one treatment,Only one assay for anxiety,Effects of chronic stress on cognitive functions and anxiety related behaviors in rats,10.1556/APhysiol.97.2010.3.6,Acta Physiologica Hungarica,,Rattus norvegicus,albino rat,Sprague-Dawley,,not reported,late,late,day 14-21,8,Intermittent,0.75,45 min,White noise,Audible,100,,,Unclear,,"They carried the cages to the other room too, but without any noise exposure",male,70,adolescent,70 days of age,none,,Anxiety,Defensive withdrawal test (DWT),Latency to exit the dark box with all four paws for the first time,Latency to exit the dark box,Time,s,Light Phase,Table II,uygur_2010_table2,CON_lat,PSN_lat,con_psn_lat,No,Positive,Not specified,90.9,90.9,Reported mean; used unchanged,uygur_2010_table2,,185.5940758752822,SD = reported SE * sqrt(n),uygur_2010_table2; reported SE and n,10,58.69,58.69,Reported SEM; used unchanged for analysis,uygur_2010_table2; Table II,,,,,137,137,Reported mean; used unchanged,uygur_2010_table2,,200.70000000000002,SD = reported SE * sqrt(n),uygur_2010_table2; reported SE and n,9,66.9,66.9,Reported SEM; used unchanged for analysis,uygur_2010_table2; Table II,,,,,,
uygur_2010_aphyhun,es002,uygur_2010_aphyhun,uygur_2010_aphyhun__con001__ex001,uygur_2010_aphyhun__defensive_withdrawal_test_dwt,uygur_2010_aphyhun__con001__ex001__pnd70,ex001,con001,out002,Yes,Corrected transcription,One control and one treatment,Only one assay for anxiety,Effects of chronic stress on cognitive functions and anxiety related behaviors in rats,10.1556/APhysiol.97.2010.3.6,Acta Physiologica Hungarica,,Rattus norvegicus,albino rat,Sprague-Dawley,,not reported,late,late,day 14-21,8,Intermittent,0.75,45 min,White noise,Audible,100,,,Unclear,,"They carried the cages to the other room too, but without any noise exposure",male,70,adolescent,70 days of age,none,,Anxiety,Defensive withdrawal test (DWT),,Exits from dark box,Count,Count,Light Phase,Table II,uygur_2010_table2,CON_ex,PSN_ex,con_psn_ex,Yes,Negative,Not specified,4.3,4.3,Reported mean; used unchanged,uygur_2010_table2,,2.593067681338071,SD = reported SE * sqrt(n),uygur_2010_table2; reported SE and n,10,0.82,0.82,Reported SEM; used unchanged for analysis,uygur_2010_table2; Table II,,,,,3.67,3.67,Reported mean; used unchanged,uygur_2010_table2,,2.19,SD = reported SE * sqrt(n),uygur_2010_table2; reported SE and n,9,0.73,0.73,Reported SEM; used unchanged for analysis,uygur_2010_table2; Table II,,,,,,
uygur_2010_aphyhun,es003,uygur_2010_aphyhun,uygur_2010_aphyhun__con001__ex001,uygur_2010_aphyhun__defensive_withdrawal_test_dwt,uygur_2010_aphyhun__con001__ex001__pnd70,ex001,con001,out003,Yes,Corrected transcription,One control and one treatment,Only one assay for anxiety,Effects of chronic stress on cognitive functions and anxiety related behaviors in rats,10.1556/APhysiol.97.2010.3.6,Acta Physiologica Hungarica,,Rattus norvegicus,albino rat,Sprague-Dawley,,not reported,late,late,day 14-21,8,Intermittent,0.75,45 min,White noise,Audible,100,,,Unclear,,"They carried the cages to the other room too, but without any noise exposure",male,70,adolescent,70 days of age,none,,Anxiety,Defensive withdrawal test (DWT),,Time in open field,Time,s,Light Phase,Table II,uygur_2010_table2,CON_oat,PSN_oat,con_psn_oat,Yes,Negative,Not specified,101.74,101.74,Reported mean; used unchanged,uygur_2010_table2,,79.84751091925158,SD = reported SE * sqrt(n),uygur_2010_table2; reported SE and n,10,25.25,25.25,Reported SEM; used unchanged for analysis,uygur_2010_table2; Table II,,,,,66.67,66.67,Reported mean; used unchanged,uygur_2010_table2,,50.61,SD = reported SE * sqrt(n),uygur_2010_table2; reported SE and n,9,16.87,16.87,Reported SEM; used unchanged for analysis,uygur_2010_table2; Table II,,,,,,
barzegar_2014_hippo,es004,barzegar_2014_hippo,barzegar_2014_hippo__con002__ex002,barzegar_2014_hippo__elevated_plus_maze_epm,barzegar_2014_hippo__con002__ex002__pnd46,ex002,con002,out004,Yes,Corrected transcription,They tested 1 h daily exposure duration,Only one assay for anxiety,"Prenatal Exposure to Noise Stress: Anxiety, Impaired Spatial Memory, and Deteriorated Hippocampal Plasticity in Postnatal Life",10.1002/hipo.22363,Hippocampus,,Rattus norvegicus,brown rat,Wistar rat,,not reported,late,late,at the third trimester,7,Intermittent,1,h,White noise,Audible,95,,,Unclear,,Control pregnant animals was kept in the noise chamber for the same period of time without noise exposure,male,46,adolescent,42-50 daysof age,none,,Anxiety,Elevated Plus Maze (EPM),"Evaluated spatial anxiety in rats. As a convention, an entry was defined as having all four paws in the arm.",Entries into open arms (OAE),Percentage,%,Not Reported,Figure 2A,barzegar_2014_figure2a.png,CON_oae,N1_oae,con_n1_oae,Yes,Negative,Not specified,32.07,32.07,Reported mean; used unchanged,barzegar_2014_figure2a.png,10.96,10.96,Reported or previously approved SD; used unchanged,barzegar_2014_figure2a.png,10,3.47,3.47,Digitised reported SEM; used unchanged for analysis,Metadigitise_figs/metaDigitise_output.csv and saved figure image,,,,,33.93,33.93,Reported mean; used unchanged,barzegar_2014_figure2a.png,19.61,19.61,Reported or previously approved SD; used unchanged,barzegar_2014_figure2a.png,10,6.2,6.2,Digitised reported SEM; used unchanged for analysis,Metadigitise_figs/metaDigitise_output.csv and saved figure image,,,,,,
barzegar_2014_hippo,es005,barzegar_2014_hippo,barzegar_2014_hippo__con002__ex002,barzegar_2014_hippo__elevated_plus_maze_epm,barzegar_2014_hippo__con002__ex002__pnd46,ex002,con002,out005,Yes,Corrected transcription,They tested 1 h daily exposure duration,Only one assay for anxiety,"Prenatal Exposure to Noise Stress: Anxiety, Impaired Spatial Memory, and Deteriorated Hippocampal Plasticity in Postnatal Life",10.1002/hipo.22363,Hippocampus,,Rattus norvegicus,brown rat,Wistar rat,,not reported,late,late,at the third trimester,7,Intermittent,1,h,White noise,Audible,95,,,Unclear,,Control pregnant animals was kept in the noise chamber for the same period of time without noise exposure,male,46,adolescent,42-50 daysof age,none,,Anxiety,Elevated Plus Maze (EPM),Evaluated spatial anxiety in rats,Time in open arms (OAT),Percentage,%,Not Reported,Figure 2B,barzegar_2014_figure2b.png,CON_oat,N1_oat,con_n1_oat,Yes,Negative,Not specified,30.02,30.02,Reported mean; used unchanged,barzegar_2014_figure2b.png,6.41,6.41,Reported or previously approved SD; used unchanged,barzegar_2014_figure2b.png,10,2.03,2.03,Digitised reported SEM; used unchanged for analysis,Metadigitise_figs/metaDigitise_output.csv and saved figure image,,,,,30.78,30.78,Reported mean; used unchanged,barzegar_2014_figure2b.png,4.33,4.33,Reported or previously approved SD; used unchanged,barzegar_2014_figure2b.png,10,1.37,1.37,Digitised reported SEM; used unchanged for analysis,Metadigitise_figs/metaDigitise_output.csv and saved figure image,,,,,,
barzegar_2014_hippo,es006,barzegar_2014_hippo,barzegar_2014_hippo__con002__ex003,barzegar_2014_hippo__elevated_plus_maze_epm,barzegar_2014_hippo__con002__ex003__pnd46,ex003,con002,out004,Yes,Corrected transcription,They tested 2 h daily exposure duration,Only one assay for anxiety,"Prenatal Exposure to Noise Stress: Anxiety, Impaired Spatial Memory, and Deteriorated Hippocampal Plasticity in Postnatal Life",10.1002/hipo.22363,Hippocampus,,Rattus norvegicus,brown rat,Wistar rat,,not reported,late,late,at the third trimester,7,Intermittent,2,h,White noise,Audible,95,,,Unclear,,Control pregnant animals was kept in the noise chamber for the same period of time without noise exposure,male,46,adolescent,42-50 daysof age,none,,Anxiety,Elevated Plus Maze (EPM),Evaluated spatial anxiety in rats,Entries into open arms (OAE),Percentage,%,Not Reported,Figure 2A,barzegar_2014_figure2a.png,CON_oae,N2_oae,con_n2_oae,Yes,Negative,Not specified,32.07,32.07,Reported mean; used unchanged,barzegar_2014_figure2a.png,10.96,10.96,Reported or previously approved SD; used unchanged,barzegar_2014_figure2a.png,10,3.47,3.47,Digitised reported SEM; used unchanged for analysis,Metadigitise_figs/metaDigitise_output.csv and saved figure image,,,,,14.27,14.27,Reported mean; used unchanged,barzegar_2014_figure2a.png,8.43,8.43,Reported or previously approved SD; used unchanged,barzegar_2014_figure2a.png,10,2.666667,2.666667,Digitised reported SEM; used unchanged for analysis,Metadigitise_figs/metaDigitise_output.csv and saved figure image,,,,,,
barzegar_2014_hippo,es007,barzegar_2014_hippo,barzegar_2014_hippo__con002__ex003,barzegar_2014_hippo__elevated_plus_maze_epm,barzegar_2014_hippo__con002__ex003__pnd46,ex003,con002,out005,Yes,Corrected transcription,They tested 2 h daily exposure duration,Only one assay for anxiety,"Prenatal Exposure to Noise Stress: Anxiety, Impaired Spatial Memory, and Deteriorated Hippocampal Plasticity in Postnatal Life",10.1002/hipo.22363,Hippocampus,,Rattus norvegicus,brown rat,Wistar rat,,not reported,late,late,at the third trimester,7,Intermittent,2,h,White noise,Audible,95,,,Unclear,,Control pregnant animals was kept in the noise chamber for the same period of time without noise exposure,male,46,adolescent,42-50 daysof age,none,,Anxiety,Elevated Plus Maze (EPM),Evaluated spatial anxiety in rats,Time in open arms (OAT),Percentage,%,Not Reported,Figure 2B,barzegar_2014_figure2b.png,CON_oat,N2_oat,con_n2_oat,Yes,Negative,Not specified,30.02,30.02,Reported mean; used unchanged,barzegar_2014_figure2b.png,6.41,6.41,Reported or previously approved SD; used unchanged,barzegar_2014_figure2b.png,10,2.03,2.03,Digitised reported SEM; used unchanged for analysis,Metadigitise_figs/metaDigitise_output.csv and saved figure image,,,,,21.53,21.53,Reported mean; used unchanged,barzegar_2014_figure2b.png,5.72,5.72,Reported or previously approved SD; used unchanged,barzegar_2014_figure2b.png,10,1.81,1.81,Digitised reported SEM; used unchanged for analysis,Metadigitise_figs/metaDigitise_output.csv and saved figure image,,,,,,
barzegar_2014_hippo,es008,barzegar_2014_hippo,barzegar_2014_hippo__con002__ex004,barzegar_2014_hippo__elevated_plus_maze_epm,barzegar_2014_hippo__con002__ex004__pnd46,ex004,con002,out004,Yes,Corrected transcription,They tested 4 h daily exposure duration,Only one assay for anxiety,"Prenatal Exposure to Noise Stress: Anxiety, Impaired Spatial Memory, and Deteriorated Hippocampal Plasticity in Postnatal Life",10.1002/hipo.22363,Hippocampus,,Rattus norvegicus,brown rat,Wistar rat,,not reported,late,late,at the third trimester,7,Intermittent,4,h,White noise,Audible,95,,,Unclear,,Control pregnant animals was kept in the noise chamber for the same period of time without noise exposure,male,46,adolescent,42-50 daysof age,none,,Anxiety,Elevated Plus Maze (EPM),Evaluated spatial anxiety in rats,Entries into open arms (OAE),Percentage,%,Not Reported,Figure 2A,barzegar_2014_figure2a.png,CON_oae,N4_oae,con_n4_oae,Yes,Negative,Not specified,32.07,32.07,Reported mean; used unchanged,barzegar_2014_figure2a.png,10.96,10.96,Reported or previously approved SD; used unchanged,barzegar_2014_figure2a.png,10,3.47,3.47,Digitised reported SEM; used unchanged for analysis,Metadigitise_figs/metaDigitise_output.csv and saved figure image,,,,,15.33,15.33,Reported mean; used unchanged,barzegar_2014_figure2a.png,8.85,8.85,Reported or previously approved SD; used unchanged,barzegar_2014_figure2a.png,10,2.8,2.8,Digitised reported SEM; used unchanged for analysis,Metadigitise_figs/metaDigitise_output.csv and saved figure image,,,,,,
barzegar_2014_hippo,es009,barzegar_2014_hippo,barzegar_2014_hippo__con002__ex004,barzegar_2014_hippo__elevated_plus_maze_epm,barzegar_2014_hippo__con002__ex004__pnd46,ex004,con002,out005,Yes,Corrected transcription,They tested 4 h daily exposure duration,Only one assay for anxiety,"Prenatal Exposure to Noise Stress: Anxiety, Impaired Spatial Memory, and Deteriorated Hippocampal Plasticity in Postnatal Life",10.1002/hipo.22363,Hippocampus,,Rattus norvegicus,brown rat,Wistar rat,,not reported,late,late,at the third trimester,7,Intermittent,4,h,White noise,Audible,95,,,Unclear,,Control pregnant animals was kept in the noise chamber for the same period of time without noise exposure,male,46,adolescent,42-50 daysof age,none,,Anxiety,Elevated Plus Maze (EPM),Evaluated spatial anxiety in rats,Time in open arms (OAT),Percentage,%,Not Reported,Figure 2B,barzegar_2014_figure2b.png,CON_oat,N4_oat,con_n4_oat,Yes,Negative,Not specified,30.02,30.02,Reported mean; used unchanged,barzegar_2014_figure2b.png,6.41,6.41,Reported or previously approved SD; used unchanged,barzegar_2014_figure2b.png,10,2.03,2.03,Digitised reported SEM; used unchanged for analysis,Metadigitise_figs/metaDigitise_output.csv and saved figure image,,,,,16.92,16.92,Reported mean; used unchanged,barzegar_2014_figure2b.png,8.31,8.31,Reported or previously approved SD; used unchanged,barzegar_2014_figure2b.png,10,2.63,2.63,Digitised reported SEM; used unchanged for analysis,Metadigitise_figs/metaDigitise_output.csv and saved figure image,,,,,,
hassanvand_2012_phyphar,es010,hassanvand_2012_phyphar,hassanvand_2012_phyphar__con003__ex005,hassanvand_2012_phyphar__open_field_test_oft,hassanvand_2012_phyphar__con003__ex005__pnd90,ex005,con003,out006,Yes,Verified – no change,Only one experiment,Only one assay,Alterations in dopamine related behavior of the offspring of pregnant Wistar rats exposed to noise pollution stress,,Physiology and Pharmacology,,Rattus norvegicus,brown rat,Wistar rat,,not reported 200g,"early, mid",early_mid,day 1-14,14,Intermittent,0.083,15 min,Traffic,Audible,125,,,Unclear,,"Environment without noise""محیط بی سر و صدا""",male,90,adult,3 months,none,They used a car alarm,Anxiety,Open Field Test (OFT),Locomotor and exploratory behaviour,Sniffing,Count,Count,Not Reported,Figure 2,hassanvand_2012_phyphar_Figure2,Control_sniff,Expn_sniff,control_exp_sniff,Yes,Negative,Not specified,41.568,41.568,Reported mean; used unchanged,hassanvand_2012_phyphar_Figure2,2.7625,2.7625,Reported or previously approved SD; used unchanged,hassanvand_2012_phyphar_Figure2,6,,1.127786,SD / sqrt(n); derived for analysis from the extracted SD and sample size,hassanvand_2012_phyphar_Figure2; Figure 2,,,,,35.5825,35.5825,Reported mean; used unchanged,hassanvand_2012_phyphar_Figure2,2.916,2.916,Reported or previously approved SD; used unchanged,hassanvand_2012_phyphar_Figure2,6,,1.190452,SD / sqrt(n); derived for analysis from the extracted SD and sample size,hassanvand_2012_phyphar_Figure2; Figure 2,,,,,,"non-English language, native speaker crossed-checked | Article URL: http://ppj.phypha.ir/article-1-805-en.html"
