study_id,ex_id,con_id,out_id,es_id,shared_control,id_notes,title,doi,publish_in,outcome_id_notes,sp_latin,sp_common,strain,dam_age,dam_age_notes,gest_stage_ex,gest_stage_ex_standardised,gest_stage_ex_notes,exposure_span_d,exposure_type,exposure_session_duration_h,ex_session_duration_notes,noise_type,noise_type_2,loudness_dB,frequency_Hz,control_conditions,control_loudness,control_notes,offspring_sex,offspring_age_d,offspring_age_notes,experimental_procedures,experimental_procedures_notes,outcome_type,assay_type,assay_type_notes,measurement_variable,data_type,data_units,measurement_timing,data_source,data_file,c_a_id,ex_a_id,comparison,comparison_structure,higher_better,effect_direction_label_raw,higher_better_notes,c_mean,c_sd,c_n,c_se,c_ci,ex_mean,ex_sd,ex_n,ex_se,ex_ci,stat_comment,general_comment,c_median,c_q1,c_q3,ex_median,ex_q1,ex_q3,checked_ML,checked_ML_comments,...72,corrections_notes_AL,c_mean_analysis,c_mean_method,c_sd_analysis,c_sd_method,c_se_analysis,c_se_method,ex_mean_analysis,ex_mean_method,ex_sd_analysis,ex_sd_method,ex_se_analysis,ex_se_method
uygur_2010_aphyhun,ex001,con001,out001,es001,Yes,One control and one treatment,Effects of chronic stress on cognitive functions and anxiety related behaviors in rats,10.1556/APhysiol.97.2010.3.6,Acta Physiologica Hungarica,Only one assay for anxiety,Rattus norvegicus,albino rat,Sprague-Dawley,,not reported,late,late,day 14-21,8,Intermitent,0.66,45 min,White noise,Audible,100,,unclear,,"They carried the cages to the other room too, but without any noise exposure",male,70,70 days of age,none,,anxiety,Defensive withdrawal test (DWT),Latency to exit the dark box with all four paws for the first time,Latency to exit the dark box,time,seconds,light_phase,Table II,uygur_2010_table2,CON_lat,PSN_lat,con_psn_lat,independent,no,Positive,Not specified,90.9,,9,58.69,,137,,10,66.9,,,,,,,,,,yes,,,,90.9,Extracted mean used unchanged,176.07,SD = SE * sqrt(n),58.69,Extracted SE used unchanged,137,Extracted mean used unchanged,211.5563754652646,SD = SE * sqrt(n),66.9,Extracted SE used unchanged
uygur_2010_aphyhun,ex001,con001,out002,es002,Yes,One control and one treatment,Effects of chronic stress on cognitive functions and anxiety related behaviors in rats,10.1556/APhysiol.97.2010.3.6,Acta Physiologica Hungarica,Only one assay for anxiety,Rattus norvegicus,albino rat,Sprague-Dawley,,not reported,late,late,day 14-21,8,Intermitent,0.66,45 min,White noise,Audible,100,,unclear,,"They carried the cages to the other room too, but without any noise exposure",male,70,70 days of age,none,,anxiety,Defensive withdrawal test (DWT),,Exits from dark box,count,count,light_phase,Table II,uygur_2010_table2,CON_ex,PSN_ex,con_psn_ex,independent,yes,Negative,Not specified,4.3,,9,0.82,,3.67,,10,0.73,,,,,,,,,,yes,,,,4.3,Extracted mean used unchanged,2.46,SD = SE * sqrt(n),0.82,Extracted SE used unchanged,3.67,Extracted mean used unchanged,2.308462691922917,SD = SE * sqrt(n),0.73,Extracted SE used unchanged
uygur_2010_aphyhun,ex001,con001,out003,es003,Yes,One control and one treatment,Effects of chronic stress on cognitive functions and anxiety related behaviors in rats,10.1556/APhysiol.97.2010.3.6,Acta Physiologica Hungarica,Only one assay for anxiety,Rattus norvegicus,albino rat,Sprague-Dawley,,not reported,late,late,day 14-21,8,Intermitent,0.66,45 min,White noise,Audible,100,,unclear,,"They carried the cages to the other room too, but without any noise exposure",male,70,70 days of age,none,,anxiety,Defensive withdrawal test (DWT),,Time in open field,time,seconds,light_phase,Table II,uygur_2010_table2,CON_oat,PSN_oat,con_psn_oat,independent,yes,Negative,Not specified,101.74,,9,25.25,,66.67,,10,16.87,,,,,,,,,,yes,,,,101.74,Extracted mean used unchanged,75.75,SD = SE * sqrt(n),25.25,Extracted SE used unchanged,66.67,Extracted mean used unchanged,53.34762412704057,SD = SE * sqrt(n),16.87,Extracted SE used unchanged
barzegar_2014_hippo,ex002,con002,out004,es004,Yes,They tested 1 h daily exposure duration,Effects of chronic stress on cognitive functions and anxiety related behaviors in rats,10.1002/hipo.22363,Hippocampus,Only one assay for anxiety,Rattus norvegicus,brown rat,Wistar rat,,not reported,late,late,at the third trimester,7,Intermitent,1,h,White noise,Audible,,,unclear,,Control pregnant animals was kept in the noise chamber for the same period of time without noise exposure,male,46,42-50 daysof age,none,"95 dBA, they report the loudness in A-weighted filter applied, it's a hearing-based assessment, so they filter out frequencies that humans can't hear. This is not comparable with the dB (flat) with no frequency weighting",anxiety,Elevated Plus Maze (EPM),"Evaluated spatial anxiety in rats. As a convention, an entry was defined as having all four paws in the arm.",Entries into open arms (OAE),percentage,percent,not_reported,Figure 2A,barzegar_2014_figure2,CON_oae,N1_oae,con_n1_oae,independent,yes,Negative,Not specified,32.07,10.96,10,3.47,,33.93,19.61,10,6.2,,,,,,,,,,yes,,,,32.07,Extracted mean used unchanged,10.96,Extracted SD used unchanged,3.47,Extracted SE used unchanged,33.93,Extracted mean used unchanged,19.61,Extracted SD used unchanged,6.2,Extracted SE used unchanged
barzegar_2014_hippo,ex002,con002,out005,es005,Yes,They tested 1 h daily exposure duration,"Prenatal Exposure to Noise Stress: Anxiety, Impaired Spatial Memory, and Deteriorated Hippocampal Plasticity in Postnatal Life",10.1002/hipo.22363,Hippocampus,Only one assay for anxiety,Rattus norvegicus,brown rat,Wistar rat,,not reported,late,late,at the third trimester,7,Intermitent,1,h,White noise,Audible,,,unclear,,Control pregnant animals was kept in the noise chamber for the same period of time without noise exposure,male,46,42-50 daysof age,none,"95 dBA, they report the loudness in A-weighted filter applied, it's a hearing-based assessment, so they filter out frequencies that humans can't hear. This is not comparable with the dB (flat) with no frequency weighting",anxiety,Elevated Plus Maze (EPM),Evaluated spatial anxiety in rats,Time in open arms (OAT),percentage,percent,not_reported,Figure 2B,barzegar_2014_figure2,CON_oat,N1_oat,con_n1_oat,independent,yes,Negative,Not specified,30.02,6.41,10,2.03,,30.78,4.33,10,1.37,,,,,,,,,,yes,,,,30.02,Extracted mean used unchanged,6.41,Extracted SD used unchanged,2.03,Extracted SE used unchanged,30.78,Extracted mean used unchanged,4.33,Extracted SD used unchanged,1.37,Extracted SE used unchanged
barzegar_2014_hippo,ex003,con002,out004,es006,Yes,They tested 2 h daily exposure duration,"Prenatal Exposure to Noise Stress: Anxiety, Impaired Spatial Memory, and Deteriorated Hippocampal Plasticity in Postnatal Life",10.1002/hipo.22363,Hippocampus,Only one assay for anxiety,Rattus norvegicus,brown rat,Wistar rat,,not reported,late,late,at the third trimester,7,Intermitent,2,h,White noise,Audible,,,unclear,,Control pregnant animals was kept in the noise chamber for the same period of time without noise exposure,male,46,42-50 daysof age,none,"95 dBA, they report the loudness in A-weighted filter applied, it's a hearing-based assessment, so they filter out frequencies that humans can't hear. This is not comparable with the dB (flat) with no frequency weighting",anxiety,Elevated Plus Maze (EPM),Evaluated spatial anxiety in rats,Entries into open arms (OAE),percentage,percent,not_reported,Figure 2A,barzegar_2014_figure2,CON_oae,N2_oae,con_n2_oae,independent,yes,Negative,Not specified,32.07,10.96,10,3.47,,14.27,8.43,10,8.43,,,,,,,,,,yes,,,,32.07,Extracted mean used unchanged,10.96,Extracted SD used unchanged,3.47,Extracted SE used unchanged,14.27,Extracted mean used unchanged,8.43,Extracted SD used unchanged,8.43,Extracted SE used unchanged
barzegar_2014_hippo,ex003,con002,out005,es007,Yes,They tested 2 h daily exposure duration,"Prenatal Exposure to Noise Stress: Anxiety, Impaired Spatial Memory, and Deteriorated Hippocampal Plasticity in Postnatal Life",10.1002/hipo.22363,Hippocampus,Only one assay for anxiety,Rattus norvegicus,brown rat,Wistar rat,,not reported,late,late,at the third trimester,7,Intermitent,2,h,White noise,Audible,,,unclear,,Control pregnant animals was kept in the noise chamber for the same period of time without noise exposure,male,46,42-50 daysof age,none,"95 dBA, they report the loudness in A-weighted filter applied, it's a hearing-based assessment, so they filter out frequencies that humans can't hear. This is not comparable with the dB (flat) with no frequency weighting",anxiety,Elevated Plus Maze (EPM),Evaluated spatial anxiety in rats,Time in open arms (OAT),percentage,percent,not_reported,Figure 2B,barzegar_2014_figure2,CON_oat,N2_oat,con_n2_oat,independent,yes,Negative,Not specified,30.02,6.41,10,2.03,,21.53,5.72,10,1.81,,,,,,,,,,yes,,,,30.02,Extracted mean used unchanged,6.41,Extracted SD used unchanged,2.03,Extracted SE used unchanged,21.53,Extracted mean used unchanged,5.72,Extracted SD used unchanged,1.81,Extracted SE used unchanged
barzegar_2014_hippo,ex004,con002,out004,es008,Yes,They tested 4 h daily exposure duration,"Prenatal Exposure to Noise Stress: Anxiety, Impaired Spatial Memory, and Deteriorated Hippocampal Plasticity in Postnatal Life",10.1002/hipo.22363,Hippocampus,Only one assay for anxiety,Rattus norvegicus,brown rat,Wistar rat,,not reported,late,late,at the third trimester,7,Intermitent,4,h,White noise,Audible,,,unclear,,Control pregnant animals was kept in the noise chamber for the same period of time without noise exposure,male,46,42-50 daysof age,none,"95 dBA, they report the loudness in A-weighted filter applied, it's a hearing-based assessment, so they filter out frequencies that humans can't hear. This is not comparable with the dB (flat) with no frequency weighting",anxiety,Elevated Plus Maze (EPM),Evaluated spatial anxiety in rats,Entries into open arms (OAE),percentage,percent,not_reported,Figure 2A,barzegar_2014_figure2,CON_oae,N4_oae,con_n4_oae,independent,yes,Negative,Not specified,32.07,10.96,10,3.47,,15.33,8.85,10,2.8,,,,,,,,,,yes,,,,32.07,Extracted mean used unchanged,10.96,Extracted SD used unchanged,3.47,Extracted SE used unchanged,15.33,Extracted mean used unchanged,8.85,Extracted SD used unchanged,2.8,Extracted SE used unchanged
barzegar_2014_hippo,ex004,con002,out005,es009,Yes,They tested 4 h daily exposure duration,"Prenatal Exposure to Noise Stress: Anxiety, Impaired Spatial Memory, and Deteriorated Hippocampal Plasticity in Postnatal Life",10.1002/hipo.22363,Hippocampus,Only one assay for anxiety,Rattus norvegicus,brown rat,Wistar rat,,not reported,late,late,at the third trimester,7,Intermitent,4,h,White noise,Audible,,,unclear,,Control pregnant animals was kept in the noise chamber for the same period of time without noise exposure,male,46,42-50 daysof age,none,"95 dBA, they report the loudness in A-weighted filter applied, it's a hearing-based assessment, so they filter out frequencies that humans can't hear. This is not comparable with the dB (flat) with no frequency weighting",anxiety,Elevated Plus Maze (EPM),Evaluated spatial anxiety in rats,Time in open arms (OAT),percentage,percent,not_reported,Figure 2B,barzegar_2014_figure2b,CON_oat,N4_oat,con_n4_oat,independent,yes,Negative,Not specified,30.02,6.41,10,2.03,,16.92,8.31,10,2.63,,,,,,,,,,yes,,,"Done! re-extracted, I swapped the selection in meta-digitise",30.02,Extracted mean used unchanged,6.41,Extracted SD used unchanged,2.03,Extracted SE used unchanged,16.92,Extracted mean used unchanged,8.31,Extracted SD used unchanged,2.63,Extracted SE used unchanged
hassanvand_2012_phyphar,ex005,con003,out006,es010,Yes,Only one experiment,"Alterations in dopamine related behavior of the offspring of pregnant Wistar
rats exposed to noise pollution stress",http://ppj.phypha.ir/article-1-805-en.html,Physiology and Pharmacology,Only one assay,Rattus norvegicus,brown rat,Wistar rat,,not reported 200g,"early, mid",early_mid,day 1-14,14,Intermitent,0.083,15 min,Traffic,Audible,125,,unclear,,"Environment without noise""محیط بی سر و صدا""",male,90,3 months,none,They used a car alarm,anxiety,Open Field Test (OFT),Locomotor and exploratory behaviour,Sniffing,count,count,not_reported,Figure 2,hassanvand_2012_phyphar_Figure2,Control_sniff,Expn_sniff,control_exp_sniff,independent,yes,Negative,Not specified,41.568,2.7625,6,1.1278,,35.5825,2.916,6,1.1904,,,"non-English language, ask native speaker",,,,,,,recheck,whiskers in the plot extracted as SD values but more likely they are SE values,"Done! re-extracted, I swapped the selection in meta-digitise","Done! re-extracted, I swapped the selection in meta-digitise",41.568,Extracted mean used unchanged,2.7625,Extracted SD used unchanged,1.1278,Extracted SE used unchanged,35.5825,Extracted mean used unchanged,2.916,Extracted SD used unchanged,1.1904,Extracted SE used unchanged
