matrix_row,study_id,es_id,ex_id,con_id,out_id,ex_n,c_n,effect_size,sampling_variance
1,uygur_2010_aphyhun,es001,ex001,con001,out001,10,9,-0.14434937125025482,0.7733829364532602
2,uygur_2010_aphyhun,es002,ex001,con001,out002,10,9,0.08629955910630033,0.19398637920357245
3,uygur_2010_aphyhun,es003,ex001,con001,out003,10,9,0.06389513029643393,0.24367758127711983
4,hassanvand_2012_phyphar,es010,ex005,con003,out006,6,6,0.20936183671181993,0.20185540828836415
5,hassanvand_2012_phyphar,es011,ex005,con003,out007,6,6,-0.106985559240524,0.20525427309798183
6,hassanvand_2012_phyphar,es012,ex005,con003,out008,6,6,-0.6765503263034404,0.20681204364266997
7,arjunan_2023_stress,es013,ex006,con004,out009,6,6,0.02279330036244076,0.20451142923227444
8,arjunan_2023_stress,es014,ex006,con004,out010,6,6,-0.9754416343620764,0.22935398241976085
9,arjunan_2023_stress,es015,ex007,con004,out009,6,6,-0.19135499483224455,0.20370641986116544
10,arjunan_2023_stress,es016,ex007,con004,out010,6,6,-1.817786110635682,0.226433756579005
11,arjunan_2023_stress,es017,ex008,con004,out009,6,6,0.09146519268155928,0.20485200802556425
12,arjunan_2023_stress,es018,ex008,con004,out010,6,6,-1.873485977939336,0.22636385372743775
13,abramova_2024_devneur,es021,ex010,con006,out013,49,37,-0.07116489849626725,0.04463643729248609
14,abramova_2024_devneur,es022,ex011,con007,out013,44,35,0.16902885531921272,0.04457407215073095
15,abramova_2024_devneur,es023,ex010,con006,out014,49,37,0.2004116826046414,0.04272033187955637
16,abramova_2024_devneur,es024,ex011,con007,out014,44,35,0.02421858862901714,0.04519158580172934
17,abramova_2024_devneur,es025,ex010,con006,out015,49,37,-0.3390897507382698,0.0902207129471312
18,abramova_2024_devneur,es026,ex011,con007,out015,44,35,-0.34640448116281614,0.13280587495526525
19,abramova_2024_devneur,es027,ex010,con006,out016,49,37,0.16451166556363897,0.04606719315254604
