matrix_row,study_id,es_id,ex_id,con_id,out_id,ex_n,c_n,effect_size,sampling_variance
1,uygur_2010_aphyhun,es001,ex001,con001,out001,10,9,0.17666542594840862,0.11805555555555557
2,uygur_2010_aphyhun,es002,ex001,con001,out002,10,9,-0.07052399273139315,0.11805555555555557
3,uygur_2010_aphyhun,es003,ex001,con001,out003,10,9,-0.35755344577902304,0.11805555555555557
4,hassanvand_2012_phyphar,es010,ex005,con003,out006,6,6,0.05407674730254044,0.2
5,hassanvand_2012_phyphar,es011,ex005,con003,out007,6,6,0.287682072451781,0.2
6,hassanvand_2012_phyphar,es012,ex005,con003,out008,6,6,-0.5340943810234661,0.2
7,arjunan_2023_stress,es013,ex006,con004,out009,6,6,-0.3185019575900542,0.2
8,arjunan_2023_stress,es014,ex006,con004,out010,6,6,-0.3702882267995159,0.2
9,arjunan_2023_stress,es015,ex007,con004,out009,6,6,-0.7886116932606334,0.2
10,arjunan_2023_stress,es016,ex007,con004,out010,6,6,-0.9647707704402332,0.2
11,arjunan_2023_stress,es017,ex008,con004,out009,6,6,-0.7886116932606334,0.2
12,arjunan_2023_stress,es018,ex008,con004,out010,6,6,-0.8472978603872037,0.2
13,abramova_2024_devneur,es021,ex010,con006,out013,49,37,-0.5643917913071284,0.02430555555555555
14,abramova_2024_devneur,es022,ex011,con007,out013,44,35,-0.16933141948418412,0.02633378932968536
15,abramova_2024_devneur,es023,ex010,con006,out014,49,37,-0.626238606020368,0.02430555555555555
16,abramova_2024_devneur,es024,ex011,con007,out014,44,35,-0.27736271825615677,0.02633378932968536
17,abramova_2024_devneur,es025,ex010,con006,out015,49,37,1.7311288331658845,0.02430555555555555
18,abramova_2024_devneur,es026,ex011,con007,out015,44,35,0.607548181495745,0.02633378932968536
19,abramova_2024_devneur,es027,ex010,con006,out016,49,37,0.4682120053581278,0.02430555555555555
20,abramova_2024_devneur,es028,ex011,con007,out016,44,35,0.34805451364777024,0.02633378932968536
21,abramova_2024_devneur,es029,ex010,con006,out017,49,37,0.2453768735311309,0.02430555555555555
22,abramova_2024_devneur,es030,ex011,con007,out017,44,35,0.4256686075545261,0.02633378932968536
23,abramova_2024_devneur,es031,ex010,con006,out018,49,37,0.4530106602276666,0.02430555555555555
24,abramova_2024_devneur,es032,ex011,con007,out018,44,35,-0.10174950288322664,0.02633378932968536
25,abramova_2024_devneur,es033,ex010,con006,out019,49,37,0.6761184922541151,0.02430555555555555
26,abramova_2024_devneur,es034,ex011,con007,out019,44,35,-0.1976011104938429,0.02633378932968536
27,abramova_2024_devneur,es035,ex010,con006,out020,49,37,0.1991563479929919,0.02430555555555555
28,abramova_2024_devneur,es036,ex011,con007,out020,44,35,0.03570391673588763,0.02633378932968536
29,abramova_2024_devneur,es037,ex010,con006,out021,49,37,1.0503920013056358,0.02430555555555555
30,abramova_2024_devneur,es038,ex011,con007,out021,44,35,1.1310410017488228,0.02633378932968536
31,abramova_2024_devneur,es039,ex010,con006,out022,49,37,0.25217049648494205,0.02430555555555555
32,abramova_2024_devneur,es040,ex011,con007,out022,44,35,1.1078629641785265,0.02633378932968536
33,abramova_2024_devneur,es041,ex010,con006,out023,49,37,0.01973067485744178,0.02430555555555555
34,abramova_2024_devneur,es042,ex011,con007,out023,44,35,0.6139078442181843,0.02633378932968536
35,abramova_2024_devneur,es043,ex010,con006,out024,13,14,-0.3394241314581108,0.08012820512820512
36,abramova_2024_devneur,es044,ex011,con007,out024,14,12,0.02409758007702418,0.08391608391608392
37,abramova_2024_devneur,es045,ex010,con006,out025,49,37,0.3647629013816909,0.02430555555555555
38,abramova_2024_devneur,es046,ex011,con007,out025,44,35,-0.07870079204963831,0.02633378932968536
39,oliveira_2015_jbehavbraisci,es047,ex012,con008,out026,12,12,-0.5596157879354228,0.06818181818181818
40,oliveira_2015_jbehavbraisci,es048,ex012,con008,out026,12,12,0.10085095376767492,0.06818181818181818
41,oliveira_2015_jbehavbraisci,es049,ex012,con008,out026,12,12,0.13006256496135307,0.06818181818181818
42,oliveira_2015_jbehavbraisci,es050,ex012,con008,out027,12,12,0.7546857399875976,0.06818181818181818
43,oliveira_2015_jbehavbraisci,es051,ex012,con008,out027,12,12,-0.6807554482647818,0.06818181818181818
44,oliveira_2015_jbehavbraisci,es052,ex012,con008,out027,12,12,0.6931471805599453,0.06818181818181818
45,pavlov_2023_molsci,es053,ex013,con009,out028,14,10,0.31066903465329965,0.09401709401709402
46,pavlov_2023_molsci,es054,ex013,con009,out029,14,10,-0.6830612671221242,0.09401709401709402
47,pavlov_2023_molsci,es055,ex013,con009,out030,14,10,-0.4678554001173577,0.09401709401709402
48,pavlov_2023_molsci,es056,ex013,con009,out031,14,10,-0.7963805069158734,0.09401709401709402
49,pavlov_2023_molsci,es057,ex013,con009,out032,14,10,-0.26867108490368175,0.09401709401709402
50,nishio_2006_intjdevlneur,es062,ex014,con010,out035,5,5,-0.3709789320369951,0.25
51,nishio_2006_intjdevlneur,es063,ex015,con011,out035,5,5,-0.7398648051274052,0.25
52,uygur_2011_ankarauniv,es064,ex016,con012,out036,10,9,-0.00752754932161951,0.11805555555555557
53,uygur_2011_ankarauniv,es065,ex016,con012,out036,10,9,-0.00664807860280422,0.11805555555555557
54,uygur_2011_ankarauniv,es066,ex016,con012,out037,10,9,-0.00656368601838029,0.11805555555555557
55,uygur_2011_ankarauniv,es067,ex016,con012,out037,10,9,-0.00655858229802309,0.11805555555555557
56,uygur_2011_ankarauniv,es068,ex016,con012,out038,10,9,-0.00238343495972958,0.11805555555555557
57,uygur_2011_ankarauniv,es069,ex016,con012,out038,10,9,-0.00833140788580693,0.11805555555555557
58,uygur_2011_ankarauniv,es070,ex016,con012,out039,10,9,-0.00674212386414792,0.11805555555555557
59,uygur_2011_ankarauniv,es071,ex016,con012,out039,10,9,-0.00649537884097689,0.11805555555555557
60,morra_1965_physiolrec,es072,ex017,con013,out040,35,63,-0.00533482482280673,0.02277039848197343
61,morra_1965_physiolrec,es073,ex017,con013,out041,35,63,0.0439127610211403,0.02277039848197343
62,abramova_2021_front,es074,ex018,con014,out042,19,25,-0.2109675067565465,0.0486111111111111
63,abramova_2021_front,es075,ex019,con015,out042,18,23,-0.14120132819033732,0.05213903743315508
64,abramova_2021_front,es076,ex018,con014,out043,19,25,-0.44312846162474584,0.0486111111111111
65,abramova_2021_front,es077,ex019,con015,out043,18,23,-0.7339893465074016,0.05213903743315508
66,abramova_2021_front,es078,ex018,con014,out044,19,25,0.3149734026733974,0.0486111111111111
67,abramova_2021_front,es079,ex019,con015,out044,18,23,-0.07707578422832062,0.05213903743315508
68,abramova_2021_front,es080,ex018,con014,out045,19,25,0.41904413243753097,0.0486111111111111
69,abramova_2021_front,es081,ex019,con015,out045,18,23,-1.130724480534541,0.05213903743315508
70,abramova_2021_front,es082,ex018,con014,out046,19,25,0.07467548611097378,0.0486111111111111
71,abramova_2021_front,es083,ex019,con015,out046,18,23,0.18381626838258733,0.05213903743315508
72,abramova_2021_front,es084,ex018,con014,out047,19,25,-0.00893116898870525,0.0486111111111111
73,abramova_2021_front,es085,ex019,con015,out047,18,23,0.28202850804097557,0.05213903743315508
74,abramova_2021_front,es086,ex018,con014,out048,19,25,0.3920181827365122,0.0486111111111111
75,abramova_2021_front,es087,ex019,con015,out048,18,23,0.2916031721368781,0.05213903743315508
76,badache_2017_stress,es088,ex020,con016,out049,16,16,0.09834039742269156,0.06666666666666667
77,badache_2017_stress,es089,ex020,con016,out050,16,16,-0.5936241030767474,0.06666666666666667
78,badache_2017_stress,es090,ex020,con016,out051,16,16,-1.274502955131774,0.06666666666666667
79,badache_2017_stress,es091,ex020,con016,out052,16,16,-0.9578999811948538,0.06666666666666667
80,badache_2017_stress,es092,ex020,con016,out053,16,16,-0.7735563707903964,0.06666666666666667
81,badache_2017_stress,es093,ex020,con016,out054,16,16,-0.790672200693823,0.06666666666666667
82,whitlow_1978_thesis,es094,ex021,con017,out055,20,20,0.04093456409874169,0.03947368421052631
83,whitlow_1978_thesis,es095,ex022,con017,out055,20,20,-0.03763208776922344,0.03947368421052631
84,whitlow_1978_thesis,es096,ex021,con017,out055,20,20,0.03708914778392411,0.03947368421052631
85,whitlow_1978_thesis,es097,ex022,con017,out055,20,20,-0.0373151694493456,0.03947368421052631
86,whitlow_1978_thesis,es098,ex021,con017,out055,20,20,0.21681546864193144,0.03947368421052631
87,whitlow_1978_thesis,es099,ex022,con017,out055,20,20,-0.04789935540749127,0.03947368421052631
88,whitlow_1978_thesis,es100,ex021,con017,out056,20,20,-0.09821527427577692,0.03947368421052631
89,whitlow_1978_thesis,es101,ex022,con017,out056,20,20,-0.09457342019076195,0.03947368421052631
90,whitlow_1978_thesis,es102,ex021,con017,out056,20,20,-0.05970280218312852,0.03947368421052631
91,whitlow_1978_thesis,es103,ex022,con017,out056,20,20,-0.14280875024173306,0.03947368421052631
92,whitlow_1978_thesis,es104,ex021,con017,out056,20,20,-0.01994654457155351,0.03947368421052631
93,whitlow_1978_thesis,es105,ex022,con017,out056,20,20,-0.11112658018418686,0.03947368421052631
94,whitlow_1978_thesis,es106,ex021,con017,out057,20,20,0.15613058926840065,0.03947368421052631
95,whitlow_1978_thesis,es107,ex022,con017,out057,20,20,0.07525528259454337,0.03947368421052631
96,whitlow_1978_thesis,es108,ex021,con017,out057,20,20,-0.05653484201623896,0.03947368421052631
97,whitlow_1978_thesis,es109,ex022,con017,out057,20,20,-0.09630396203295148,0.03947368421052631
98,whitlow_1978_thesis,es110,ex021,con017,out057,20,20,0.4070560494385388,0.03947368421052631
99,whitlow_1978_thesis,es111,ex022,con017,out057,20,20,0.4599906617957395,0.03947368421052631
100,whitlow_1978_thesis,es112,ex021,con018,out058,20,20,0.22116971947292904,0.03947368421052631
101,whitlow_1978_thesis,es113,ex022,con018,out058,20,20,0.14260306760496405,0.03947368421052631
102,whitlow_1978_thesis,es114,ex021,con018,out058,20,20,0.14954258171741855,0.03947368421052631
103,whitlow_1978_thesis,es115,ex022,con018,out058,20,20,0.07513826448414884,0.03947368421052631
104,whitlow_1978_thesis,es116,ex021,con018,out058,20,20,0.16766961756700516,0.03947368421052631
105,whitlow_1978_thesis,es117,ex022,con018,out058,20,20,-0.0970452064824174,0.03947368421052631
106,whitlow_1978_thesis,es118,ex021,con018,out059,20,20,-0.04808006912093553,0.03947368421052631
107,whitlow_1978_thesis,es119,ex022,con018,out059,20,20,-0.04443821503592054,0.03947368421052631
108,whitlow_1978_thesis,es120,ex021,con018,out059,20,20,0.23946465534017403,0.03947368421052631
109,whitlow_1978_thesis,es121,ex022,con018,out059,20,20,0.15635870728156956,0.03947368421052631
110,whitlow_1978_thesis,es122,ex021,con018,out059,20,20,-0.02096664054902599,0.03947368421052631
111,whitlow_1978_thesis,es123,ex022,con018,out059,20,20,-0.1121466761616594,0.03947368421052631
112,whitlow_1978_thesis,es124,ex021,con018,out060,20,20,-0.00149045810568051,0.03947368421052631
113,whitlow_1978_thesis,es125,ex022,con018,out060,20,20,-0.08236576477953779,0.03947368421052631
114,whitlow_1978_thesis,es126,ex021,con018,out060,20,20,0.13060366681312108,0.03947368421052631
115,whitlow_1978_thesis,es127,ex022,con018,out060,20,20,0.09083454679640864,0.03947368421052631
116,whitlow_1978_thesis,es128,ex021,con018,out060,20,20,-0.03774263687844446,0.03947368421052631
117,whitlow_1978_thesis,es129,ex022,con018,out060,20,20,0.01519197547875628,0.03947368421052631
118,abramova_2020_genpath,es130,ex023,con019,out061,19,8,0.40909313517005463,0.0992063492063492
119,abramova_2020_genpath,es131,ex024,con020,out061,16,8,0.09586977687747784,0.10476190476190476
120,abramova_2020_genpath,es132,ex023,con019,out062,19,8,0.4515458899269532,0.0992063492063492
121,abramova_2020_genpath,es133,ex024,con020,out062,16,8,0.2820085413894945,0.10476190476190476
122,abramova_2020_genpath,es134,ex023,con019,out063,19,8,-0.7874417070294937,0.0992063492063492
123,abramova_2020_genpath,es135,ex024,con020,out063,16,8,-0.7152706652589234,0.10476190476190476
124,abramova_2020_genpath,es136,ex023,con019,out064,19,8,0.5504353372277446,0.0992063492063492
125,abramova_2020_genpath,es137,ex024,con020,out064,16,8,-0.1318953001585926,0.10476190476190476
126,abramova_2020_genpath,es138,ex023,con019,out065,19,8,0.9913217349340172,0.0992063492063492
127,abramova_2020_genpath,es139,ex024,con020,out065,16,8,0.2512601416590601,0.10476190476190476
128,abramova_2020_genpath,es140,ex023,con019,out066,19,8,-0.575152186470143,0.0992063492063492
129,abramova_2020_genpath,es141,ex024,con020,out066,16,8,-0.31804420073160455,0.10476190476190476
130,abramova_2020_genpath,es142,ex023,con019,out067,19,20,0.8386450061453561,0.05409356725146198
131,abramova_2020_genpath,es143,ex024,con020,out067,16,18,0.6240407570637236,0.06274509803921569
132,abramova_2020_genpath,es144,ex023,con019,out068,19,20,0.8699445517907163,0.05409356725146198
133,abramova_2020_genpath,es145,ex024,con020,out068,16,18,0.6500482695702505,0.06274509803921569
134,abramova_2020_genpath,es146,ex023,con019,out069,19,20,0.40791572723919745,0.05409356725146198
135,abramova_2020_genpath,es147,ex024,con020,out069,16,18,0.2180234878620572,0.06274509803921569
136,abramova_2020_genpath,es148,ex023,con019,out070,19,20,0.5638571378646667,0.05409356725146198
137,abramova_2020_genpath,es149,ex024,con020,out070,16,18,0.02625913105278359,0.06274509803921569
138,abramova_2020_genpath,es150,ex023,con019,out071,19,20,0.5749175889742342,0.05409356725146198
139,abramova_2020_genpath,es151,ex024,con020,out071,16,18,0.3318580355082985,0.06274509803921569
140,abramova_2020_genpath,es152,ex023,con019,out072,19,20,-0.6121266697656151,0.05409356725146198
141,abramova_2020_genpath,es153,ex024,con020,out072,16,18,-0.6908168534250376,0.06274509803921569
142,abramova_2020_genpath,es154,ex023,con019,out073,19,20,0.33004782189045256,0.05409356725146198
143,abramova_2020_genpath,es155,ex024,con020,out073,16,18,0.19861039088183283,0.06274509803921569
144,abramova_2020_genpath,es156,ex023,con019,out074,19,20,-1.1658130765733352,0.05409356725146198
145,abramova_2020_genpath,es157,ex024,con020,out074,16,18,-0.5114841595590188,0.06274509803921569
146,abramova_2020_genpath,es158,ex023,con019,out075,19,20,0.06154907225389687,0.05409356725146198
147,abramova_2020_genpath,es159,ex024,con020,out075,16,18,-0.1872458155718724,0.06274509803921569
148,abramova_2020_genpath,es160,ex023,con019,out076,19,21,0.11467811184382908,0.05277777777777778
149,abramova_2020_genpath,es161,ex024,con020,out076,16,18,0.30202601817893615,0.06274509803921569
150,abramova_2020_genpath,es162,ex023,con019,out077,19,8,-0.2190663001905048,0.0992063492063492
151,abramova_2020_genpath,es163,ex024,con020,out077,16,17,0.25260058700088284,0.06458333333333333
152,abramova_2023_biopsy,es164,ex025,con021,out078,10,9,0.2464049489268312,0.11805555555555557
153,abramova_2023_biopsy,es165,ex026,con022,out078,8,10,0.28077776634249973,0.12698412698412698
154,abramova_2023_biopsy,es166,ex025,con021,out079,10,9,-0.3025796278352556,0.11805555555555557
155,abramova_2023_biopsy,es167,ex026,con022,out079,8,10,-0.48136741112460246,0.12698412698412698
156,abramova_2023_biopsy,es168,ex025,con021,out080,10,9,-0.7170134911438878,0.11805555555555557
157,abramova_2023_biopsy,es169,ex026,con022,out080,8,10,-1.2268423070168015,0.12698412698412698
158,abramova_2023_biopsy,es170,ex025,con021,out081,10,9,1.4217738926440628,0.11805555555555557
159,abramova_2023_biopsy,es171,ex026,con022,out081,8,10,1.806412503267061,0.12698412698412698
160,abramova_2023_biopsy,es172,ex025,con021,out082,10,9,1.142568574422928,0.11805555555555557
161,abramova_2023_biopsy,es173,ex026,con022,out082,8,10,1.1998823873884632,0.12698412698412698
162,abramova_2023_biopsy,es174,ex025,con021,out083,10,9,-0.13661030201260105,0.11805555555555557
163,abramova_2023_biopsy,es175,ex026,con022,out083,8,10,-0.0956906000685408,0.12698412698412698
164,abramova_2023_biopsy,es178,ex025,con021,out085,10,9,0.6647747887018804,0.11805555555555557
165,abramova_2023_biopsy,es179,ex026,con022,out085,8,10,0.6927579129799407,0.12698412698412698
166,abramova_2023_biopsy,es180,ex025,con021,out086,10,9,0.598283320236673,0.11805555555555557
167,abramova_2023_biopsy,es181,ex026,con022,out086,8,10,0.39618703262083776,0.12698412698412698
168,abramova_2023_biopsy,es182,ex025,con021,out087,10,9,-0.17741648488124984,0.11805555555555557
169,abramova_2023_biopsy,es183,ex026,con022,out087,8,10,0.02566880540804309,0.12698412698412698
170,abramova_2023_biopsy,es184,ex025,con021,out088,10,9,-0.1404758370689672,0.11805555555555557
171,abramova_2023_biopsy,es185,ex026,con022,out088,8,10,0.2772350897594723,0.12698412698412698
172,abramova_2023_biopsy,es186,ex025,con021,out089,10,9,0.4731745185423841,0.11805555555555557
173,abramova_2023_biopsy,es187,ex026,con022,out089,8,10,0.25261125082655933,0.12698412698412698
174,abramova_2023_biopsy,es188,ex025,con021,out090,10,9,-0.2796770900989318,0.11805555555555557
175,abramova_2023_biopsy,es189,ex026,con022,out090,8,10,-0.02159977310226436,0.12698412698412698
176,abramova_2023_biopsy,es190,ex025,con021,out091,10,9,-0.02795169388474594,0.11805555555555557
177,abramova_2023_biopsy,es191,ex026,con022,out091,8,10,0.5154371049478838,0.12698412698412698
178,abramova_2023_biopsy,es192,ex025,con021,out092,10,9,0.00128249089384607,0.11805555555555557
179,abramova_2023_biopsy,es193,ex026,con022,out092,8,10,0.6692740032758042,0.12698412698412698
180,abramova_2023_biopsy,es194,ex025,con021,out093,10,9,0.47690897732854654,0.11805555555555557
181,abramova_2023_biopsy,es195,ex026,con022,out093,8,10,1.0757427859772444,0.12698412698412698
182,abramova_2023_biopsy,es198,ex025,con021,out095,10,9,-0.23051912316347817,0.11805555555555557
183,abramova_2023_biopsy,es199,ex026,con022,out095,8,10,-0.6115145489467703,0.12698412698412698
184,abramova_2023_biopsy,es200,ex025,con021,out096,10,9,-0.02386631058394286,0.11805555555555557
185,abramova_2023_biopsy,es201,ex026,con022,out096,8,10,-0.4924521679228073,0.12698412698412698
186,abramova_2023_biopsy,es202,ex025,con021,out097,10,9,-0.12131695640026116,0.11805555555555557
187,abramova_2023_biopsy,es203,ex026,con022,out097,8,10,-1.274354274248425,0.12698412698412698
188,abramova_2023_biopsy,es204,ex025,con021,out098,10,9,-0.2907356833172917,0.11805555555555557
189,abramova_2023_biopsy,es205,ex026,con022,out098,8,10,-0.22922879970982388,0.12698412698412698
190,abramova_2023_biopsy,es206,ex025,con021,out099,10,9,-0.10182785205365434,0.11805555555555557
191,abramova_2023_biopsy,es207,ex026,con022,out099,8,10,0.7472387190052079,0.12698412698412698
