matrix_row,study_id,es_id,ex_id,con_id,out_id,ex_n,c_n,effect_size,sampling_variance
1,uygur_2010_aphyhun,es001,ex001,con001,out001,10,9,0.32101479719866327,0.6553273808977046
2,uygur_2010_aphyhun,es002,ex001,con001,out002,10,9,0.15682355183769348,0.0759308236480169
3,uygur_2010_aphyhun,es003,ex001,con001,out003,10,9,0.42144857607545705,0.12562202572156428
4,barzegar_2014_hippo,es004,ex002,con002,out004,10,10,-0.03232825700500543,0.01489562201014822
5,barzegar_2014_hippo,es005,ex002,con002,out005,10,10,-0.01414662002598224,0.0020902542040687
6,barzegar_2014_hippo,es006,ex003,con002,out004,10,10,0.440895483221016,0.01348144306901087
7,barzegar_2014_hippo,es007,ex003,con002,out005,10,10,0.1837809435938105,0.00353377280418048
8,barzegar_2014_hippo,es008,ex004,con002,out004,10,10,0.4030839725042804,0.01312438026548633
9,barzegar_2014_hippo,es009,ex004,con002,out005,10,10,0.3132315052223049,0.00828815784134692
10,hassanvand_2012_phyphar,es010,ex005,con003,out006,6,6,0.1552850894092796,0.00185540828836412
11,hassanvand_2012_phyphar,es011,ex005,con003,out007,6,6,-0.394667631692305,0.00525427309798181
12,hassanvand_2012_phyphar,es012,ex005,con003,out008,6,6,-0.14245594527997454,0.00681204364266994
13,arjunan_2023_stress,es013,ex006,con004,out009,6,6,0.3412952579524951,0.00451142923227445
14,arjunan_2023_stress,es014,ex006,con004,out010,6,6,0.6051534075625605,0.02935398241976085
15,arjunan_2023_stress,es015,ex007,con004,out009,6,6,0.5972566984283891,0.00370641986116542
16,arjunan_2023_stress,es016,ex007,con004,out010,6,6,0.8530153401954489,0.02643375657900499
17,arjunan_2023_stress,es017,ex008,con004,out009,6,6,0.8800768859421931,0.00485200802556422
18,arjunan_2023_stress,es018,ex008,con004,out010,6,6,1.0261881175521326,0.02636385372743775
19,hadizadeh_2018_irjbamedsci,es019,ex009,con005,out011,6,6,0.6020041514518896,0.00261419852379465
20,hadizadeh_2018_irjbamedsci,es020,ex009,con005,out012,6,6,0.4838034185447048,0.00321931340029886
21,abramova_2024_devneur,es021,ex010,con006,out013,49,37,0.49322689281086113,0.02033088173693054
22,abramova_2024_devneur,es022,ex011,con007,out013,44,35,0.33836027480339675,0.01824028282104559
23,abramova_2024_devneur,es023,ex010,con006,out014,49,37,0.8266502886250093,0.01841477632400082
24,abramova_2024_devneur,es024,ex011,con007,out014,44,35,0.3015813068851739,0.01885779647204398
25,abramova_2024_devneur,es025,ex010,con006,out015,49,37,2.070218583904154,0.06591515739157564
26,abramova_2024_devneur,es026,ex011,con007,out015,44,35,0.953952662658561,0.10647208562557987
27,abramova_2024_devneur,es027,ex010,con006,out016,49,37,0.30370033979448874,0.02176163759699048
28,abramova_2024_devneur,es028,ex011,con007,out016,44,35,0.5332172632755117,0.02108780576417853
29,abramova_2024_devneur,es029,ex010,con006,out017,49,37,0.08800004153386727,0.01480449326153831
30,abramova_2024_devneur,es030,ex011,con007,out017,44,35,0.530846737925981,0.02017174460755877
31,abramova_2024_devneur,es031,ex010,con006,out018,49,37,0.1072821740975249,0.02192125350123063
32,abramova_2024_devneur,es032,ex011,con007,out018,44,35,0.6566653871948419,0.02661088176596032
33,abramova_2024_devneur,es033,ex010,con006,out019,49,37,-0.08865614504848328,0.00630361282340378
34,abramova_2024_devneur,es034,ex011,con007,out019,44,35,0.3336236629256064,0.0120460666640679
35,abramova_2024_devneur,es035,ex010,con006,out020,49,37,0.13621755120163062,0.00541077431996408
36,abramova_2024_devneur,es036,ex011,con007,out020,44,35,0.33456236851789606,0.00639290354935324
37,abramova_2024_devneur,es037,ex010,con006,out021,49,37,1.0817287317559283,0.0482136344425505
38,abramova_2024_devneur,es038,ex011,con007,out021,44,35,1.108257845170479,0.04493999698885094
39,abramova_2024_devneur,es039,ex010,con006,out022,49,37,0.14949852801559432,0.01474950329387283
40,abramova_2024_devneur,es040,ex011,con007,out022,44,35,0.8464827660285075,0.01551548467100841
41,abramova_2024_devneur,es041,ex010,con006,out023,49,37,0.213105574268987,0.01416795666943436
42,abramova_2024_devneur,es042,ex011,con007,out023,44,35,0.3426335998208099,0.01522742072983801
43,abramova_2024_devneur,es043,ex010,con006,out024,13,14,0.5396828550287345,0.02552586390329513
44,abramova_2024_devneur,es044,ex011,con007,out024,14,12,0.2071101010231378,0.02457634021973905
45,abramova_2024_devneur,es045,ex010,con006,out025,49,37,-0.1252554184042724,0.01478664609023587
46,abramova_2024_devneur,es046,ex011,con007,out025,44,35,-0.05156374530250108,0.01453874529256688
47,oliveira_2015_jbehavbraisci,es047,ex012,con008,out026,12,12,-0.4856620338208002,0.5305335085605141
48,oliveira_2015_jbehavbraisci,es048,ex012,con008,out026,12,12,0.33885541575137973,0.2930015129759355
49,oliveira_2015_jbehavbraisci,es049,ex012,con008,out026,12,12,0.26199674387254157,0.11530697787613985
50,oliveira_2015_jbehavbraisci,es050,ex012,con008,out027,12,12,-0.24660321527852405,0.09924902727777908
51,oliveira_2015_jbehavbraisci,es051,ex012,con008,out027,12,12,0.07204465998857446,0.08699221360612523
52,oliveira_2015_jbehavbraisci,es052,ex012,con008,out027,12,12,-0.7120898037998797,0.11654039955886653
53,pavlov_2023_molsci,es053,ex013,con009,out028,14,10,0.5672422153811231,0.00977550723001126
54,pavlov_2023_molsci,es054,ex013,con009,out029,14,10,0.5081674716887264,0.05172698607258998
55,pavlov_2023_molsci,es055,ex013,con009,out030,14,10,1.010629524455695,0.01911026157981374
56,pavlov_2023_molsci,es056,ex013,con009,out031,14,10,1.0005183194875096,0.01918004803648296
57,pavlov_2023_molsci,es057,ex013,con009,out032,14,10,0.42440545028494975,0.03376908823764939
58,nishio_2006_intjdevlneur,es058,ex014,con010,out033,5,5,0.06494991038275061,0.02255942633719428
59,nishio_2006_intjdevlneur,es059,ex015,con011,out033,5,5,-0.24505130664630775,0.02183015835508744
60,nishio_2006_intjdevlneur,es060,ex014,con010,out034,5,5,-0.09952695067893032,0.00634220616347673
61,nishio_2006_intjdevlneur,es061,ex015,con011,out034,5,5,-0.14185924964074667,0.01251273331476228
62,nishio_2006_intjdevlneur,es062,ex014,con010,out035,5,5,0.11109196356803729,0.05883415951125435
