study_id,title,doi,publish_in,ex_id,con_id,out_id,es_id,shared_control,sp_latin,sp_common,strain,dam_age,gest_stage_ex,exposure_span_d,exposure_type,exposure_session_duration_h,noise_type,noise_type_2,loudness_dB,frequency_Hz,control_conditions,offspring_sex,offspring_age_d,experimental_procedures,outcome_type,assay_type,measurement_variable,data_type,data_units,measurement_timing,data_source,data_file,c_a_id,ex_a_id,comparison,comparison_structure,higher_better,c_mean,c_sd,c_n,c_se,c_mean_method,c_sd_method,c_se_method,ex_mean,ex_sd,ex_n,ex_se,ex_mean_method,ex_sd_method,ex_se_method,c_mean_continuity_corrected,ex_mean_continuity_corrected,c_sd_continuity_corrected,ex_sd_continuity_corrected,lnRR,lnRR_var
uygur_2010_aphyhun,Effects of chronic stress on cognitive functions and anxiety related behaviors in rats,10.1556/APhysiol.97.2010.3.6,Acta Physiologica Hungarica,ex001,con001,out001,es001,yes,Rattus norvegicus,albino rat,Sprague-Dawley,,late,8,intermittent,0.66,white noise,audible,100,,unclear,male,70,none,anxiety,Defensive withdrawal test (DWT),Latency to exit the dark box,time,seconds,light_phase,Table II,uygur_2010_table2,CON_lat,PSN_lat,con_psn_lat,independent,no,90.9,176.07,9,58.69,Extracted mean used unchanged,SD = SE * sqrt(n),Extracted SE used unchanged,137,211.5563754652646,10,66.9,Extracted mean used unchanged,SD = SE * sqrt(n),Extracted SE used unchanged,FALSE,FALSE,FALSE,FALSE,0.32101479719866327,0.6553273808977046
uygur_2010_aphyhun,Effects of chronic stress on cognitive functions and anxiety related behaviors in rats,10.1556/APhysiol.97.2010.3.6,Acta Physiologica Hungarica,ex001,con001,out002,es002,yes,Rattus norvegicus,albino rat,Sprague-Dawley,,late,8,intermittent,0.66,white noise,audible,100,,unclear,male,70,none,anxiety,Defensive withdrawal test (DWT),Exits from dark box,count,count,light_phase,Table II,uygur_2010_table2,CON_ex,PSN_ex,con_psn_ex,independent,yes,4.3,2.46,9,0.82,Extracted mean used unchanged,SD = SE * sqrt(n),Extracted SE used unchanged,3.67,2.308462691922917,10,0.73,Extracted mean used unchanged,SD = SE * sqrt(n),Extracted SE used unchanged,FALSE,FALSE,FALSE,FALSE,0.15682355183769348,0.0759308236480169
uygur_2010_aphyhun,Effects of chronic stress on cognitive functions and anxiety related behaviors in rats,10.1556/APhysiol.97.2010.3.6,Acta Physiologica Hungarica,ex001,con001,out003,es003,yes,Rattus norvegicus,albino rat,Sprague-Dawley,,late,8,intermittent,0.66,white noise,audible,100,,unclear,male,70,none,anxiety,Defensive withdrawal test (DWT),Time in open field,time,seconds,light_phase,Table II,uygur_2010_table2,CON_oat,PSN_oat,con_psn_oat,independent,yes,101.74,75.75,9,25.25,Extracted mean used unchanged,SD = SE * sqrt(n),Extracted SE used unchanged,66.67,53.34762412704057,10,16.87,Extracted mean used unchanged,SD = SE * sqrt(n),Extracted SE used unchanged,FALSE,FALSE,FALSE,FALSE,0.42144857607545705,0.12562202572156428
barzegar_2014_hippo,Effects of chronic stress on cognitive functions and anxiety related behaviors in rats,10.1002/hipo.22363,Hippocampus,ex002,con002,out004,es004,yes,Rattus norvegicus,brown rat,Wistar rat,,late,7,intermittent,1,white noise,audible,95,,unclear,male,46,none,anxiety,Elevated Plus Maze (EPM),Entries into open arms (OAE),percentage,percent,not_reported,Figure 2A,barzegar_2014_figure2,CON_oae,N1_oae,con_n1_oae,independent,yes,32.07,10.96,10,3.47,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,33.93,19.61,10,6.2,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,FALSE,FALSE,FALSE,FALSE,-0.03232825700500543,0.014895622010148228
barzegar_2014_hippo,"Prenatal Exposure to Noise Stress: Anxiety, Impaired Spatial Memory, and Deteriorated Hippocampal Plasticity in Postnatal Life",10.1002/hipo.22363,Hippocampus,ex002,con002,out005,es005,yes,Rattus norvegicus,brown rat,Wistar rat,,late,7,intermittent,1,white noise,audible,95,,unclear,male,46,none,anxiety,Elevated Plus Maze (EPM),Time in open arms (OAT),percentage,percent,not_reported,Figure 2B,barzegar_2014_figure2,CON_oat,N1_oat,con_n1_oat,independent,yes,30.02,6.41,10,2.03,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,30.78,4.33,10,1.37,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,FALSE,FALSE,FALSE,FALSE,-0.014146620025982245,0.002090254204068703
barzegar_2014_hippo,"Prenatal Exposure to Noise Stress: Anxiety, Impaired Spatial Memory, and Deteriorated Hippocampal Plasticity in Postnatal Life",10.1002/hipo.22363,Hippocampus,ex003,con002,out004,es006,yes,Rattus norvegicus,brown rat,Wistar rat,,late,7,intermittent,2,white noise,audible,95,,unclear,male,46,none,anxiety,Elevated Plus Maze (EPM),Entries into open arms (OAE),percentage,percent,not_reported,Figure 2A,barzegar_2014_figure2,CON_oae,N2_oae,con_n2_oae,independent,yes,32.07,10.96,10,3.47,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,14.27,8.43,10,8.43,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,FALSE,FALSE,FALSE,FALSE,0.44089548322101596,0.013481443069010878
barzegar_2014_hippo,"Prenatal Exposure to Noise Stress: Anxiety, Impaired Spatial Memory, and Deteriorated Hippocampal Plasticity in Postnatal Life",10.1002/hipo.22363,Hippocampus,ex003,con002,out005,es007,yes,Rattus norvegicus,brown rat,Wistar rat,,late,7,intermittent,2,white noise,audible,95,,unclear,male,46,none,anxiety,Elevated Plus Maze (EPM),Time in open arms (OAT),percentage,percent,not_reported,Figure 2B,barzegar_2014_figure2,CON_oat,N2_oat,con_n2_oat,independent,yes,30.02,6.41,10,2.03,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,21.53,5.72,10,1.81,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,FALSE,FALSE,FALSE,FALSE,0.1837809435938105,0.0035337728041804845
barzegar_2014_hippo,"Prenatal Exposure to Noise Stress: Anxiety, Impaired Spatial Memory, and Deteriorated Hippocampal Plasticity in Postnatal Life",10.1002/hipo.22363,Hippocampus,ex004,con002,out004,es008,yes,Rattus norvegicus,brown rat,Wistar rat,,late,7,intermittent,4,white noise,audible,95,,unclear,male,46,none,anxiety,Elevated Plus Maze (EPM),Entries into open arms (OAE),percentage,percent,not_reported,Figure 2A,barzegar_2014_figure2,CON_oae,N4_oae,con_n4_oae,independent,yes,32.07,10.96,10,3.47,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,15.33,8.85,10,2.8,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,FALSE,FALSE,FALSE,FALSE,0.4030839725042804,0.013124380265486332
barzegar_2014_hippo,"Prenatal Exposure to Noise Stress: Anxiety, Impaired Spatial Memory, and Deteriorated Hippocampal Plasticity in Postnatal Life",10.1002/hipo.22363,Hippocampus,ex004,con002,out005,es009,yes,Rattus norvegicus,brown rat,Wistar rat,,late,7,intermittent,4,white noise,audible,95,,unclear,male,46,none,anxiety,Elevated Plus Maze (EPM),Time in open arms (OAT),percentage,percent,not_reported,Figure 2B,barzegar_2014_figure2b,CON_oat,N4_oat,con_n4_oat,independent,yes,30.02,6.41,10,2.03,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,16.92,8.31,10,2.63,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,FALSE,FALSE,FALSE,FALSE,0.3132315052223049,0.00828815784134692
hassanvand_2012_phyphar,Alterations in dopamine related behavior of the offspring of pregnant Wistar rats exposed to noise pollution stress,http://ppj.phypha.ir/article-1-805-en.html,Physiology and Pharmacology,ex005,con003,out006,es010,yes,Rattus norvegicus,brown rat,Wistar rat,,"early, mid",14,intermittent,0.083,traffic,audible,125,,unclear,male,90,none,anxiety,Open Field Test (OFT),Sniffing,count,count,not_reported,Figure 2,hassanvand_2012_phyphar_Figure2,Control_sniff,Expn_sniff,control_exp_sniff,independent,yes,41.568,2.7625,6,1.1278,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,35.5825,2.916,6,1.1904,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,FALSE,FALSE,FALSE,FALSE,0.1552850894092796,0.0018554082883641227
