study_id,group_id,group,effect_sizes,distinct_sample_sizes,sample_sizes,sexes,ages,behavioural_tests,behavioural_outcomes,data_files,sample_size_varies
abramova_2020_genpath,con019,Control,17,3,8 | 20 | 21,1,1,4,12,1,TRUE
abramova_2020_genpath,con020,Control,17,3,8 | 17 | 18,1,1,4,12,2,TRUE
abramova_2020_genpath,ex023,Exposed,17,1,19,1,1,4,12,1,FALSE
abramova_2020_genpath,ex024,Exposed,17,1,16,1,1,4,12,2,FALSE
abramova_2021_front,con014,Control,7,1,25,1,1,1,7,7,FALSE
abramova_2021_front,con015,Control,7,1,23,1,1,1,7,7,FALSE
abramova_2021_front,ex018,Exposed,7,1,19,1,1,1,7,7,FALSE
abramova_2021_front,ex019,Exposed,7,1,18,1,1,1,7,7,FALSE
abramova_2023_biopsy,con021,Control,22,1,9,1,4,4,16,1,FALSE
abramova_2023_biopsy,con022,Control,22,1,10,1,4,4,16,1,FALSE
abramova_2023_biopsy,ex025,Exposed,22,1,10,1,4,4,16,1,FALSE
abramova_2023_biopsy,ex026,Exposed,22,1,8,1,4,4,16,1,FALSE
abramova_2024_devneur,con006,Control,13,2,14 | 37,1,4,4,11,12,TRUE
abramova_2024_devneur,con007,Control,13,2,12 | 35,1,4,4,11,12,TRUE
abramova_2024_devneur,ex010,Exposed,13,2,13 | 49,1,4,4,11,12,TRUE
abramova_2024_devneur,ex011,Exposed,13,2,14 | 44,1,4,4,11,12,TRUE
arjunan_2023_stress,con004,Control,6,1,6,1,1,1,2,2,FALSE
arjunan_2023_stress,ex006,Exposed,2,1,6,1,1,1,2,2,FALSE
arjunan_2023_stress,ex007,Exposed,2,1,6,1,1,1,2,2,FALSE
arjunan_2023_stress,ex008,Exposed,2,1,6,1,1,1,2,2,FALSE
badache_2017_stress,con016,Control,6,1,16,1,2,2,5,6,FALSE
badache_2017_stress,ex020,Exposed,6,1,16,1,2,2,5,6,FALSE
barzegar_2014_hippo,con002,Control,6,1,10,1,1,1,2,2,FALSE
barzegar_2014_hippo,ex002,Exposed,2,1,10,1,1,1,2,1,FALSE
barzegar_2014_hippo,ex003,Exposed,2,1,10,1,1,1,2,1,FALSE
barzegar_2014_hippo,ex004,Exposed,2,1,10,1,1,1,2,2,FALSE
hadizadeh_2018_irjbamedsci,con005,Control,2,1,6,1,1,1,2,2,FALSE
hadizadeh_2018_irjbamedsci,ex009,Exposed,2,1,6,1,1,1,2,2,FALSE
hassanvand_2012_phyphar,con003,Control,3,1,6,1,1,1,3,1,FALSE
hassanvand_2012_phyphar,ex005,Exposed,3,1,6,1,1,1,3,1,FALSE
morra_1965_physiolrec,con013,Control,2,1,63,1,1,1,2,0,FALSE
morra_1965_physiolrec,ex017,Exposed,2,1,35,1,1,1,2,0,FALSE
nishio_2006_intjdevlneur,con010,Control,3,1,5,1,1,1,3,3,FALSE
nishio_2006_intjdevlneur,con011,Control,3,1,5,1,1,1,3,3,FALSE
nishio_2006_intjdevlneur,ex014,Exposed,3,1,5,1,1,1,3,3,FALSE
nishio_2006_intjdevlneur,ex015,Exposed,3,1,5,1,1,1,3,3,FALSE
oliveira_2015_jbehavbraisci,con008,Control,6,1,12,1,1,1,2,2,FALSE
oliveira_2015_jbehavbraisci,ex012,Exposed,6,1,12,1,1,1,2,2,FALSE
pavlov_2023_molsci,con009,Control,5,1,10,1,1,3,5,5,FALSE
pavlov_2023_molsci,ex013,Exposed,5,1,14,1,1,3,5,5,FALSE
uygur_2010_aphyhun,con001,Control,3,1,9,1,1,1,3,1,FALSE
uygur_2010_aphyhun,ex001,Exposed,3,1,10,1,1,1,3,1,FALSE
uygur_2011_ankarauniv,con012,Control,8,1,9,1,1,1,4,1,FALSE
uygur_2011_ankarauniv,ex016,Exposed,8,1,10,1,1,1,4,1,FALSE
whitlow_1978_thesis,con017,Control,18,1,20,1,3,1,3,3,FALSE
whitlow_1978_thesis,con018,Control,18,1,20,1,3,1,3,3,FALSE
whitlow_1978_thesis,ex021,Exposed,18,1,20,1,3,1,3,3,FALSE
whitlow_1978_thesis,ex022,Exposed,18,1,20,1,3,1,3,3,FALSE
