analysis_variable,database_column,definition
Effect size,es_id,Unique identifier for each effect size.
Study,study_id,Identifier for the primary publication.
Exposed cohort,ex_id,Identifier for an exposed experimental cohort retained across its assays and outcomes.
Control group,con_id,Identifier for a control group within an experiment and study.
Outcome,out_id; measurement_variable,Outcome identifier and reported behavioural measure.
Outcome domain,outcome_type,Anxiety- or depression-like behaviour.
Behavioural test,assay_type,Behavioural test used to measure the outcome.
Measurement time,offspring_age_d; measurement_timing,Offspring age and timing of behavioural measurement.
Sex,offspring_sex,Sex of the assessed offspring.
Species,sp_latin,Species of the assessed offspring.
Treatment statistics,ex_mean; ex_sd; ex_n,"Mean, standard deviation, and sample size for the exposed group."
Control statistics,c_mean; c_sd; c_n,"Mean, standard deviation, and sample size for the control group."
Effect-size estimate,lnRR,Log response ratio calculated in Chapter 2.
Sampling variance,lnRR_var,Sampling variance of the log response ratio calculated in Chapter 2.
Comparison structure,comparison_structure,Specifies an independent or correlated comparison within one effect size.
Shared-control flag,shared_control,Indicates comparisons that use a shared control group.
Reported group labels,ex_a_id; c_a_id; comparison,Labels for reported comparisons; not used as cohort identifiers.
