study_id,ex_id,con_id,out_id,es_id,shared_control,id_notes,title,doi,publish_in,outcome_id_notes,sp_latin,sp_common,strain,dam_age,dam_age_notes,gest_stage_ex,gest_stage_ex_notes,exposure_span_d,exposure_type,exposure_session_duration_h,ex_session_duration_notes,noise_type,noise_type_2,loudness_d_b,frequency_hz,control_conditions,control_loudness,control_notes,offspring_sex,offspring_age_d,offspring_age_notes,experimental_procedures,experimental_procedures_notes,outcome_type,assay_type,assay_type_notes,measurement_variable,data_type,data_units,measurement_timing,data_source,data_file,c_a_id,ex_a_id,comparison,comparison_structure,higher_better,effect_direction_label_raw,higher_better_notes,c_mean_raw,c_sd_raw,c_n_raw,c_se_raw,c_ci_raw,ex_mean_raw,ex_sd_raw,ex_n_raw,ex_se_raw,ex_ci_raw,stat_comment,general_comment,c_median_raw,c_q1_raw,c_q3_raw,ex_median_raw,ex_q1_raw,ex_q3_raw,checked_ml,checked_ml_comments,corrections_notes_al,c_n,c_mean_pre_zero_correction,c_mean_source,c_sd,c_sd_source,c_se,c_se_source,c_ci,c_iqr_complete,c_iqr_all_zero,c_iqr_skewness_statistic,c_iqr_skewness_review,c_sd_assumed_sqrt_mean,c_se_inconsistent_with_sd,c_se_matches_mean_over_sqrt_n,ex_n,ex_mean_pre_zero_correction,ex_mean_source,ex_sd,ex_sd_source,ex_se,ex_se_source,ex_ci,ex_iqr_complete,ex_iqr_all_zero,ex_iqr_skewness_statistic,ex_iqr_skewness_review,ex_sd_assumed_sqrt_mean,ex_se_inconsistent_with_sd,ex_se_matches_mean_over_sqrt_n,shared_control_raw,exposure_type_raw,noise_type_raw,noise_type_2_raw,control_conditions_raw,offspring_sex_raw,outcome_type_raw,data_type_raw,data_units_raw,measurement_timing_raw,comparison_structure_raw,higher_better_raw,checked_ml_raw,effect_direction,zero_correction_reference_mean,zero_correction_primary_09,zero_correction_sensitivity_08,c_mean_exact_zero,ex_mean_exact_zero,zero_correction_available,c_mean_zero_correction_applied,ex_mean_zero_correction_applied,c_mean,ex_mean,c_mean_sensitivity_08,ex_mean_sensitivity_08,exact_zero_correction_applied,zero_correction_unavailable,zero_mean_exclusion_sensitivity,dam_age_raw,dam_age_weeks,frequency_hz_raw,frequency_min_hz,frequency_max_hz,frequency_mid_hz,frequency_format,acoustic_band_from_frequency,gest_window,cohort_id
uygur_2010_aphyhun,ex001,con001,out001,es001,yes,One control and one treatment,Effects of chronic stress on cognitive functions and anxiety related behaviors in rats,10.1556/APhysiol.97.2010.3.6,Acta Physiologica Hungarica,Only one assay for anxiety,Rattus norvegicus,albino rat,Sprague-Dawley,,not reported,late,day 14-21,8,intermittent,0.66,45 min,white_noise,audible,100,,unclear,,"They carried the cages to the other room too, but without any noise exposure",male,70,70 days of age,none,,anxiety,Defensive withdrawal test (DWT),Latency to exit the dark box with all four paws for the first time,Latency to exit the dark box,time,seconds,light_phase,Table II,uygur_2010_table2,CON_lat,PSN_lat,con_psn_lat,independent,no,Positive,Not specified,90.9,,9,58.69,,137,,10,66.9,,,,,,,,,,yes,,,9,90.9,raw_mean,176.07,se_times_sqrt_n,58.69,raw_se_verified,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,10,137,raw_mean,211.5563755,se_times_sqrt_n,66.9,raw_se_verified,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,Yes,Intermitent,White noise,Audible,Unclear,male,Anxiety,Time,s,Light phase,Independent,No,yes,positive,90.9,81.81,72.72,FALSE,FALSE,TRUE,FALSE,FALSE,90.9,137,90.9,137,FALSE,FALSE,FALSE,,,,,,,not_reported,not_reported,late,uygur_2010_aphyhun_ex001
uygur_2010_aphyhun,ex001,con001,out002,es002,yes,One control and one treatment,Effects of chronic stress on cognitive functions and anxiety related behaviors in rats,10.1556/APhysiol.97.2010.3.6,Acta Physiologica Hungarica,Only one assay for anxiety,Rattus norvegicus,albino rat,Sprague-Dawley,,not reported,late,day 14-21,8,intermittent,0.66,45 min,white_noise,audible,100,,unclear,,"They carried the cages to the other room too, but without any noise exposure",male,70,70 days of age,none,,anxiety,Defensive withdrawal test (DWT),,Exits from dark box,count,count,light_phase,Table II,uygur_2010_table2,CON_ex,PSN_ex,con_psn_ex,independent,yes,Negative,Not specified,4.3,,9,0.82,,3.67,,10,0.73,,,,,,,,,,yes,,,9,4.3,raw_mean,2.46,se_times_sqrt_n,0.82,raw_se_verified,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,10,3.67,raw_mean,2.308462692,se_times_sqrt_n,0.73,raw_se_verified,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,Yes,Intermitent,White noise,Audible,Unclear,male,Anxiety,Count,Count,Light phase,Independent,Yes,yes,negative,3.67,3.303,2.936,FALSE,FALSE,TRUE,FALSE,FALSE,4.3,3.67,4.3,3.67,FALSE,FALSE,FALSE,,,,,,,not_reported,not_reported,late,uygur_2010_aphyhun_ex001
uygur_2010_aphyhun,ex001,con001,out003,es003,yes,One control and one treatment,Effects of chronic stress on cognitive functions and anxiety related behaviors in rats,10.1556/APhysiol.97.2010.3.6,Acta Physiologica Hungarica,Only one assay for anxiety,Rattus norvegicus,albino rat,Sprague-Dawley,,not reported,late,day 14-21,8,intermittent,0.66,45 min,white_noise,audible,100,,unclear,,"They carried the cages to the other room too, but without any noise exposure",male,70,70 days of age,none,,anxiety,Defensive withdrawal test (DWT),,Time in open field,time,seconds,light_phase,Table II,uygur_2010_table2,CON_oat,PSN_oat,con_psn_oat,independent,yes,Negative,Not specified,101.74,,9,25.25,,66.67,,10,16.87,,,,,,,,,,yes,,,9,101.74,raw_mean,75.75,se_times_sqrt_n,25.25,raw_se_verified,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,10,66.67,raw_mean,53.34762413,se_times_sqrt_n,16.87,raw_se_verified,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,Yes,Intermitent,White noise,Audible,Unclear,male,Anxiety,Time,s,Light phase,Independent,Yes,yes,negative,66.67,60.003,53.336,FALSE,FALSE,TRUE,FALSE,FALSE,101.74,66.67,101.74,66.67,FALSE,FALSE,FALSE,,,,,,,not_reported,not_reported,late,uygur_2010_aphyhun_ex001
barzegar_2014_hippo,ex002,con002,out004,es004,yes,They tested 1 h daily exposure duration,Effects of chronic stress on cognitive functions and anxiety related behaviors in rats,10.1002/hipo.22363,Hippocampus,Only one assay for anxiety,Rattus norvegicus,brown rat,Wistar rat,,not reported,late,at the third trimester,7,intermittent,1,h,white_noise,audible,95,,unclear,,Control pregnant animals was kept in the noise chamber for the same period of time without noise exposure,male,46,42-50 daysof age,none,,anxiety,Elevated Plus Maze (EPM),"Evaluated spatial anxiety in rats. As a convention, an entry was defined as having all four paws in the arm.",Entries into open arms (OAE),percentage,percent,not_reported,Figure 2A,barzegar_2014_figure2,CON_oae,N1_oae,con_n1_oae,independent,yes,Negative,Not specified,32.07,10.96,10,3.47,,33.93,19.61,10,6.2,,,,,,,,,,yes,,,10,32.07,raw_mean,10.96,raw_sd,3.47,raw_se_verified,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,10,33.93,raw_mean,19.61,raw_sd,6.2,raw_se_verified,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,Yes,Intermitent,White noise,Audible,Unclear,male,Anxiety,Percentage,%,Not reported,Independent,Yes,yes,negative,14.27,12.843,11.416,FALSE,FALSE,TRUE,FALSE,FALSE,32.07,33.93,32.07,33.93,FALSE,FALSE,FALSE,,,,,,,not_reported,not_reported,late,barzegar_2014_hippo_ex002
barzegar_2014_hippo,ex002,con002,out005,es005,yes,They tested 1 h daily exposure duration,"Prenatal Exposure to Noise Stress: Anxiety, Impaired Spatial Memory, and Deteriorated Hippocampal Plasticity in Postnatal Life",10.1002/hipo.22363,Hippocampus,Only one assay for anxiety,Rattus norvegicus,brown rat,Wistar rat,,not reported,late,at the third trimester,7,intermittent,1,h,white_noise,audible,95,,unclear,,Control pregnant animals was kept in the noise chamber for the same period of time without noise exposure,male,46,42-50 daysof age,none,,anxiety,Elevated Plus Maze (EPM),Evaluated spatial anxiety in rats,Time in open arms (OAT),percentage,percent,not_reported,Figure 2B,barzegar_2014_figure2,CON_oat,N1_oat,con_n1_oat,independent,yes,Negative,Not specified,30.02,6.41,10,2.03,,30.78,4.33,10,1.37,,,,,,,,,,yes,,,10,30.02,raw_mean,6.41,raw_sd,2.03,raw_se_verified,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,10,30.78,raw_mean,4.33,raw_sd,1.37,raw_se_verified,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,Yes,Intermitent,White noise,Audible,Unclear,male,Anxiety,Percentage,%,Not reported,Independent,Yes,yes,negative,16.92,15.228,13.536,FALSE,FALSE,TRUE,FALSE,FALSE,30.02,30.78,30.02,30.78,FALSE,FALSE,FALSE,,,,,,,not_reported,not_reported,late,barzegar_2014_hippo_ex002
barzegar_2014_hippo,ex003,con002,out004,es006,yes,They tested 2 h daily exposure duration,"Prenatal Exposure to Noise Stress: Anxiety, Impaired Spatial Memory, and Deteriorated Hippocampal Plasticity in Postnatal Life",10.1002/hipo.22363,Hippocampus,Only one assay for anxiety,Rattus norvegicus,brown rat,Wistar rat,,not reported,late,at the third trimester,7,intermittent,2,h,white_noise,audible,95,,unclear,,Control pregnant animals was kept in the noise chamber for the same period of time without noise exposure,male,46,42-50 daysof age,none,,anxiety,Elevated Plus Maze (EPM),Evaluated spatial anxiety in rats,Entries into open arms (OAE),percentage,percent,not_reported,Figure 2A,barzegar_2014_figure2,CON_oae,N2_oae,con_n2_oae,independent,yes,Negative,Not specified,32.07,10.96,10,3.47,,14.27,8.43,10,8.43,,,,,,,,,,yes,,,10,32.07,raw_mean,10.96,raw_sd,3.47,raw_se_verified,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,10,14.27,raw_mean,8.43,raw_sd,2.665800068,recalculated_from_sd,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,Yes,Intermitent,White noise,Audible,Unclear,male,Anxiety,Percentage,%,Not reported,Independent,Yes,yes,negative,14.27,12.843,11.416,FALSE,FALSE,TRUE,FALSE,FALSE,32.07,14.27,32.07,14.27,FALSE,FALSE,FALSE,,,,,,,not_reported,not_reported,late,barzegar_2014_hippo_ex003
barzegar_2014_hippo,ex003,con002,out005,es007,yes,They tested 2 h daily exposure duration,"Prenatal Exposure to Noise Stress: Anxiety, Impaired Spatial Memory, and Deteriorated Hippocampal Plasticity in Postnatal Life",10.1002/hipo.22363,Hippocampus,Only one assay for anxiety,Rattus norvegicus,brown rat,Wistar rat,,not reported,late,at the third trimester,7,intermittent,2,h,white_noise,audible,95,,unclear,,Control pregnant animals was kept in the noise chamber for the same period of time without noise exposure,male,46,42-50 daysof age,none,,anxiety,Elevated Plus Maze (EPM),Evaluated spatial anxiety in rats,Time in open arms (OAT),percentage,percent,not_reported,Figure 2B,barzegar_2014_figure2,CON_oat,N2_oat,con_n2_oat,independent,yes,Negative,Not specified,30.02,6.41,10,2.03,,21.53,5.72,10,1.81,,,,,,,,,,yes,,,10,30.02,raw_mean,6.41,raw_sd,2.03,raw_se_verified,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,10,21.53,raw_mean,5.72,raw_sd,1.81,raw_se_verified,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,Yes,Intermitent,White noise,Audible,Unclear,male,Anxiety,Percentage,%,Not reported,Independent,Yes,yes,negative,16.92,15.228,13.536,FALSE,FALSE,TRUE,FALSE,FALSE,30.02,21.53,30.02,21.53,FALSE,FALSE,FALSE,,,,,,,not_reported,not_reported,late,barzegar_2014_hippo_ex003
barzegar_2014_hippo,ex004,con002,out004,es008,yes,They tested 4 h daily exposure duration,"Prenatal Exposure to Noise Stress: Anxiety, Impaired Spatial Memory, and Deteriorated Hippocampal Plasticity in Postnatal Life",10.1002/hipo.22363,Hippocampus,Only one assay for anxiety,Rattus norvegicus,brown rat,Wistar rat,,not reported,late,at the third trimester,7,intermittent,4,h,white_noise,audible,95,,unclear,,Control pregnant animals was kept in the noise chamber for the same period of time without noise exposure,male,46,42-50 daysof age,none,,anxiety,Elevated Plus Maze (EPM),Evaluated spatial anxiety in rats,Entries into open arms (OAE),percentage,percent,not_reported,Figure 2A,barzegar_2014_figure2,CON_oae,N4_oae,con_n4_oae,independent,yes,Negative,Not specified,32.07,10.96,10,3.47,,15.33,8.85,10,2.8,,,,,,,,,,yes,,,10,32.07,raw_mean,10.96,raw_sd,3.47,raw_se_verified,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,10,15.33,raw_mean,8.85,raw_sd,2.8,raw_se_verified,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,Yes,Intermitent,White noise,Audible,Unclear,male,Anxiety,Percentage,%,Not reported,Independent,Yes,yes,negative,14.27,12.843,11.416,FALSE,FALSE,TRUE,FALSE,FALSE,32.07,15.33,32.07,15.33,FALSE,FALSE,FALSE,,,,,,,not_reported,not_reported,late,barzegar_2014_hippo_ex004
barzegar_2014_hippo,ex004,con002,out005,es009,yes,They tested 4 h daily exposure duration,"Prenatal Exposure to Noise Stress: Anxiety, Impaired Spatial Memory, and Deteriorated Hippocampal Plasticity in Postnatal Life",10.1002/hipo.22363,Hippocampus,Only one assay for anxiety,Rattus norvegicus,brown rat,Wistar rat,,not reported,late,at the third trimester,7,intermittent,4,h,white_noise,audible,95,,unclear,,Control pregnant animals was kept in the noise chamber for the same period of time without noise exposure,male,46,42-50 daysof age,none,,anxiety,Elevated Plus Maze (EPM),Evaluated spatial anxiety in rats,Time in open arms (OAT),percentage,percent,not_reported,Figure 2B,barzegar_2014_figure2b,CON_oat,N4_oat,con_n4_oat,independent,yes,Negative,Not specified,30.02,6.41,10,2.03,,16.92,8.31,10,2.63,,,,,,,,,,yes,,,10,30.02,raw_mean,6.41,raw_sd,2.03,raw_se_verified,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,10,16.92,raw_mean,8.31,raw_sd,2.63,raw_se_verified,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,Yes,Intermitent,White noise,Audible,Unclear,male,Anxiety,Percentage,%,Not reported,Independent,Yes,yes,negative,16.92,15.228,13.536,FALSE,FALSE,TRUE,FALSE,FALSE,30.02,16.92,30.02,16.92,FALSE,FALSE,FALSE,,,,,,,not_reported,not_reported,late,barzegar_2014_hippo_ex004
hassanvand_2012_phyphar,ex005,con003,out006,es010,yes,Only one experiment,"Alterations in dopamine related behavior of the offspring of pregnant Wistar
rats exposed to noise pollution stress",http://ppj.phypha.ir/article-1-805-en.html,Physiology and Pharmacology,Only one assay,Rattus norvegicus,brown rat,Wistar rat,,not reported 200g,"early, mid",day 1-14,14,intermittent,0.083,15 min,traffic,audible,125,,unclear,,"Environment without noise""محیط بی سر و صدا""",male,90,3 months,none,They used a car alarm,anxiety,Open Field Test (OFT),Locomotor and exploratory behaviour,Sniffing,count,count,not_reported,Figure 2,hassanvand_2012_phyphar_Figure2,Control_sniff,Expn_sniff,control_exp_sniff,independent,yes,Negative,Not specified,41.568,2.7625,6,1.1278,,35.5825,2.916,6,1.1904,,,"non-English language, ask native speaker",,,,,,,recheck,whiskers in the plot extracted as SD values but more likely they are SE values,"Done! re-extracted, I swapped the selection in meta-digitise",6,41.568,raw_mean,2.7625,raw_sd,1.1278,raw_se_verified,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,6,35.5825,raw_mean,2.916,raw_sd,1.1904,raw_se_verified,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,Yes,Intermitent,Traffic,Audible,Unclear,male,Anxiety,Count,Count,Not reported,Independent,Yes,yes - recheck!,negative,35.5825,32.02425,28.466,FALSE,FALSE,TRUE,FALSE,FALSE,41.568,35.5825,41.568,35.5825,FALSE,FALSE,FALSE,,,,,,,not_reported,not_reported,early_mid,hassanvand_2012_phyphar_ex005
