column_number,column_name,r_class,non_missing_rows,missing_rows,unique_non_missing_values
1,study_id,character,207,0,17
2,ex_id,character,207,0,26
3,con_id,character,207,0,22
4,out_id,character,207,0,99
5,es_id,character,207,0,207
6,shared_control,character,207,0,2
7,id_notes,character,207,0,13
8,title,character,207,0,16
9,doi,character,127,80,14
10,publish_in,character,207,0,16
11,outcome_id_notes,character,46,161,2
12,sp_latin,character,207,0,2
13,sp_common,character,207,0,5
14,strain,character,207,0,6
15,dam_age,character,89,118,4
16,dam_age_notes,character,207,0,7
17,gest_stage_ex,character,207,0,5
18,gest_stage_ex_notes,character,196,11,15
19,exposure_span_d,numeric,207,0,8
20,exposure_type,character,207,0,2
21,exposure_session_duration_h,numeric,207,0,10
22,ex_session_duration_notes,character,207,0,8
23,noise_type,character,207,0,5
24,noise_type_2,character,207,0,3
25,loudness_dB,numeric,207,0,8
26,frequency_Hz,character,177,30,5
27,control_conditions,character,207,0,3
28,control_loudness,logical,0,207,0
29,control_notes,character,196,11,14
30,offspring_sex,character,207,0,3
31,offspring_age_d,numeric,207,0,13
32,offspring_age_notes,character,57,150,5
33,experimental_procedures,character,207,0,3
34,experimental_procedures_notes,character,4,203,2
35,outcome_type,character,207,0,2
36,assay_type,character,207,0,6
37,assay_type_notes,character,92,115,14
38,measurement_variable,character,207,0,35
39,data_type,character,207,0,5
40,data_units,character,207,0,3
41,measurement_timing,character,207,0,3
42,data_source,character,207,0,44
43,data_file,character,203,4,57
44,c_a_id,character,207,0,125
45,ex_a_id,character,207,0,121
46,comparison,character,207,0,161
47,comparison_structure,character,207,0,2
48,higher_better,character,207,0,2
49,effect_direction_label_raw,character,207,0,2
50,higher_better_notes,character,20,187,4
51,c_mean,numeric,189,18,160
52,c_sd,numeric,176,31,147
53,c_n,numeric,207,0,17
54,c_se,numeric,151,56,137
55,c_ci,logical,0,207,0
56,ex_mean,numeric,189,18,167
57,ex_sd,numeric,176,31,156
58,ex_n,numeric,207,0,14
59,ex_se,numeric,151,56,146
60,ex_ci,logical,0,207,0
61,stat_comment,character,152,55,6
62,general_comment,character,84,123,7
63,c_median,numeric,18,189,14
64,c_q1,numeric,18,189,13
65,c_q3,numeric,18,189,14
66,ex_median,numeric,18,189,15
67,ex_q1,numeric,18,189,11
68,ex_q3,numeric,18,189,17
69,checked_ML,character,207,0,2
70,checked_ML_comments,character,125,82,7
71,...71,character,17,190,2
72,corrections_notes_AL,character,17,190,2
