check,effect_size_pairs
All effect-size pairs,21321
Pairs from the same publication,2674
Pairs sharing an exposed cohort or control-group ID,1512
Same-publication pairs without a shared cohort/group ID,1162
Shared-group pairs with any different arm sample size,179
Shared-group pairs with different treatment sample sizes,24
Shared-group pairs with different control sample sizes,179
Shared-group pairs spanning offspring ages,752
Shared-group pairs spanning behavioural tests,610
Shared-group pairs spanning behavioural outcomes,1319
