study_id,effect_sizes,exposed_group_ids,control_group_ids,outcome_ids,sexes,offspring_ages_d,behavioural_tests,behavioural_outcomes,data_files,comparison_structures,id_notes
abramova_2020_genpath,34,2,2,17,female | male,90,4,12,2,independent,"They had one level of exposure, and two experimental groups, female and males, and one control per group"
abramova_2021_front,14,2,2,7,female | male,20,1,7,14,independent,"One control female, one male and one experimental female and one male"
abramova_2023_biopsy,44,2,2,22,female | male,70 | 74 | 80 | 95,4,16,1,independent,"They had one level of exposure, and two experimental groups, female and males, and one control per group"
abramova_2024_devneur,26,2,2,13,female | male,70 | 74 | 80 | 95,4,11,12,independent,"one control, one treatment for females and males"
arjunan_2023_stress,6,3,1,2,male,45,1,2,2,independent,"3 experimental groups: Early gestational, late gestational and full-term gestational"
badache_2017_stress,6,1,1,6,male,45 | 46,2,5,6,independent,One treatmentent group and one control
barzegar_2014_hippo,6,3,1,2,male,46,1,2,2,independent,They tested 1 h daily exposure duration || They tested 2 h daily exposure duration || They tested 4 h daily exposure duration
hadizadeh_2018_irjbamedsci,2,1,1,2,male,45,1,2,2,independent,"one control, one treatment for females and males"
hassanvand_2012_phyphar,3,1,1,3,male,90,1,3,1,independent,Only one experiment
morra_1965_physiolrec,2,1,1,2,mixed,25,1,2,0,independent,One control and one treatment
nishio_2006_intjdevlneur,6,2,2,3,female | male,35,1,3,3,independent,"one female, one male and one control group per sex"
oliveira_2015_jbehavbraisci,6,1,1,2,male,60,1,2,2,dependent,"They used the elevated T Maze, where they measured anxiety in 3 days trials, and fear from anxiety in one trial"
pavlov_2023_molsci,5,1,1,5,female,60,3,5,5,independent,One control and one treatment
uygur_2010_aphyhun,3,1,1,3,male,70,1,3,1,independent,One control and one treatment
uygur_2011_ankarauniv,8,1,1,4,male,70,1,4,1,independent,One treatmentent group and one control
whitlow_1978_thesis,36,2,2,6,mixed,25 | 26 | 27,1,3,3,dependent,"They had two experimental groups, 65dB and 85dB, they did 3 trials, one per day of the OFT"
