dataset,variable,role,definition,units,allowed_values_or_formula,authority
clean extraction,study_id,identifier,"Unique identifier for the study. The format will be, in lower case, “first author_year_journal abbreviation.” E.g., smith_2023_jneurosc, with letters added for any non-unique IDs.",,,registered protocol v4
clean extraction,es_id,identifier,"Effect size ID – A unique identifier for each control–experimental pair of measurements (exposure-control) used to calculate an effect size (e.g., es0001).",,,registered protocol v4
clean extraction,ex_id,identifier,"Unique identifier for each independent experiment involving unique cohorts of animals within a study (e.g., one group exposed to 1 h of noise, another group exposed to 2 hours of noise), using a sequential numerical format (e.g., ex001, ex002). E.g., if a single cohort of animals is assessed using multiple different assays this is still considered a single experiment (ex001) with multiple outcome measures.",,,registered protocol v4
clean extraction,con_id,identifier,Stable identifier for the control cohort used in the comparison.,,,approved codebook addition or clearer mapping
clean extraction,out_id,identifier,"Unique identifier for each measurement assay or outcome reported for a specific cohort (e.g., out001, out002).",,,registered protocol v4
clean extraction,shared_control,extracted/reported,Indicate if extracted ex_cohort_id shares a control group (e.i. c_a_id—see definition below) with another extracted effect size. Code “Yes” if they share a control group.,,,registered protocol v4
clean extraction,data_status,audit/provenance,"Cross-check status: Verified - no change, Corrected transcription, Corrected derived value, Analysis decision required, or Source needed.",,Verified – no change | Corrected transcription | Corrected derived value | Analysis decision required | Source needed,approved codebook addition or clearer mapping
clean extraction,id_notes,audit/provenance,Notes regarding the identifier for experimental cohorts of animals or other recorded IDs.,,,registered protocol v4
clean extraction,outcome_id_notes,audit/provenance,Notes about the outcome identifier or outcome grouping.,,,approved codebook addition or clearer mapping
clean extraction,title,extracted/reported,Title of the study.,,,registered protocol v4
clean extraction,doi,extracted/reported,Short form DOI of the study (starting with “10.”).,,,registered protocol v4
clean extraction,publish_in,extracted/reported,"The full name of the publisher. For journal articles, this will be the journal name; for theses, the university name.",,,registered protocol v4
clean extraction,study_notes,extracted/reported,Comments regarding the study (e.g. atypical or complex study design requiring additional explanations).,,,registered protocol v4
clean extraction,sp_latin,extracted/reported,"Latin binomial of the animal model used in the study (e.g., Rattus norvegicus, Mus musculus domesticus).",,,registered protocol v4
clean extraction,sp_common,extracted/reported,"The common name of the animal model used in teh study (e.g. brown rat, house mouse)",,,registered protocol v4
clean extraction,strain,extracted/reported,"Strain/breed of the animal model used in the study (e.g., Wistar, Balb-6)",,,registered protocol v4
clean extraction,dam_age,extracted/reported,"The dam’s age at the start of the gestation, measured in weeks. Only numbers, if they provide a range of numbers, write the mid-point (e.g., 4-6 weeks = 5 weeks).",weeks,,registered protocol v4
clean extraction,dam_age_notes,extracted/reported,"Any observations related to the dam’s age, (e.g. mid-point recorded from the range 4-6 weeks).",,,registered protocol v4
clean extraction,gest_stage_ex,extracted/reported,"Gestation stage when the dams were exposed to chronic noise. For rats and mice, we will use the following categories: “early” stage (Day 0-7), “mid” gestation (Day 8-14), “late” gestation (Day 15 to term), or combination of these values. If not reported or unclear, code as “Not reported” or “Unclear”, respectively. For other rodent species, we will categorize post-extraction according to their appropriate developmental stages.",,,registered protocol v4
clean extraction,gest_window,derived classification,Mutually exclusive gestational exposure window derived from gest_stage_ex.,,early_mid | mid_late | late | full_gestation,approved post-extraction rule
clean extraction,gest_stage_ex_notes,extracted/reported,Notes concerning the gestation stages at which the dams were exposed to chronic noise.,,,registered protocol v4
clean extraction,exposure_span_d,extracted/reported,"Total number of days the dam was exposed to the chronic noise. If it is not specified, code as “Not Specified”.",days,,registered protocol v4
clean extraction,exposure_type,extracted/reported,"Code the noise exposure as “Intermittent” if they played noise for some hours per days, or “Continuous” if they never turn the noise off during the total exposure duration.",,,registered protocol v4
clean extraction,exposure_session_duration_h,extracted/reported,"Only if the exposure was intermittent, is the number of daily hours of exposure (convert minutes to hour fraction, e.g., 30 min is 0.5 h).",hours,,registered protocol v4
clean extraction,ex_session_duration_notes,extracted/reported,"Notes related to the exposure timing (e.g., if the authors provided duration in minutes, write it here).",,,registered protocol v4
clean extraction,noise_type,extracted/reported,"State the type of noise they used as the author states (synthetic noise, traffic playback, ultrasonic, other). For “other” add explanation in the noise_notes field.",,,registered protocol v4
clean extraction,noise_frequency_range,extracted/reported,Standardized acoustic frequency range of the exposure.,,"Audible; Ultrasound; Unclear",approved codebook addition and variable rename
clean extraction,loudness_dB,extracted/reported,Loudness of the noise in decibels. Leave blank if not reported.,dB,,registered protocol v4
clean extraction,frequency_Hz,extracted/reported,"Frequency of the speakers used, in hertz. Leave blank if not reported.",Hz,,registered protocol v4
clean extraction,noise_notes,extracted/reported,Notes related to exposure conditions.,,,registered protocol v4
clean extraction,control_conditions,extracted/reported,"Conditions under which the control animals were kept during the noise exposure phase: silence, ambient sound; white noise; other. For “other” add explanation in the control_notes field.",,,registered protocol v4
clean extraction,control_setting,derived classification,Standardized physical setting where control animals were kept during the maternal noise-exposure period.,,standard_housing_conditions | experimental_room | acoustic_chamber | unclear,approved post-extraction descriptive variable
clean extraction,control_loudness,extracted/reported,"Loudness of the control conditions in decibels, if provided.",,,registered protocol v4
clean extraction,control_notes,extracted/reported,Notes related to control conditions (e.g. no description provided).,,,registered protocol v4
clean extraction,offspring_sex,extracted/reported,"Sex of the offspring investigated: male, female, mixed, not reported. If not reported, the cell will be coded as “not reported”.",,male | female | mixed | not reported,registered protocol v4
clean extraction,offspring_age_d,extracted/reported,"Age in days from the parturition of offspring at the start of a behavioural test. If they state, the age as days post conception (DPC), subtract 21 days. If they give a range of days, use the mid-point (e.g. 40-60 days, use 50 and add a note). If not reported or unclear, code as “not reported” or “unclear”, respectively.",postnatal days,,registered protocol v4
clean extraction,offspring_age_class,derived classification,Bell-based post-extraction offspring age class. Used only for description or sensitivity analysis; offspring_age_d remains the primary continuous moderator.,,juvenile | adolescent | adult | transitional_unclear,approved post-extraction rule
clean extraction,offspring_age_notes,extracted/reported,"Notes concerning the age classes at which the animals went through the behavioural tests (e.g., if they provided a range of age, write it here).",,,registered protocol v4
clean extraction,experimental_procedures,extracted/reported,"Identifies if a sham control was used for a surgical or pharmacological intervention in the extracted groups of animals. Code as: “None” if no such intervention was performed. Code as “Sham”, if a placebo procedure was used as the control (e.g., saline injection, mock surgery).",,,registered protocol v4
clean extraction,experimental_procedures_notes,extracted/reported,"Notes on the experimental procedures (e.g., type of sham procedure).",,,registered protocol v4
clean extraction,outcome_type,extracted/reported,"The primary behavioural construct to standardize whether an assay measures anxiety, depression, or both. For any assay listed in Appendix 2, the outcome will be coded as either “Anxiety” or 'Depression” as specified in that table (e.g., the Elevated Plus Maze is coded as “Anxiety”). If an assay is not in Appendix 2, the classification explicitly provided by the study's authors will be used; in this case, the outcome can be coded as “Anxiety”, “Depression”, or “Both” based on their statement.",,,registered protocol v4
clean extraction,assay_type,extracted/reported,"Type of assay used to measure anxiety or depression-like behaviours as listed in Appendix 2. Examples include Open Field Test, Tail Suspension Test, Elevated Plus Maze, Forced Swim Test, Sucrose Preference Test, Novelty Suppressed Feeding, Light-Dark Box.",,,registered protocol v4
clean extraction,assay_type_notes,extracted/reported,"Notes on the assay (e.g., variations from a typical protocol for a given assay type).",,,registered protocol v4
clean extraction,measurement_variable,extracted/reported,"The specific behavioural phenomenon quantified in the assay. Examples include “Time in open arms,” “Sucrose preference”, “'Total distance travelled”, or “Immobility time”.",,,registered protocol v4
clean extraction,data_type,extracted/reported,"The data type category of the measurement recorded. Examples include “Time,” “Percentage,” “Distance”, “Count”, or “Latency”.",,,registered protocol v4
clean extraction,data_units,extracted/reported,"The specific unit for the measurement. For some data types like “Count”, this may not be applicable (e.g., seconds “s”, or centimetres “cm”).",,,registered protocol v4
clean extraction,measurement_timing,extracted/reported,"The timing of the behavioural test. The value should be “Light Phase”, “Dark Phase”, or “Not Reported” if the information is not provided in the study.",,,registered protocol v4
