position,source_name,resolved_name,clean_name
1,study_id,study_id,study_id
2,ex_id,ex_id,ex_id
3,con_id,con_id,con_id
4,out_id,out_id,out_id
5,es_id,es_id,es_id
6,shared_control,shared_control,shared_control
7,id_notes,id_notes,id_notes
8,title,title,title
9,doi,doi,doi
10,publish_in,publish_in,publish_in
11,outcome_id_notes,outcome_id_notes,outcome_id_notes
12,sp_latin,sp_latin,sp_latin
13,sp_common,sp_common,sp_common
14,strain,strain,strain
15,dam_age,dam_age,dam_age
16,dam_age_notes,dam_age_notes,dam_age_notes
17,gest_stage_ex,gest_stage_ex,gest_stage_ex
18,gest_stage_ex_notes,gest_stage_ex_notes,gest_stage_ex_notes
19,exposure_span_d,exposure_span_d,exposure_span_d
20,exposure_type,exposure_type,exposure_type
21,exposure_session_duration_h,exposure_session_duration_h,exposure_session_duration_h
22,ex_session_duration_notes,ex_session_duration_notes,ex_session_duration_notes
23,noise_type,noise_type,noise_type
24,noise_type_2,noise_type_2,noise_type_2
25,loudness_dB,loudness_dB,loudness_d_b
26,frequency_Hz,frequency_Hz,frequency_hz
27,control_conditions,control_conditions,control_conditions
28,control_loudness,control_loudness,control_loudness
29,control_notes,control_notes,control_notes
30,offspring_sex,offspring_sex,offspring_sex
31,offspring_age_d,offspring_age_d,offspring_age_d
32,offspring_age_notes,offspring_age_notes,offspring_age_notes
33,experimental_procedures,experimental_procedures,experimental_procedures
34,experimental_procedures_notes,experimental_procedures_notes,experimental_procedures_notes
35,outcome_type,outcome_type,outcome_type
36,assay_type,assay_type,assay_type
37,assay_type_notes,assay_type_notes,assay_type_notes
38,measurement_variable,measurement_variable,measurement_variable
39,data_type,data_type,data_type
40,data_units,data_units,data_units
41,measurement_timing,measurement_timing,measurement_timing
42,data_source,data_source,data_source
43,data_file,data_file,data_file
44,c_a_id,c_a_id,c_a_id
45,ex_a_id,ex_a_id,ex_a_id
46,comparison,comparison,comparison
47,comparison_structure,comparison_structure,comparison_structure
48,higher_better,higher_better,higher_better
49,higher_better_notes,effect_direction_label_raw,effect_direction_label_raw
50,higher_better_notes,higher_better_notes,higher_better_notes
51,c_mean,c_mean,c_mean
52,c_sd,c_sd,c_sd
53,c_n,c_n,c_n
54,c_se,c_se,c_se
55,c_ci,c_ci,c_ci
56,ex_mean,ex_mean,ex_mean
57,ex_sd,ex_sd,ex_sd
58,ex_n,ex_n,ex_n
59,ex_se,ex_se,ex_se
60,ex_ci,ex_ci,ex_ci
61,stat_comment,stat_comment,stat_comment
62,general_comment,general_comment,general_comment
63,c_median,c_median,c_median
64,c_q1,c_q1,c_q1
65,c_q3,c_q3,c_q3
66,ex_median,ex_median,ex_median
67,ex_q1,ex_q1,ex_q1
68,ex_q3,ex_q3,ex_q3
69,checked_ML,checked_ML,checked_ml
70,checked_ML_comments,checked_ML_comments,checked_ml_comments
71,,blank_column_71,blank_column_71
72,corrections_notes_AL,corrections_notes_AL,corrections_notes_al
