filename,variable,group_id,mean,sd,n,r,se,error_type,plot_type
abramova_2021_front_f2a.png,Total squared crossed,C_f_sq,37.41058655,19.99068194,25,NA,3.998136388,sd,boxplot
abramova_2021_front_f2a.png,Total squared crossed,PS_f_sq,24.83905579,10.75155429,19,NA,2.466575719,sd,boxplot
abramova_2021_front_f2a.png,Total squared crossed,C_m_sq,32.67167382,16.9878891,23,NA,3.542219741,sd,boxplot
abramova_2021_front_f2a.png,Total squared crossed,PS_m_sq,21.42346209,11.84514551,18,NA,2.791927572,sd,boxplot
abramova_2021_front_f2b.png,Rearing freq,C_f_re,9.875549048,6.403050888,29,NA,1.1890167,sd,boxplot
abramova_2021_front_f2b.png,Rearing freq,C_m_re,7.942898975,4.625994268,30,NA,0.844587137,sd,boxplot
abramova_2021_front_f2b.png,Rearing freq,PS_f_re,7.218155198,4.811100518,29,NA,0.893398938,sd,boxplot
abramova_2021_front_f2b.png,Rearing freq,PS_m_re,3.931185944,2.484091158,24,NA,0.507062984,sd,boxplot
abramova_2021_front_f2c.png,Total freezing time,C_f_fr,38.5881104,40.52432915,29,NA,7.525179007,sd,boxplot
abramova_2021_front_f2c.png,Total freezing time,C_m_fr,33.81104034,26.97291015,30,NA,4.92455711,sd,boxplot
abramova_2021_front_f2c.png,Total freezing time,PS_f_fr,64.59660297,45.86809721,29,NA,8.517491823,sd,boxplot
abramova_2021_front_f2c.png,Total freezing time,PS_m_fr,76.91082803,51.44251313,24,NA,10.50065902,sd,boxplot
abramova_2024_devneur_fig2a.png,Open arm duration (s),Con_f_oa,45.55734764,30.69929299,37,NA,5.046932679,sd,boxplot
abramova_2024_devneur_fig2a.png,Open arm duration (s),Con_m_oa,53.82380662,29.5068712,35,NA,4.987571548,sd,boxplot
abramova_2024_devneur_fig2a.png,Open arm duration (s),PS_f_oa,27.87984306,17.52221174,49,NA,2.503173106,sd,boxplot
abramova_2024_devneur_fig2a.png,Open arm duration (s),PS_m_oa,38.3506911,24.98538056,44,NA,3.766687843,sd,boxplot
abramova_2024_devneur_fig2b.png,Head-dippingfreq,Con_f_hd,10.19748963,5.755039194,37,NA,0.946122615,sd,boxplot
abramova_2024_devneur_fig2b.png,Head-dippingfreq,Con_m_hd,11.55435633,6.924129511,35,NA,1.170391503,sd,boxplot
abramova_2024_devneur_fig2b.png,Head-dippingfreq,PS_f_hd,4.458196327,3.087742083,49,NA,0.441106012,sd,boxplot
abramova_2024_devneur_fig2b.png,Head-dippingfreq,PS_m_hd,8.545651912,5.257149804,44,NA,0.792545153,sd,boxplot
abramova_2024_devneur_fig2c.png,Freezing time (s),Con_f_fr,2.587772397,3.448946316,37,NA,0.567003282,sd,boxplot
abramova_2024_devneur_fig2c.png,Freezing time (s),PS_f_fr,20.83837772,19.55296269,49,NA,2.793280385,sd,boxplot
abramova_2024_devneur_fig2c.png,Freezing time (s),Con_m_fr,1.225786925,2.01901042,35,NA,0.341275049,sd,boxplot
abramova_2024_devneur_fig2c.png,Freezing time (s),PS_m_fr,3.268765133,3.720347081,44,NA,0.560863425,sd,boxplot
abramova_2024_devneur_fig2d.png,Grooming,Con_f_gd,22.57174393,14.11527421,37,NA,2.320536786,sd,boxplot
abramova_2024_devneur_fig2d.png,Grooming,Con_m_gd,28.31125828,19.54112996,35,NA,3.303053826,sd,boxplot
abramova_2024_devneur_fig2d.png,Grooming,PS_f_gd,30.57395143,22.63040125,49,NA,3.232914464,sd,boxplot
abramova_2024_devneur_fig2d.png,Grooming,PS_m_gd,48.3995585,27.76232652,44,NA,4.185328199,sd,boxplot
abramova_2024_devneur_fig2e.png,Mean grooming,Con_f_mg,6.97243346,3.610373839,37,NA,0.593541803,sd,boxplot
abramova_2024_devneur_fig2e.png,Mean grooming,Con_m_mg,7.129277567,4.672341193,35,NA,0.789769808,sd,boxplot
abramova_2024_devneur_fig2e.png,Mean grooming,PS_f_mg,7.614068441,4.632225158,49,NA,0.661746451,sd,boxplot
abramova_2024_devneur_fig2e.png,Mean grooming,PS_m_mg,12.14828897,7.166962673,44,NA,1.080460276,sd,boxplot
abramova_2024_devneur_fig3a.png,Center entries,Con_f_ce,2.455752212,1.207591982,37,NA,0.198526899,sd,boxplot
abramova_2024_devneur_fig3a.png,Center entries,Con_m_ce,2.873340708,1.494822539,35,NA,0.252671126,sd,boxplot
abramova_2024_devneur_fig3a.png,Center entries,PS_f_ce,2.201327434,1.905488761,49,NA,0.27221268,sd,boxplot
abramova_2024_devneur_fig3a.png,Center entries,PS_m_ce,1.482300885,1.354756188,44,NA,0.20423718,sd,boxplot
abramova_2024_devneur_fig3b.png,Number of crossing squares,Con_f_cs,50.7046332,14.37829264,37,NA,2.36377675,sd,boxplot
abramova_2024_devneur_fig3b.png,Number of crossing squares,Con_m_cs,45.52123552,13.14552608,35,NA,2.22199946,sd,boxplot
