key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-386281952,A study on behavioural effects of laboratory rats (albino wistar) after the sub-chronic noise stress     SO  - International Journal of Research in Medical …,2018,,,,,,,,"",https://www.academia.edu/download/92615096/3728.pdf,,,,"… following the sub-chronic noise stress of a rat species, Albino … The method used here to monitor the depression behavior of … pregnancy in rats offspring. J Res Med Sci. 2004;6:275-9. …","RAYYAN-INCLUSION: {""Anna""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong outcome",,character(0),,
rayyan-386281970,Effects of perinatal stress on the emotion-related behavior of the adolescent mouse     SO  - BIOLOGICAL \& PHARMACEUTICAL BULLETIN,2006,,,,,29,,,"",,,,,"We examined the effects of perinatal stress on the emotion-related behavior of the mouse during their adolescent period. Firstly, we applied the sound noise and/or the forced swim stress to the maternal pregnant mice in the pregnant mice at 10 to 18 d gestation. The stress applied during the fetal period did affect neither the spontaneous locomotor activity of the offspring mice in a new environment at an age of 4 weeks, nor those sound-induced changes in the locomotor activity. Secondly, we applied the stress to the neonatal mouse during the late lactation period, 14 to 18d after birth. The mice that underwent the forced swim stress accompanied by the sound noise stress showed a significant reduction of the locomotor activity. On the other hand, the mice that underwent the forced swim stress during the lactation period showed a significant increase in the locomotor activity after the stimulation by the sound noise. Lastly, we applied the stress to the neonatal mouse immediately after the weaning period, 21 to 25 d after birth. The spontaneous locomotor activity of the mice was not changed compared to that of the non-stressed group. Thus, it was found that the stress applied to the mice during the lactation period, thought to be the critical period of mouse brain development, selectively influenced the emotion-related behavior in the subsequent adolescent period. These results suggested that second postnatal week may be the critical period for establishing proper behavioral responses to emotional stress in the adolescent mouse.","RAYYAN-INCLUSION: {""Anna""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong outcome | USER-NOTES: {""Anna""=>[""At an age of 4 weeks, the locomotor activity of the manipulated mouse was quantified using an activity sensor (NAAS01, Neuroscience, Inc., Japan""]}",10.1248/bpb.29.1036,character(0),,
rayyan-386282158,PRENATAL SOUND STIMULATION ON POSTNATAL RAT OFFSPRING OPEN-FIELD BEHAVIORS     SO  - PSYCHOLOGICAL RECORD,1965,,,,,15,,,"",,,,,"The impact of an intrinsically neutral stimulus (standard door buzzer), presented in a novel setting during the 2nd semester of pregnancy, was capable of altering rat offspring behavior in the open field on Day 25, postpartum. Twenty-four female albino rats of approximately 120 days of age were used. This sound-stressed group was compared to 2 control groups; a conditioned-fear group and a non-stressed group. The direction of the behavioral differences was increased emotionality between the sound-fear group and the control group (p<. 01). These findings suggested that the stressor may have acted directly on the fetus rather than indirectly via the placental barrier.","RAYYAN-INCLUSION: {""Anna""=>""Included""}",https://doi.org/10.1007/bf03393632,character(0),,
rayyan-386282418,Effects of chronic stress on cognitive functions and anxiety related behaviors in rats     SO  - ACTA PHYSIOLOGICA HUNGARICA,2010,,,,,97,,,"",,,,,"The effects of 100 dB prenatal and chronic postnatal white noise stress (WNS) on some cognitive functions and behaviors in rats were investigated. For this purpose, 60 female Sprague-Dawley rats and their 90 male offspring were used. Pregnant rats were divided into Prenatal Stress (PS) and Prenatal Control (PC) groups. WNS was applied to PS group between the 14(th) and 21(st) days of their pregnancy, while PC rats were left undisturbed. After weaning, 40 male pups of PS dams were assigned to prenatal + chronic postnatal stress (PSCS) and prenatal stress + non-stress (PSN) groups. Pups of PC dams were divided into Control (CON) and Corticosterone (CORT) groups. During the postnatal 30(th) and 51(st) days, WNS was applied to PSCS and CORT rats everyday for 45 minutes, while PSN and CON groups were left undisturbed. The effects of stress on adult male offspring were investigated using Morris water maze and defensive withdrawal tests. Blood samples were collected after each test for serum corticosterone measurements. Blood samples of CORT rats were collected before the stress application and at the 1(st), 7(th), 14(th), and 21(st) days of the stress period, immediately after cessation of the stress application. There were no significant differences among groups for learning and behavior tests. Corticosterone levels of CORT rats were significantly higher after the stress period than before stress application. These results indicate that although chronic 100 dB WNS induces a stress response by increasing corticosterone levels, it does not affect cognitive functions and anxiety related behaviors of adult male offspring.","RAYYAN-INCLUSION: {""Anna""=>""Included""} | USER-NOTES: {""Anna""=>[""I asked for the full text in Research Gate""]}",10.1556/APhysiol.97.2010.3.6,character(0),,
rayyan-386282451,The effect of sound stimulation during gestation on the behavior of rat offspring,,,,,,,,,"",,,,,"The role of a fetal response (direct mediation) in the effects of sound stimulation during gestation on the postnatal behavior of rat offspring was studied. By deafening the mother and so eliminating a maternal stress response to sound stimulation, conditions were optimized for examining direct effects. -- Prior to mating, female hooded rats were either experimentally deafened or left intact (hearing condition). Beginning on the 13th day of gestation, some of the deaf mothers and some of the hearing mothers were presented with an 85db (re 20μN/m²) white noise stimulus. Another hearing group received a low noise stimulus, a 65db (re 20μN/m²) white noise. The remaining deaf and hearing mothers received the same experimental treatment but without the noise presentation. Experimental treatments continued through the 19th day of gestation. An undisturbed control group was also included in the design. A direct effect of noise stimulation would have to be considered if the deaf noise group differed significantly from its control group, deaf no noise. -- Offspring were tested on three behavioral tests: open-field, shuttle box avoidance, and one-way avoidance. In the open-field, the hearing noise group ambulated significantly more than the control group. All groups ambulated more than the controls. The shuttle box yielded insignificant results. On the one-way avoidance task, response latency scores on a CS pre-exposure were similar to group ambulation scores. An extinction effect occurred only in the hearing noise group which had not extinguished in 200 trials. -- The results of these tests were interpreted as indicating that noise stimulation is predominantly indirectly mediated. An important factor in the treatment effect was the placement of the maternal cages into the experimental chamber. This raised the question of the role of differing levels of novelty in the prenatal stress effect, particularly as this difference may account for contradictory findings in the prenatal stress literature.","RAYYAN-INCLUSION: {""Anna""=>""Included""} | USER-NOTES: {""Anna""=>[""Find the full text here:https://memorial.scholaris.ca/server/api/core/bitstreams/64445689-c6fd-4581-b8b5-e7a4f41b34a8/content"", ""They have a group of hearing dams presented with white noise, and another group with no noise. The offspring was tested with the Open Field test. "", ""13 to 19 gestation day ""]}",,character(0),,
rayyan-386282493,Behavioral despair in mice after prenatal stress     SO  - JOURNAL OF PHYSIOLOGY AND BIOCHEMISTRY,2000,,,,,56,,,"",,,,,"Maternal stress during pregnancy produced behavioral alterations in both sexes with regard to sexual behavior, aggressive, maternal, lateralization and depression. In the present paper, sex differences for depression in mice was studied. No sex differences between female and male mice groups were observed either in swimming-induced immobility or in the open-field test (ambulation, rearing and boluses). Prenatal stress produced: 1) an increase of immobility time in female mice for swimming-induced immobility, but not in male mice; 2) an increase of ambulation in female mice for open-field test, but not in male mice; 3) there were no significant differences in rearing and boluses between stress and control groups either for female or male mice. Prenatal stress increases the risk of depression and locomotor activity in adult female mice.","RAYYAN-INCLUSION: {""Anna""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong exposure | USER-NOTES: {""Anna""=>[""restraint"", ""Pregnant mice were stressed from day 1 of gestation until parturition. ""]}",10.1007/BF03179902,character(0),,
rayyan-386282504,Effects of prenatal stress on anxiety-like behavior and nociceptive response in rats     SO  - JOURNAL OF INTEGRATIVE NEUROSCIENCE,2015,,,,,14,,,"",,,,,"We assess the anxiety-like behavior in the open field and elevated plus maze tests and measure the nociceptive response in the tail flick test following prenatal stress exposure in adult male and female Wistar rats. In both behavioral anxiety tests, prenatal stress increased the anxiety-like behavior in male PS rats, but not in females suggesting a strong sex-dependent anxiogenic erect. The tail flick results showed a hypersensitivity to pain in male and female PS rats with a subtle gender difference. These findings suggest that prenatal stress is an important risk factor for multiple mental disorders.","RAYYAN-INCLUSION: {""Anna""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong exposure | USER-NOTES: {""Anna""=>[""footshock stress""]}",10.1142/S0219635215500107,character(0),,
rayyan-386282511,Vulnerability and resilience to prenatal stress exposure: behavioral and molecular characterization in adolescent rats     SO  - TRANSLATIONAL PSYCHIATRY,2023,,,,,13,,,"",,,,,"Exposure to stress can lead to long lasting behavioral and neurobiological consequences, which may enhance the susceptibility for the onset of mental disorders. However, there are significant individual differences in the outcome of stress exposure since only a percentage of exposed individuals may show pathological consequences, whereas others appear to be resilient. In this study, we aimed to characterize the effects of prenatal stress (PNS) exposure in rats at adolescence and to identify subgroup of animals with a differential response to the gestational manipulation. PNS adolescent offspring (regardless of sex) showed impaired emotionality in different pathological domains, such as anhedonia, anxiety, and sociability. However, using cluster analysis of the behavioral data we could identify 70\% of PNS-exposed animals as vulnerable (PNS-vul), whereas the remaining 30\% were considered resilient (PNS-res). At the molecular level, we found that PNS-res males show a reduced basal activation of the ventral hippocampus whereas other regions, such as amygdala and dorsal hippocampus, show significant PNS-induced changes regardless from vulnerability or resilience. Taken together, our results provide evidence of the variability in the behavioral and neurobiological effects of PNS-exposed offspring at adolescence. While these data may advance our understanding of the association between exposure to stress during gestation and the risk for psychopathology, the investigation of the mechanisms associated to stress vulnerability or resilience may be instrumental to develop novel strategies for therapeutic intervention.","RAYYAN-INCLUSION: {""Anna""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong exposure | USER-NOTES: {""Anna""=>[""restraint stress""]}",10.1038/s41398-023-02653-6,character(0),,
rayyan-386282570,Prenatal Stress Alters the Development of Socioemotional Behavior and Amygdala Neuron Excitability in Rats     SO  - NEUROPSYCHOPHARMACOLOGY,2015,,,,,40,,,"",,,,,"Prenatal stress (PS) is a risk factor for neurodevelopmental disorders with diverse ages of onset and socioemotional symptoms. Some PS-linked disorders involve characteristic social deficits, such as autism spectrum disorders and schizophrenia, but PS also promotes anxiety disorders. We propose the diversity of symptoms following PS arises from perturbations to early brain development. To this end, we characterized the effects of PS on the developmental trajectory of physiology of the amygdala, a late-developing center for socioemotional control. We found that PS dampened socioemotional behavior and reduced amygdala neuron excitability in offspring during infancy (at postnatal days (P) 10, 14, 17 and 21), preadolescence (day 28), and adulthood (day 60). PS offspring in infancy produced fewer isolation-induced vocalizations and in adulthood exhibited less anxiety-like behavior and deficits in social interaction. PS neurons had a more hyperpolarized resting membrane potential from infancy to adulthood and produced fewer action potentials. Moreover, adult amygdala neurons from PS animals expressed larger action potential afterhyperpolarizations and H-current relative to controls, further limiting excitability. Our results suggest that PS can suppress socioemotional behavior throughout development and produce age-specific alterations to amygdala physiology.","RAYYAN-INCLUSION: {""Anna""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong exposure | USER-NOTES: {""Anna""=>[""Maybe they induced stress with noise"", ""electric shock""]}",10.1038/npp.2015.55,character(0),,
rayyan-386282672,Prenatal Stress Enhances Excitatory Synaptic Transmission and Impairs Long-Term Potentiation in the Frontal Cortex of Adult Offspring Rats     SO  - PLOS ONE,2015,,,,,10,,,"",,,,,"The effects of prenatal stress procedure were investigated in 3 months old male rats. Prenatally stressed rats showed depressive-like behavior in the forced swim test, including increased immobility, decreased mobility and decreased climbing. In ex vivo frontal cortex slices originating from prenatally stressed animals, the amplitude of extracellular field potentials (FPs) recorded in cortical layer II/III was larger, and the mean amplitude ratio of pharmacologically-isolated NMDA to the AMPA/kainate component of the field potential-smaller than in control preparations. Prenatal stress also resulted in a reduced magnitude of long-term potentiation (LTP). These effects were accompanied by an increase in the mean frequency, but not the mean amplitude, of spontaneous excitatory postsynaptic currents (sEPSCs) in layer II/III pyramidal neurons. These data demonstrate that stress during pregnancy may lead not only to behavioral disturbances, but also impairs the glutamatergic transmission and long-term synaptic plasticity in the frontal cortex of the adult offspring.","RAYYAN-INCLUSION: {""Anna""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong exposure | USER-NOTES: {""Anna""=>[""Maybe noise"", ""acrylic tube exposed to a bright light""]}",10.1371/journal.pone.0119407,character(0),,
