study_id,es_id,csv_row,data_source,data_file,control_group,experimental_group,c_status,c_meta_group,c_meta_file,c_mean_meta,c_sd_meta,c_n_meta,c_se_meta,ex_status,ex_meta_group,ex_meta_file,ex_mean_meta,ex_sd_meta,ex_n_meta,ex_se_meta,overall_status,meta_files,notes
barzegar_2014_hippo,es004,5,Figure 2A,barzegar_2014_figure2,CON_oae,N1_oae,match,CON,barzegar_2014_figure2a.png,32.0666666666667,10.9625625552504,10.0,3.46666666666668,match,N1,barzegar_2014_figure2a.png,33.9333333333333,19.6061214930439,10.0,6.19999999999999,match,barzegar_2014_figure2a.png,
barzegar_2014_hippo,es005,6,Figure 2B,barzegar_2014_figure2,CON_oat,N1_oat,match,CON,barzegar_2014_figure2b.png,30.0156494522692,6.40868477295467,10.0,2.02660406885758,match,N1,barzegar_2014_figure2b.png,30.7824726134585,4.33019241415858,10.0,1.36932707355243,match,barzegar_2014_figure2b.png,
barzegar_2014_hippo,es006,7,Figure 2A,barzegar_2014_figure2,CON_oae,N2_oae,match,CON,barzegar_2014_figure2a.png,32.0666666666667,10.9625625552504,10.0,3.46666666666668,mismatch,N2,barzegar_2014_figure2a.png,14.2666666666667,8.43274042711568,10.0,2.66666666666667,review,barzegar_2014_figure2a.png,ex differs in se
barzegar_2014_hippo,es007,8,Figure 2B,barzegar_2014_figure2,CON_oat,N2_oat,match,CON,barzegar_2014_figure2b.png,30.0156494522692,6.40868477295467,10.0,2.02660406885758,match,N2,barzegar_2014_figure2b.png,21.5258215962441,5.71585398668932,10.0,1.8075117370892,match,barzegar_2014_figure2b.png,
barzegar_2014_hippo,es008,9,Figure 2A,barzegar_2014_figure2,CON_oae,N4_oae,match,CON,barzegar_2014_figure2a.png,32.0666666666667,10.9625625552504,10.0,3.46666666666668,match,N4,barzegar_2014_figure2a.png,15.3333333333333,8.85437744847148,10.0,2.8,match,barzegar_2014_figure2a.png,
barzegar_2014_hippo,es009,10,Figure 2B,barzegar_2014_figure2b,CON_oat,N4_oat,match,CON,barzegar_2014_figure2b.png,30.0156494522692,6.40868477295467,10.0,2.02660406885758,match,N4,barzegar_2014_figure2b.png,16.924882629108,8.31396943518447,10.0,2.62910798122066,match,barzegar_2014_figure2b.png,
hassanvand_2012_phyphar,es010,11,Figure 2,hassanvand_2012_phyphar_Figure2,Control_sniff,Expn_sniff,match,Control_sniff,hassanvand_2012_phyphar_Figure2.png,41.5679601237508,2.76250058049663,6.0,1.12778613939318,match,Exp_sniff,hassanvand_2012_phyphar_Figure2.png,35.5825421993415,2.91597283496866,6.0,1.19044092491502,match,hassanvand_2012_phyphar_Figure2.png,
hassanvand_2012_phyphar,es011,12,Figure 2,hassanvand_2012_phyphar_Figure2,Control_rear,Exp_rear,match,Control_rear,hassanvand_2012_phyphar_Figure2.png,13.9429543187844,1.84166705366443,6.0,0.751857426262123,match,Exp_rear,hassanvand_2012_phyphar_Figure2.png,20.695733515554,2.45555607155258,6.0,1.0024765683495,match,hassanvand_2012_phyphar_Figure2.png,
hassanvand_2012_phyphar,es012,13,Figure 2,hassanvand_2012_phyphar_Figure2,Control_loco,Exp_loco,match,Control_loco,hassanvand_2012_phyphar_Figure2.png,24.6860121318269,4.45069537968902,6.0,1.81698878013346,match,Exp_loco,hassanvand_2012_phyphar_Figure2.png,28.5228184936278,2.6090283260246,6.0,1.06513135387134,match,hassanvand_2012_phyphar_Figure2.png,
arjunan_2023_stress,es013,14,Figure 3B,arjunan_2023_stress_fig3B_cen,Con_cen,Egs_cen,match,Con_cen,arjunan_2023_stress_fig3B_cen.png,225.392670157068,25.9162303664922,6.0,10.5802567423881,match,Egs_cen,arjunan_2023_stress_fig3B_cen.png,160.20942408377,18.848167539267,6.0,7.69473217628222,match,arjunan_2023_stress_fig3B_cen.png,
arjunan_2023_stress,es014,15,Figure 3B,arjunan_2023_stress_fig3B_per,Con_per,Egs_per,match,Con_per,arjunan_2023_stress_fig3B_peri.png,71.735776371063,28.2130205006098,6.0,11.5179173881959,match,Egs_per,arjunan_2023_stress_fig3B_peri.png,132.863987455718,19.4804189170877,6.0,7.95284772042096,match,arjunan_2023_stress_fig3B_peri.png,
arjunan_2023_stress,es015,16,Figure 3B,arjunan_2023_stress_fig3B_cen,Con_cen,Lgs_cen,match,Con_cen,arjunan_2023_stress_fig3B_cen.png,225.392670157068,25.9162303664922,6.0,10.5802567423881,match,Lgs_cen,arjunan_2023_stress_fig3B_cen.png,124.083769633508,11.7801047120419,6.0,4.8092076101764,match,arjunan_2023_stress_fig3B_cen.png,
arjunan_2023_stress,es016,17,Figure 3B,arjunan_2023_stress_fig3B_per,Con_per,Lgs_per,match,Con_per,arjunan_2023_stress_fig3B_peri.png,71.735776371063,28.2130205006098,6.0,11.5179173881959,match,Lgs_per,arjunan_2023_stress_fig3B_peri.png,170.481348123197,10.7478173335656,6.0,4.38777805264605,match,arjunan_2023_stress_fig3B_peri.png,
arjunan_2023_stress,es017,18,Figure 3B,arjunan_2023_stress_fig3B_cen,Con_cen,Fgs_cen,match,Con_cen,arjunan_2023_stress_fig3B_cen.png,225.392670157068,25.9162303664922,6.0,10.5802567423881,match,Fgs_cen,arjunan_2023_stress_fig3B_cen.png,93.4554973821989,11.7801047120419,6.0,4.8092076101764,match,arjunan_2023_stress_fig3B_cen.png,
arjunan_2023_stress,es018,19,Figure 3B,arjunan_2023_stress_fig3B_per,Con_per,Fgs_per,match,Con_per,arjunan_2023_stress_fig3B_peri.png,71.735776371063,28.2130205006098,6.0,11.5179173881959,match,Fgs_per,arjunan_2023_stress_fig3B_peri.png,202.724800123894,12.0912945002613,6.0,4.93625030922679,match,arjunan_2023_stress_fig3B_peri.png,
hadizadeh_2018_irjbamedsci,es019,20,Figure 2A,hadizadeh_2018_irjbamedsci_fig2A,CON_en,ST_en,match,CON_en,hadizadeh_2018_irjbamedsci_fig2A.png,54.9846689966566,7.66644592431018,6.0,3.12981344253328,match,ST_en,hadizadeh_2018_irjbamedsci_fig2A.png,19.5134499812794,3.06657836972408,6.0,1.25192537701331,match,hadizadeh_2018_irjbamedsci_fig2A.png,
hadizadeh_2018_irjbamedsci,es020,21,Figure 2B,hadizadeh_2018_irjbamedsci_fig2B,CON_ti,ST_ti,match,CON_ti,hadizadeh_2018_irjbamedsci_fig2B.png,41.5580136699679,2.90084641040997,6.0,1.1842655879481,match,ST_ti,hadizadeh_2018_irjbamedsci_fig2B.png,17.5174222346213,4.35126961561497,6.0,1.77639838192216,match,hadizadeh_2018_irjbamedsci_fig2B.png,
abramova_2024_devneur,es021,22,Fig. 2. a,abramova_2024_devneur_fig2a,Con_f_oa,PS_f_oa,match,Con_f_oa,abramova_2024_devneur_fig2a.png,45.5573476419708,30.6992929903619,37.0,5.04693267860595,match,PS_f_oa,abramova_2024_devneur_fig2a.png,27.879843055916,17.522211743292,49.0,2.50317310618457,match,abramova_2024_devneur_fig2a.png,
abramova_2024_devneur,es022,23,Fig. 2. a,abramova_2024_devneur_fig2a,Con_m_oa,PS_m_oa,match,Con_m_oa,abramova_2024_devneur_fig2a.png,53.8238066210611,29.5068712029075,35.0,4.98757154817272,match,PS_m_oa,abramova_2024_devneur_fig2a.png,38.3506910960971,24.9853805554608,44.0,3.76668784303206,match,abramova_2024_devneur_fig2a.png,
abramova_2024_devneur,es023,24,Fig. 2. b,abramova_2024_devneur_fig2b,Con_f_hd,PS_f_hd,match,Con_f_hd,abramova_2024_devneur_fig2b.png,10.1974896325871,5.75503919415122,37.0,0.9461226154211,match,PS_f_hd,abramova_2024_devneur_fig2b.png,4.45819632673162,3.08774208338917,49.0,0.441106011912738,match,abramova_2024_devneur_fig2b.png,
abramova_2024_devneur,es024,25,Fig. 2. b,abramova_2024_devneur_fig2b,Con_m_hd,PS_m_hd,match,Con_m_hd,abramova_2024_devneur_fig2b.png,11.5543563319156,6.92412951052496,35.0,1.17039150322229,match,PS_m_hd,abramova_2024_devneur_fig2b.png,8.5456519116654,5.25714980394688,44.0,0.792545153017375,match,abramova_2024_devneur_fig2b.png,
abramova_2024_devneur,es025,26,Fig. 2. c,abramova_2024_devneur_fig2c,Con_f_fr,PS_f_fr,match,Con_f_fr,abramova_2024_devneur_fig2c.png,2.58777239709442,3.44894631567267,37.0,0.56700328156713,match,PS_f_fr,abramova_2024_devneur_fig2c.png,20.8383777239709,19.5529626925749,49.0,2.79328038465355,match,abramova_2024_devneur_fig2c.png,
abramova_2024_devneur,es026,27,Fig. 2. c,abramova_2024_devneur_fig2c,Con_m_fr,PS_m_fr,match,Con_m_fr,abramova_2024_devneur_fig2c.png,1.22578692493946,2.01901042019941,35.0,0.341275049394548,match,PS_m_fr,abramova_2024_devneur_fig2c.png,3.26876513317191,3.7203470810537,44.0,0.56086342535223,match,abramova_2024_devneur_fig2c.png,
abramova_2024_devneur,es027,28,Fig. 2. d,abramova_2024_devneur_fig2d,Con_f_gd,PS_f_gd,match,Con_f_gd,abramova_2024_devneur_fig2d.png,22.5717439293598,14.1152742115958,37.0,2.32053678592378,match,PS_f_gd,abramova_2024_devneur_fig2d.png,30.5739514348786,22.6304012506357,49.0,3.23291446437653,match,abramova_2024_devneur_fig2d.png,
abramova_2024_devneur,es028,29,Fig. 2. d,abramova_2024_devneur_fig2d,Con_m_gd,PS_m_gd,match,Con_m_gd,abramova_2024_devneur_fig2d.png,28.3112582781457,19.541129962555,35.0,3.30305382601125,match,PS_m_gd,abramova_2024_devneur_fig2d.png,48.3995584988963,27.7623265185743,44.0,4.18532819861111,match,abramova_2024_devneur_fig2d.png,
