issue_id,severity,certainty,category,study_id,es_id,csv_row,field,current_value,expected_or_review,evidence,source_file,source_locator,recommended_action
I0477,High,Confirmed,Study metadata,barzegar_2014_hippo,es004,5,title,Effects of chronic stress on cognitive functions and anxiety related behaviors in rats,"Prenatal Exposure to Noise Stress: Anxiety, Impaired Spatial Memory, and Deteriorated Hippocampal Plasticity in Postnatal Life",A study_id should map to one publication title; this row contains a title from another included study.,included_studies/barzegar_2014_hippo.pdf,PDF page 1,Replace with the publication title used by the other rows for this study_id.
I0481,High,Confirmed,Summary statistics,barzegar_2014_hippo,es006,7,ex_se,8.43,2.6658,The stored SE is inconsistent with ex_sd / sqrt(ex_n).,Metadigitise_figs/metaDigitise_output.csv,matching figure/group row,Recalculate SE from the verified SD and n in the corrected copy; preserve the original value in an audit column.
I0482,High,Confirmed,Summary statistics,abramova_2020_genpath,es130,131,c_se,18.1638,5.948995,The stored SE is inconsistent with c_sd / sqrt(c_n).,included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx,matching descriptive-statistics row,Recalculate SE from the verified SD and n in the corrected copy; preserve the original value in an audit column.
I0483,High,Confirmed,Summary statistics,abramova_2020_genpath,es131,132,c_se,23.1577,6.011893,The stored SE is inconsistent with c_sd / sqrt(c_n).,included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx,matching descriptive-statistics row,Recalculate SE from the verified SD and n in the corrected copy; preserve the original value in an audit column.
I0484,High,Confirmed,Summary statistics,abramova_2020_genpath,es131,132,ex_se,14.9063,4.86045,The stored SE is inconsistent with ex_sd / sqrt(ex_n).,included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx,matching descriptive-statistics row,Recalculate SE from the verified SD and n in the corrected copy; preserve the original value in an audit column.
I0485,High,Confirmed,Summary statistics,abramova_2020_genpath,es132,133,c_se,8.3527,2.38249,The stored SE is inconsistent with c_sd / sqrt(c_n).,included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx,matching descriptive-statistics row,Recalculate SE from the verified SD and n in the corrected copy; preserve the original value in an audit column.
I0486,High,Confirmed,Summary statistics,abramova_2020_genpath,es133,134,c_se,9.9437,2.286889,The stored SE is inconsistent with c_sd / sqrt(c_n).,included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx,matching descriptive-statistics row,Recalculate SE from the verified SD and n in the corrected copy; preserve the original value in an audit column.
I0487,High,Confirmed,Summary statistics,abramova_2020_genpath,es133,134,ex_se,7.0469,2.22715,The stored SE is inconsistent with ex_sd / sqrt(ex_n).,included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx,matching descriptive-statistics row,Recalculate SE from the verified SD and n in the corrected copy; preserve the original value in an audit column.
I0488,High,Confirmed,Summary statistics,abramova_2020_genpath,es134,135,c_se,0.6629,1.0596,The stored SE is inconsistent with c_sd / sqrt(c_n).,included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx,matching descriptive-statistics row,Recalculate SE from the verified SD and n in the corrected copy; preserve the original value in an audit column.
I0489,High,Confirmed,Summary statistics,abramova_2020_genpath,es135,136,c_se,0.9723,0.647816,The stored SE is inconsistent with c_sd / sqrt(c_n).,included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx,matching descriptive-statistics row,Recalculate SE from the verified SD and n in the corrected copy; preserve the original value in an audit column.
I0490,High,Confirmed,Summary statistics,abramova_2020_genpath,es135,136,ex_se,0.3125,0.232725,The stored SE is inconsistent with ex_sd / sqrt(ex_n).,included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx,matching descriptive-statistics row,Recalculate SE from the verified SD and n in the corrected copy; preserve the original value in an audit column.
