study_id,es_id,csv_row,source_file,source_locator,current_offspring_sex,source_offspring_sex,control_source_sex,experimental_source_sex,statistics_status,notes
abramova_2021_front,es074,75,included_studies/abramova_2021_front/abramova_2021_front.xlsx,Лист1; handling=No handling; metric=squares,female,female,male,female,mixed-sex control,Experimental statistics match offspring_sex; control statistics match the opposite-sex author subgroup.
abramova_2021_front,es075,76,included_studies/abramova_2021_front/abramova_2021_front.xlsx,Лист1; handling=No handling; metric=squares,male,male,female,male,mixed-sex control,Experimental statistics match offspring_sex; control statistics match the opposite-sex author subgroup.
abramova_2021_front,es076,77,included_studies/abramova_2021_front/abramova_2021_front.xlsx,Лист1; handling=No handling; metric=rearing,female,female,male,female,mixed-sex control,Experimental statistics match offspring_sex; control statistics match the opposite-sex author subgroup.
abramova_2021_front,es077,78,included_studies/abramova_2021_front/abramova_2021_front.xlsx,Лист1; handling=No handling; metric=rearing,male,male,female,male,mixed-sex control,Experimental statistics match offspring_sex; control statistics match the opposite-sex author subgroup.
abramova_2021_front,es078,79,included_studies/abramova_2021_front/abramova_2021_front.xlsx,Лист1; handling=No handling; metric=center_num,female,female,male,female,mixed-sex control,Experimental statistics match offspring_sex; control statistics match the opposite-sex author subgroup.
abramova_2021_front,es079,80,included_studies/abramova_2021_front/abramova_2021_front.xlsx,Лист1; handling=No handling; metric=center_num,male,male,female,male,mixed-sex control,Experimental statistics match offspring_sex; control statistics match the opposite-sex author subgroup.
abramova_2021_front,es080,81,included_studies/abramova_2021_front/abramova_2021_front.xlsx,Лист1; handling=No handling; metric=center_totalTime,female,female,male,female,mixed-sex control,Experimental statistics match offspring_sex; control statistics match the opposite-sex author subgroup.
abramova_2021_front,es081,82,included_studies/abramova_2021_front/abramova_2021_front.xlsx,Лист1; handling=No handling; metric=center_totalTime,male,male,female,male,mixed-sex control,Experimental statistics match offspring_sex; control statistics match the opposite-sex author subgroup.
abramova_2021_front,es082,83,included_studies/abramova_2021_front/abramova_2021_front.xlsx,Лист1; handling=No handling; metric=grum_number,female,female,male,female,mixed-sex control,Experimental statistics match offspring_sex; control statistics match the opposite-sex author subgroup.
abramova_2021_front,es083,84,included_studies/abramova_2021_front/abramova_2021_front.xlsx,Лист1; handling=No handling; metric=grum_number,male,male,female,male,mixed-sex control,Experimental statistics match offspring_sex; control statistics match the opposite-sex author subgroup.
abramova_2021_front,es084,85,included_studies/abramova_2021_front/abramova_2021_front.xlsx,Лист1; handling=No handling; metric=grum_totalTime,female,female,male,female,mixed-sex control,Experimental statistics match offspring_sex; control statistics match the opposite-sex author subgroup.
abramova_2021_front,es085,86,included_studies/abramova_2021_front/abramova_2021_front.xlsx,Лист1; handling=No handling; metric=grum_totalTime,male,male,female,male,mixed-sex control,Experimental statistics match offspring_sex; control statistics match the opposite-sex author subgroup.
abramova_2021_front,es086,87,included_studies/abramova_2021_front/abramova_2021_front.xlsx,Лист1; handling=No handling; metric=freez_totalTime,female,female,male,female,mixed-sex control,Experimental statistics match offspring_sex; control statistics match the opposite-sex author subgroup.
abramova_2021_front,es087,88,included_studies/abramova_2021_front/abramova_2021_front.xlsx,Лист1; handling=No handling; metric=freez_totalTime,male,male,female,male,mixed-sex control,Experimental statistics match offspring_sex; control statistics match the opposite-sex author subgroup.
abramova_2020_genpath,es130,131,included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx,c=tidy_all row 51; ex=tidy_all row 65,male,not evaluated by this numeric match,,,SE mismatch,c: mean/SD/n match; SE differs; ex: mean/SD/n match; SE matches
abramova_2020_genpath,es131,132,included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx,c=tidy_all row 44; ex=tidy_all row 58,female,not evaluated by this numeric match,,,SE mismatch,c: mean/SD/n match; SE differs; ex: mean/SD/n match; SE differs
abramova_2020_genpath,es132,133,included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx,c=tidy_all row 53; ex=tidy_all row 67,male,not evaluated by this numeric match,,,SE mismatch,c: mean/SD/n match; SE differs; ex: mean/SD/n match; SE matches
abramova_2020_genpath,es133,134,included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx,c=tidy_all row 46; ex=tidy_all row 60,female,not evaluated by this numeric match,,,SE mismatch,c: mean/SD/n match; SE differs; ex: mean/SD/n match; SE differs
abramova_2020_genpath,es134,135,included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx,c=tidy_all row 54; ex=tidy_all row 68,male,not evaluated by this numeric match,,,SE mismatch,c: mean/SD/n match; SE differs; ex: mean/SD/n match; SE matches
abramova_2020_genpath,es135,136,included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx,c=tidy_all row 47; ex=tidy_all row 61,female,not evaluated by this numeric match,,,SE mismatch,c: mean/SD/n match; SE differs; ex: mean/SD/n match; SE differs
abramova_2020_genpath,es136,137,included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx,c=tidy_all row 49; ex=tidy_all row 63,male,not evaluated by this numeric match,,,SE mismatch,c: mean/SD/n match; SE differs; ex: mean/SD/n match; SE matches
abramova_2020_genpath,es137,138,included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx,c=tidy_all row 42; ex=tidy_all row 56,female,not evaluated by this numeric match,,,SE mismatch,c: mean/SD/n match; SE differs; ex: mean/SD/n match; SE differs
abramova_2020_genpath,es138,139,included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx,c=tidy_all row 50; ex=tidy_all row 64,male,not evaluated by this numeric match,,,SE mismatch,c: mean/SD/n match; SE differs; ex: mean/SD/n match; SE matches
abramova_2020_genpath,es139,140,included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx,c=tidy_all row 43; ex=tidy_all row 57,female,not evaluated by this numeric match,,,SE mismatch,c: mean/SD/n match; SE differs; ex: mean/SD/n match; SE differs
abramova_2020_genpath,es140,141,included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx,c=tidy_all row 55; ex=tidy_all row 69,male,not evaluated by this numeric match,,,SE mismatch,c: mean/SD/n match; SE differs; ex: mean/SD/n match; SE matches
abramova_2020_genpath,es141,142,included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx,c=tidy_all row 48; ex=tidy_all row 62,female,not evaluated by this numeric match,,,SE mismatch,c: mean/SD/n match; SE differs; ex: mean/SD/n match; SE differs
abramova_2020_genpath,es142,143,included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx,c=tidy_all row 20; ex=tidy_all row 40,male,not evaluated by this numeric match,,,SE mismatch,c: mean/SD/n match; SE differs; ex: mean/SD/n match; SE matches
abramova_2020_genpath,es143,144,included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx,c=tidy_all row 10; ex=tidy_all row 30,female,not evaluated by this numeric match,,,SE mismatch,c: mean/SD/n match; SE differs; ex: mean/SD/n match; SE matches
abramova_2020_genpath,es144,145,included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx,c=tidy_all row 17; ex=tidy_all row 37,male,not evaluated by this numeric match,,,SE mismatch,c: mean/SD/n match; SE differs; ex: mean/SD/n match; SE matches
abramova_2020_genpath,es145,146,included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx,c=tidy_all row 7; ex=tidy_all row 27,female,not evaluated by this numeric match,,,SE mismatch,c: mean/SD/n match; SE differs; ex: mean/SD/n match; SE matches
abramova_2020_genpath,es146,147,included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx,c=tidy_all row 15; ex=tidy_all row 35,male,not evaluated by this numeric match,,,SE mismatch,c: mean/SD/n match; SE differs; ex: mean/SD/n match; SE matches
abramova_2020_genpath,es147,148,included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx,c=tidy_all row 5; ex=tidy_all row 25,female,not evaluated by this numeric match,,,SE mismatch,c: mean/SD/n match; SE differs; ex: mean/SD/n match; SE matches
abramova_2020_genpath,es148,149,included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx,c=tidy_all row 12; ex=tidy_all row 32,male,not evaluated by this numeric match,,,SE mismatch,c: mean/SD/n match; SE differs; ex: mean/SD/n match; SE matches
abramova_2020_genpath,es149,150,included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx,c=tidy_all row 2; ex=tidy_all row 22,female,not evaluated by this numeric match,,,SE mismatch,c: mean/SD/n match; SE differs; ex: mean/SD/n match; SE matches
abramova_2020_genpath,es150,151,included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx,c=tidy_all row 18; ex=tidy_all row 38,male,not evaluated by this numeric match,,,SE mismatch,c: mean/SD/n match; SE differs; ex: mean/SD/n match; SE matches
abramova_2020_genpath,es151,152,included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx,c=tidy_all row 8; ex=tidy_all row 28,female,not evaluated by this numeric match,,,SE mismatch,c: mean/SD/n match; SE differs; ex: mean/SD/n match; SE matches
abramova_2020_genpath,es152,153,included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx,c=tidy_all row 13; ex=tidy_all row 33,male,not evaluated by this numeric match,,,SE mismatch,c: mean/SD/n match; SE differs; ex: mean/SD/n match; SE matches
abramova_2020_genpath,es153,154,included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx,c=tidy_all row 3; ex=tidy_all row 23,female,not evaluated by this numeric match,,,SE mismatch,c: mean/SD/n match; SE differs; ex: mean/SD/n match; SE matches
abramova_2020_genpath,es154,155,included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx,c=tidy_all row 16; ex=tidy_all row 36,male,not evaluated by this numeric match,,,SE mismatch,c: mean/SD/n match; SE differs; ex: mean/SD/n match; SE matches
abramova_2020_genpath,es155,156,included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx,c=tidy_all row 6; ex=tidy_all row 26,female,not evaluated by this numeric match,,,SE mismatch,c: mean/SD/n match; SE differs; ex: mean/SD/n match; SE matches
abramova_2020_genpath,es156,157,included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx,c=tidy_all row 14; ex=tidy_all row 34,male,not evaluated by this numeric match,,,SE mismatch,c: mean/SD/n match; SE differs; ex: mean/SD/n match; SE matches
abramova_2020_genpath,es157,158,included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx,c=tidy_all row 4; ex=tidy_all row 24,female,not evaluated by this numeric match,,,SE mismatch,c: mean/SD/n match; SE differs; ex: mean/SD/n match; SE matches
abramova_2020_genpath,es158,159,included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx,c=tidy_all row 21; ex=tidy_all row 41,male,not evaluated by this numeric match,,,SE mismatch,c: mean/SD/n match; SE differs; ex: mean/SD/n match; SE matches
abramova_2020_genpath,es159,160,included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx,c=tidy_all row 11; ex=tidy_all row 31,female,not evaluated by this numeric match,,,SE mismatch,c: mean/SD/n match; SE differs; ex: mean/SD/n match; SE matches
abramova_2020_genpath,es160,161,included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx,c=tidy_all row 71; ex=tidy_all row 73,male,not evaluated by this numeric match,,,SE mismatch,c: mean/SD/n match; SE differs; ex: mean/SD/n match; SE differs
abramova_2020_genpath,es161,162,included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx,c=tidy_all row 70; ex=tidy_all row 72,female,not evaluated by this numeric match,,,SE mismatch,c: mean/SD/n match; SE differs; ex: mean/SD/n match; SE differs
abramova_2020_genpath,es162,163,included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx,c=tidy_all row 134,male,not evaluated by this numeric match,,,review,c: mean/SD/n match; SE differs; ex: mean/SD/n not uniquely located
abramova_2020_genpath,es163,164,included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx,c=tidy_all row 125; ex=tidy_all row 142,female,not evaluated by this numeric match,,,SE mismatch,c: mean/SD/n match; SE differs; ex: mean/SD/n match; SE differs
abramova_2023_biopsy,es164,165,included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx,Table1_Extract row 2; Open Field; Количество пересеченных квадратов (горизонтальная активность); Male,male,male,,,match,Statistics match the prepared table extraction.
abramova_2023_biopsy,es165,166,included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx,Table1_Extract row 3; Open Field; Количество пересеченных квадратов (горизонтальная активность); Female,female,female,,,match,Statistics match the prepared table extraction.
abramova_2023_biopsy,es166,167,included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx,Table1_Extract row 4; Open Field; Rearings (vertical activity); Male,male,male,,,match,Statistics match the prepared table extraction.
abramova_2023_biopsy,es167,168,included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx,Table1_Extract row 5; Open Field; Rearings (vertical activity); Female,female,female,,,match,Statistics match the prepared table extraction.
abramova_2023_biopsy,es168,169,included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx,Table1_Extract row 6; Open Field; Center crossings (arena center); Male,male,male,,,match,Statistics match the prepared table extraction.
abramova_2023_biopsy,es169,170,included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx,Table1_Extract row 7; Open Field; Center crossings (arena center); Female,female,female,,,match,Statistics match the prepared table extraction.
abramova_2023_biopsy,es170,171,included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx,Table1_Extract row 8; Open Field; Total freezing time; Male,male,male,,,match,Statistics match the prepared table extraction.
abramova_2023_biopsy,es171,172,included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx,Table1_Extract row 9; Open Field; Total freezing time; Female,female,female,,,match,Statistics match the prepared table extraction.
abramova_2023_biopsy,es172,173,included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx,Table1_Extract row 10; Open Field; Total grooming time; Male,male,male,,,match,Statistics match the prepared table extraction.
abramova_2023_biopsy,es173,174,included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx,Table1_Extract row 11; Open Field; Total grooming time; Female,female,female,,,match,Statistics match the prepared table extraction.
abramova_2023_biopsy,es174,175,included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx,Table1_Extract row 12; Open Field; Grooming frequency; Male,male,male,,,match,Statistics match the prepared table extraction.
abramova_2023_biopsy,es175,176,included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx,Table1_Extract row 13; Open Field; Grooming frequency; Female,female,female,,,match,Statistics match the prepared table extraction.
abramova_2023_biopsy,es176,177,included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx,Table1_Extract row 14; Open Field; Mean grooming bout duration; Male,male,male,,,match,Statistics match the prepared table extraction.
abramova_2023_biopsy,es177,178,included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx,Table1_Extract row 15; Open Field; Mean grooming bout duration; Female,female,female,,,match,Statistics match the prepared table extraction.
abramova_2023_biopsy,es178,179,included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx,Table1_Extract row 16; Elevated Plus Maze; Time in dark compartment; Male,male,male,,,match,Statistics match the prepared table extraction.
abramova_2023_biopsy,es179,180,included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx,Table1_Extract row 17; Elevated Plus Maze; Time in dark compartment; Female,female,female,,,match,Statistics match the prepared table extraction.
abramova_2023_biopsy,es180,181,included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx,Table1_Extract row 18; Elevated Plus Maze; Time in light compartment; Male,male,male,,,match,Statistics match the prepared table extraction.
abramova_2023_biopsy,es181,182,included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx,Table1_Extract row 19; Elevated Plus Maze; Time in light compartment; Female,female,female,,,match,Statistics match the prepared table extraction.
abramova_2023_biopsy,es182,183,included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx,Table1_Extract row 20; Elevated Plus Maze; Transitions through center; Male,male,male,,,match,Statistics match the prepared table extraction.
abramova_2023_biopsy,es183,184,included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx,Table1_Extract row 21; Elevated Plus Maze; Transitions through center; Female,female,female,,,match,Statistics match the prepared table extraction.
abramova_2023_biopsy,es184,185,included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx,Table1_Extract row 22; Elevated Plus Maze; Head-out inspections; Male,male,male,,,match,Statistics match the prepared table extraction.
abramova_2023_biopsy,es185,186,included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx,Table1_Extract row 23; Elevated Plus Maze; Head-out inspections; Female,female,female,,,match,Statistics match the prepared table extraction.
abramova_2023_biopsy,es186,187,included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx,Table1_Extract row 24; Elevated Plus Maze; Overhangs; Male,male,male,,,match,Statistics match the prepared table extraction.
abramova_2023_biopsy,es187,188,included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx,Table1_Extract row 25; Elevated Plus Maze; Overhangs; Female,female,female,,,match,Statistics match the prepared table extraction.
abramova_2023_biopsy,es188,189,included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx,Table1_Extract row 26; Elevated Plus Maze; Rearings; Male,male,male,,,match,Statistics match the prepared table extraction.
abramova_2023_biopsy,es189,190,included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx,Table1_Extract row 27; Elevated Plus Maze; Rearings; Female,female,female,,,match,Statistics match the prepared table extraction.
abramova_2023_biopsy,es190,191,included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx,Table1_Extract row 28; Elevated Plus Maze; Total freezing time; Male,male,male,,,match,Statistics match the prepared table extraction.
abramova_2023_biopsy,es191,192,included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx,Table1_Extract row 29; Elevated Plus Maze; Total freezing time; Female,female,female,,,match,Statistics match the prepared table extraction.
abramova_2023_biopsy,es192,193,included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx,Table1_Extract row 30; Elevated Plus Maze; Total grooming time; Male,male,male,,,match,Statistics match the prepared table extraction.
abramova_2023_biopsy,es193,194,included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx,Table1_Extract row 31; Elevated Plus Maze; Total grooming time; Female,female,female,,,match,Statistics match the prepared table extraction.
abramova_2023_biopsy,es194,195,included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx,Table1_Extract row 32; Elevated Plus Maze; Grooming frequency; Male,male,male,,,match,Statistics match the prepared table extraction.
abramova_2023_biopsy,es195,196,included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx,Table1_Extract row 33; Elevated Plus Maze; Grooming frequency; Female,female,female,,,match,Statistics match the prepared table extraction.
